Value,Disaggregation combinations using this value,Number of indicators
ARTIFICIAL,302,2
CROPLAND,335,2
GLACIERS,229,2
GRASSLAND,341,2
HERB_AQUA_FLOOD,298,2
INLAND_WATER,319,2
MGCI,344,2
SHRUB_COVERED,298,2
SPARSE_NAT_VEG,327,2
TERRESTRIAL_BARREN,333,2
TREE_COVERED,339,2
