Value,Disaggregation combinations using this value,Number of indicators
COMPOST,12,2
INCINRT,126,3
INCINRT_EGY,119,3
LANDFIL,63,3
LANDFILCTL,17,2
OTHERWM,59,3
RECYCL,45,1
