Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-1-b,9
#1-1-1-cmp,3
#1-3-1-SI_COV_BENFTS,1
#1-3-1-SI_COV_CHLD,1
#1-3-1-SI_COV_DISAB,3
#1-3-1-SI_COV_MATNL,1
#1-3-1-SI_COV_PENSN,1
#1-3-1-SI_COV_UEMP,1
#1-3-1-SI_COV_VULN,3
#1-3-1-SI_COV_WKINJRY,1
#1-4-1-SP_ACS_BSRVH2O,3
#1-4-1-SP_ACS_BSRVSAN,3
#1-5-1-VC_DSR_AFFCT,1
#1-5-1-VC_DSR_DAFF,1
#1-5-1-VC_DSR_IJILN,1
#1-5-1-VC_DSR_MISS,1
#1-5-1-VC_DSR_MMHN,1
#1-5-1-VC_DSR_MORT,1
#1-5-1-VC_DSR_MTMP,1
#1-5-1-VC_DSR_PDLN,1
#1-5-2-VC_DSR_AGLH,1
#1-5-2-VC_DSR_CHLN,1
#1-5-2-VC_DSR_CILN,1
#1-5-2-VC_DSR_DDPA,1
#1-5-2-VC_DSR_GDPLS,1
#1-5-2-VC_DSR_LSGP,1
#1-5-3-SG_DSR_LGRGSR,1
#1-5-4-SG_DSR_SILN,1
#1-5-4-SG_DSR_SILS,1
#1-a-1-DC_ODA_POVLG,1
#10-3-1,40
#10-4-1,1
#10-6-1-SG_INT_MBRDEV,6
#10-6-1-SG_INT_VRTDEV,6
#10-7-2-SG_CPA_MIGRS,7
#10-7-4,1
#10-a-1,7
#10-b-1-DC_TRF_TOTL,1
#11-1-1,1
#11-2-1,9
#11-3-1,9
#11-5-1-VC_DSR_AFFCT,1
#11-5-1-VC_DSR_DAFF,1
#11-5-1-VC_DSR_IJILN,1
#11-5-1-VC_DSR_MISS,1
#11-5-1-VC_DSR_MMHN,1
#11-5-1-VC_DSR_MORT,1
#11-5-1-VC_DSR_MTMP,1
#11-5-1-VC_DSR_PDLN,1
#11-5-2-VC_DSR_AGLH,1
#11-5-2-VC_DSR_CHLN,1
#11-5-2-VC_DSR_CILN,1
#11-5-2-VC_DSR_DDPA,1
#11-5-2-VC_DSR_GDPLS,1
#11-5-2-VC_DSR_LSGP,1
#11-5-3-VC_DSR_CDAN,1
#11-5-3-VC_DSR_CDYN,1
#11-5-3-VC_DSR_EFDN,1
#11-5-3-VC_DSR_HFDN,1
#11-6-2,5
#11-7-1,9
#11-a-1,1
#11-b-1-SG_DSR_LGRGSR,1
#11-b-2-SG_DSR_SILN,1
#11-b-2-SG_DSR_SILS,1
#11-b-2-SG_GOV_LOGV,1
#12-2-2-EN_MAT_DOMCMPC,18
#12-2-2-EN_MAT_DOMCMPG,18
#12-2-2-EN_MAT_DOMCMPT,18
#12-3-1-AG_FOOD_WST,4
#12-3-1-AG_FOOD_WST_PC,4
#12-4-1-SG_HAZ_CMRBASEL,1
#12-4-1-SG_HAZ_CMRMNTRL,1
#12-8-1,4
#12-a-1,2
#12-c-1-ER_FFS_CMPT_CD,1
#12-c-1-ER_FFS_CMPT_GDP,1
#12-c-1-ER_FFS_CMPT_PC_CD,1
#13-1-1-VC_DSR_AFFCT,1
#13-1-1-VC_DSR_DAFF,1
#13-1-1-VC_DSR_IJILN,1
#13-1-1-VC_DSR_MISS,1
#13-1-1-VC_DSR_MMHN,1
#13-1-1-VC_DSR_MORT,1
#13-1-1-VC_DSR_MTMP,1
#13-1-1-VC_DSR_PDLN,1
#13-1-2-SG_DSR_LGRGSR,1
#13-1-3-SG_DSR_SILN,1
#13-1-3-SG_DSR_SILS,1
#13-1-3-SG_GOV_LOGV,1
#13-2-2-EN_ATM_GHGT_NAIP,1
#13-3-1,4
#14-1-1-EN_MAR_CHLANM,3
#14-1-1-EN_MAR_CHLDEV,1
#15-1-1,1
#15-1-2-ER_PTD_FRHWTR,1
#15-1-2-ER_PTD_TERR,1
#15-2-1-AG_LND_FRSTBIOPHA,1
#15-2-1-AG_LND_FRSTCERT,1
#15-2-1-AG_LND_FRSTCHG,1
#15-3-1,1
#15-4-1,1
#15-4-2-ER_MTN_DGRDA,3
#15-4-2-ER_MTN_DGRDP,3
#15-4-2-ER_MTN_GRNCOV,24
#15-4-2-ER_MTN_GRNCVI,33
#15-4-2-ER_MTN_TOTL,3
#15-5-1,1
#15-6-1-ER_CBD_ABSCLRHS,1
#15-6-1-ER_CBD_NAGOYA,1
#15-6-1-ER_CBD_ORSPGRFA,1
#15-6-1-ER_CBD_PTYPGRFA,1
#15-6-1-ER_CBD_SMTA,1
#15-8-1-ER_IAS_LEGIS,1
#15-8-1-ER_IAS_NBSAP,1
#15-9-1-ER_BDY_ABT2NP,2
#15-a-1-DC_ODA_BDVL,1
#15-b-1-DC_ODA_BDVL,1
#16-1-1-VC_IHR_PSRC,3
#16-1-1-VC_IHR_PSRCN,3
#16-2-1,1
#16-2-2-VC_HTF_DETV,6
#16-2-2-VC_HTF_DETVR,6
#16-3-2,1
#16-6-1,1
#16-7-1-SG_DMK_PARLCC_LC,6
#16-7-1-SG_DMK_PARLCC_UC,5
#16-7-1-SG_DMK_PARLMP_LC,1
#16-7-1-SG_DMK_PARLMP_UC,1
#16-7-1-SG_DMK_PARLSP_LC,1
#16-7-1-SG_DMK_PARLSP_UC,1
#16-7-1-SG_DMK_PARLYN_LC,1
#16-7-1-SG_DMK_PARLYP_LC,1
#16-7-1-SG_DMK_PARLYR_LC,1
#16-8-1-SG_INT_MBRDEV,6
#16-8-1-SG_INT_VRTDEV,6
#16-9-1,6
#16-a-1-SG_NHR_NOAPPLN,1
#16-b-1,40
#17-11-1-TX_EXP_GBMRCH,1
#17-11-1-TX_IMP_GBMRCH,1
#17-12-1-TM_TAX_DMFN,6
#17-12-1-TM_TAX_DPRF,6
#17-13-1-BX_KLT_DINV_WD_GD_ZS,1
#17-13-1-DT_DOD_DECT_GN_ZS,1
