Value,Disaggregation combinations using this value,Number of indicators
ALLDOMAINS,56,1
DOMAIN1,56,1
DOMAIN2,56,1
DOMAIN3,56,1
DOMAIN4,56,1
DOMAIN5,56,1
DOMAIN6,56,1
