Indicator,Disaggregation combinations using this value
#15-4-2-ER_MTN_DGRDA,21
#15-4-2-ER_MTN_DGRDP,21
#15-4-2-ER_MTN_GRNCOV,167
#15-4-2-ER_MTN_GRNCVI,231
#15-4-2-ER_MTN_TOTL,21
