Indicator,Disaggregation combinations using this value
#1-1-1,8
#1-1-1-a,8
#1-1-1-cmp,3
#1-2-1,1
#1-2-2-SD_MDP_MUHC,7
#1-3-1-SI_COV_BENFTS,3
#1-3-1-SI_COV_CHLD,3
#1-3-1-SI_COV_DISAB,3
#1-3-1-SI_COV_MATNL,1
#1-3-1-SI_COV_PENSN,3
#1-3-1-SI_COV_POOR,1
#1-3-1-SI_COV_UEMP,3
#1-3-1-SI_COV_VULN,3
#1-3-1-SI_COV_WKINJRY,1
#1-4-1-SP_ACS_BSRVH2O,3
#1-4-1-SP_ACS_BSRVSAN,3
#1-4-2-SP_LGL_LNDDOC,2
#1-4-2-SP_LGL_LNDSEC,1
#1-4-2-SP_LGL_LNDSTR,1
#1-a-1-DC_ODA_POVDLG,1
#10-1-1,2
#10-2-1,1
#10-4-1,1
#10-4-2,2
#10-5-1,1
#10-5-1-FI_FSI_FSERA,1
#10-5-1-FI_FSI_FSKA,1
#10-5-1-FI_FSI_FSKNL,1
#10-5-1-FI_FSI_FSKRTC,1
#10-5-1-FI_FSI_FSLS,1
#10-5-1-FI_FSI_FSSNO,1
#10-6-1-SG_INT_MBRDEV,10
#10-6-1-SG_INT_VRTDEV,10
#10-7-2-SG_CPA_MIGRS,7
#10-7-3,1
#10-7-4,1
#10-a-1,7
#10-b-1-DC_TRF_TOTDL,1
#10-c-1-SI_RMT_COST_BC,4
#10-c-1-SI_RMT_COST_SC,4
#10-c-1-SI_RMT_COST_SND,1
#11-2-1,32
#11-6-1,2
#11-6-2,5
#11-7-1,1
#11-a-1,1
#12-1-1-SG_SCP_CNTRY,1
#12-1-1-SG_SCP_POLINS,4
#12-1-1-SG_SCP_TOTLN,1
#12-2-2-EN_MAT_DOMCMPC,18
#12-2-2-EN_MAT_DOMCMPG,18
#12-2-2-EN_MAT_DOMCMPT,18
#12-3-1-AG_FOOD_WST,4
#12-3-1-AG_FOOD_WST_PC,4
#12-4-1-SG_HAZ_CMRBASEL,1
#12-4-1-SG_HAZ_CMRMNMT,1
#12-4-1-SG_HAZ_CMRMNTRL,1
#12-4-1-SG_HAZ_CMRROTDAM,1
#12-4-1-SG_HAZ_CMRSTHOLM,1
#12-4-2-EN_EWT_COLLPCAP,1
#12-4-2-EN_EWT_COLLV,1
#12-4-2-EN_HAZ_GENGDP,1
#12-4-2-EN_HAZ_GENV,1
#12-4-2-EN_HAZ_PCAP,1
#12-4-2-EN_HAZ_TREATV,5
#12-4-2-EN_HAZ_TRTDISV,1
#12-4-2-EN_MWT_GENV,1
#12-4-2-EN_MWT_TREATR,2
#12-4-2-EN_MWT_TREATV,2
#12-4-2-EN_TWT_GENV,7
#12-5-1-EN_EWT_RCYPCAP,1
