Indicator,Disaggregation combinations using this value
#1-1-1,41
#1-1-1-a,47
#1-2-2-SD_MDP_ANDI,3
#1-2-2-SD_MDP_CSMP,1
#1-2-2-SD_MDP_MUHC,34
#1-2-2-SD_MDP_MUHHC,2
#1-4-1-SP_ACS_BSRVH2O,58
#1-4-1-SP_ACS_BSRVSAN,58
#10-3-1,209
#11-1-1,23
#11-6-2,63
#16-6-2-SP_PSR_OSATIS_GOV,3
#16-6-2-SP_PSR_OSATIS_HLTH,2
#16-6-2-SP_PSR_OSATIS_PRM,2
#16-6-2-SP_PSR_OSATIS_SEC,1
#16-6-2-SP_PSR_SATIS_GOV,16
#16-6-2-SP_PSR_SATIS_HLTH,10
#16-6-2-SP_PSR_SATIS_PRM,10
#16-6-2-SP_PSR_SATIS_SEC,6
#16-7-2-IU_DMK_INCL,2
#16-7-2-IU_DMK_RESP,1
#16-b-1,209
#4-1-2,1656
#4-4-1,771
#4-5-1-SE_AGP_CPRA,402
#4-5-1-SE_AWP_CPRA,201
#5-4-1-SL_DOM_TSPD,287
#5-4-1-SL_DOM_TSPDCW,281
#5-4-1-SL_DOM_TSPDDC,288
#6-1-1,26
#6-2-1-SH_SAN_DEFECT,58
#6-2-1-SH_SAN_HNDWSH,19
#6-2-1-SH_SAN_SAFE,43
#6-3-1,1
#7-1-1,63
#7-1-2,61
#8-10-2-FB_BNK_ACCSS,11
