Value,Disaggregation combinations using this value,Number of indicators
AGE,266,2
ALL,346,2
COLR,28,2
DIS,186,2
DISHEA,82,2
ETH,44,2
ETHCOLLAN,50,2
ETHCOLLANMIG,10,2
ETHCOLLANNAL,6,2
ETHCUL,6,2
ETHI,84,2
ETHIO,28,2
ETHRACECOLLAN,10,2
FAM,6,2
GENID,10,2
GEO,16,2
HEAILLINJ,10,2
HEALTH,10,2
LANDIA,6,2
MAR,16,2
MARFAM,10,2
MIG,48,2
NATION,10,2
OTHER,214,2
PHYSCOND,10,2
POLVIEW,32,2
RACECOLR,6,2
RELIGION,258,2
RES,10,2
SEX,266,2
SEXGENID,10,2
SEXO,188,2
SEXOGENID,54,2
SOCIOECON,30,2
