Value,Disaggregation combinations using this value,Number of indicators
ALL,60,3
BIOENERGY,50,3
GEOTHERMAL,34,3
HYDROPOWER,58,3
MARINE,28,3
MULTIPLE,24,1
SOLAR,54,3
WIND,54,3
