Value,Disaggregation combinations using this value,Number of indicators
AYUNTAMIENTO_DE_BARCELONA,1,1
CIT_ OF_WROCLAW,1,1
CITY_OF_POZNAN,1,1
CITY_OF_STAVANGER,1,1
CITY_OF_TRONDHEIM,1,1
CITY_OF_WARSAW,1,1
COMUNIDAD_AUTONOMA_DEL_PAIS_VASCO,1,1
GREATER_POLAND_VOIVODESHIP,1,1
LESSER_POLAND_VOIVODESHIP,1,1
LODZ_VOIVODESHIP,1,1
LOWER_SILESIAN_VOIVODESHIP,1,1
MASOVIAN_VOIVODESHIP,1,1
PODKARPACKIE_VOIVODESHIP,1,1
POMERANIAN_VOIVODESHIP,1,1
SILESIAN_VOIVODESHIP,1,1
SWIETOKRZYSKIE_VOIVODESHIP,1,1
VLAAMSE_OVERHEID,1,1
WALLOON_REGION,1,1
WEST_POMERANIAN_VOIVODESHIP,1,1
