Indicator,Disaggregation combinations using this value
#16-6-2-SP_PSR_OSATIS_GOV,23
#16-6-2-SP_PSR_OSATIS_HLTH,15
#16-6-2-SP_PSR_OSATIS_PRM,18
#16-6-2-SP_PSR_OSATIS_SEC,8
#16-6-2-SP_PSR_SATIS_GOV,117
#16-6-2-SP_PSR_SATIS_HLTH,84
#16-6-2-SP_PSR_SATIS_PRM,79
#16-6-2-SP_PSR_SATIS_SEC,39
#16-7-1-SG_DMK_JDC,91
#16-7-1-SG_DMK_JDC_CNS,46
#16-7-1-SG_DMK_JDC_HGR,56
#16-7-1-SG_DMK_JDC_LWR,65
#16-7-1-SG_DMK_PSRVC,142
#16-7-2-IU_DMK_ICRS,9
#16-7-2-IU_DMK_INCL,28
#16-7-2-IU_DMK_RESP,14
