Value,Disaggregation combinations using this value,Number of indicators
003,1,1
01_20_64373,1,1
04_20_99317,1,1
04_20_99319,1,1
15MWEST,1,1
174,1,1
246,1,1
39A,1,1
5MEAST,1,1
5MWEST,1,1
A15,1,1
A17,1,1
AL469,1,1
AMN,1,1
AN,1,1
ANHOLTE,1,1
AR7W_13,1,1
AR7W_14,1,1
AR7W_15,1,1
AR7W_16,1,1
AR7W_17,1,1
AR7W_18,1,1
AR7W_19,1,1
AR7W_20,1,1
ARENDAL,1,1
AS,1,1
AUCKLAND,1,1
B_H,1,1
B_K,1,1
BAHIACHENGUE,1,1
BAHIASANTAMARTA,1,1
BANCO_DE_CORAL_FRENTE_A_ISLA_ARENA,1,1
BARENTS_SEA_OPENING_,1,1
BARENTS_SEA_OPENING_1,1,1
BAY_OF_PALMA,1,1
BAYOFPLENTY,1,1
BCSIII-10,1,1
BEAUFORTGYRE,1,1
BENTHICA,1,1
BENTHICG,1,1
BENTHICH,1,1
BENTHICI,1,1
BO3,1,1
BO3/A3,1,1
BOCANA_ENSENADA_TUMACO,1,1
BOCAS_DE_CENIZA,1,1
BOYA,1,1
BOYA_AKUARA,1,1
BOYADERECALADA-MAZATLAN,1,1
BSH_NORTH_SEA_SUMMER,1,1
BY1,1,1
BY10,1,1
BY15GOTLANDSDJUPET,1,1
BY15W,1,1
BY19,1,1
BY20FARODJUPET,1,1
BY29,1,1
BY29_LL19,1,1
BY2ARKONA,1,1
BY31LANDSORTSDJUPET,1,1
BY32NORRKOPINGSDJUPET,1,1
BY38KARLSODJUPET,1,1
BY4CHRISTIANSO,1,1
BY5BORNHOLMSDJUPET,1,1
BY9KLAIPEDA,1,1
C1_MIRAMARE,1,1
C3,1,1
CABO_DE_LA_VELA,1,1
CABRERA,1,1
CANADA,1,1
CANDYFLOSS/CCS,1,1
CARBONBRIDGE,1,1
CE14012A,1,1
CE14012B,1,1
CE14017,1,1
CE15004,1,1
CE15013A_NORTHSEASUM,1,1
CE15013B,1,1
