Indicator,Disaggregation combinations using this value
#1-1-1,260
#1-1-1-a,303
#1-1-1-b,78
#1-2-2-SD_MDP_ANDI,9
#1-2-2-SD_MDP_CSMP,3
#1-2-2-SD_MDP_MUHC,171
#1-3-1-SI_COV_BENFTS,61
#1-3-1-SI_COV_CHLD,48
#1-3-1-SI_COV_DISAB,63
#1-3-1-SI_COV_PENSN,63
#1-3-1-SI_COV_POOR,43
#1-3-1-SI_COV_UEMP,63
#1-3-1-SI_COV_VULN,49
#1-3-1-SI_COV_WKINJRY,56
#1-4-2-SP_LGL_LNDDOC,8
#1-4-2-SP_LGL_LNDSEC,6
#1-4-2-SP_LGL_LNDSTR,7
#10-3-1,487
#11-7-2,4
#16-1-1-VC_IHR_PSRC,62
#16-1-1-VC_IHR_PSRCN,62
#16-1-3-VC_VOV_PHYL,13
#16-1-3-VC_VOV_ROBB,26
#16-1-3-VC_VOV_SEXL,9
#16-1-4,24
#16-2-2-VC_HTF_DETV,173
#16-2-2-VC_HTF_DETVFL,96
#16-2-2-VC_HTF_DETVFLR,96
#16-2-2-VC_HTF_DETVOG,12
#16-2-2-VC_HTF_DETVOGR,12
#16-2-2-VC_HTF_DETVOP,82
#16-2-2-VC_HTF_DETVOPR,82
#16-2-2-VC_HTF_DETVR,173
#16-2-2-VC_HTF_DETVSX,114
#16-2-2-VC_HTF_DETVSXR,114
#16-3-1-VC_PRR_PHYV,17
#16-3-1-VC_PRR_ROBB,24
#16-3-1-VC_PRR_SEXV,16
#16-3-2,59
#16-3-3,2
#16-5-1,51
#16-6-2-SP_PSR_OSATIS_GOV,18
#16-6-2-SP_PSR_OSATIS_HLTH,11
#16-6-2-SP_PSR_OSATIS_PRM,13
#16-6-2-SP_PSR_OSATIS_SEC,5
#16-6-2-SP_PSR_SATIS_GOV,91
#16-6-2-SP_PSR_SATIS_HLTH,61
#16-6-2-SP_PSR_SATIS_PRM,56
#16-6-2-SP_PSR_SATIS_SEC,24
#16-7-1-SG_DMK_JDC,57
#16-7-1-SG_DMK_JDC_CNS,19
#16-7-1-SG_DMK_JDC_HGR,26
#16-7-1-SG_DMK_JDC_LWR,33
#16-7-1-SG_DMK_PSRVC,33
#16-7-2-IU_DMK_ICRS,10
#16-7-2-IU_DMK_INCL,26
#16-7-2-IU_DMK_RESP,13
#16-b-1,487
#17-8-1,63
#2-1-2,54
#2-3-1,59
#2-3-2,20
#3-2-1-a,62
#3-2-1-b,62
#3-2-2,62
#3-3-1,179
#3-4-1,62
#3-4-2,62
#3-5-1-SH_SUD_ALCOL,62
#3-5-2,62
#3-6-1,62
#3-9-3,62
#3-a-1,59
#4-1-1,226
#4-1-2,1714
#4-2-1,16
#4-2-2,60
#4-3-1,200
#4-4-1,2076
#4-5-1-SE_ALP_CPLR,481
#4-5-1-SE_AWP_CPRA,220
#4-6-1,68
#4-c-1,122
#5-a-1-SP_LGL_LNDAGSEC,4
#5-b-1,35
#8-10-2-FB_BNK_ACCSS,456
#8-10-2-FB_BNK_ACCSS_ILF,62
#8-10-2-FB_BNK_ACCSS_OLF,62
#8-3-1-SL_ISV_IFEM,141
#8-3-1-SL_ISV_IFEM_19ICLS,120
#8-5-1-SL_EMP_EARN,867
#8-5-2-SL_TLF_UEM,184
#8-5-2-SL_TLF_UEMDIS,129
#8-5-2-SL_TLF_UEMDIS_19ICLS,111
#8-5-2-SL_TLF_UEM_19ICLS,139
#8-6-1-SL_TLF_NEET,58
#8-6-1-SL_TLF_NEET_19ICLS,46
#8-7-1-SL_TLF_CHLDEA,18
#8-7-1-SL_TLF_CHLDEC,17
#8-8-1-SL_EMP_FTLINJUR,94
#8-8-1-SL_EMP_INJUR,92
