Value,Disaggregation combinations using this value,Number of indicators
_T,43,1
AE,2,1
AF,4,2
AL,17,3
AR,1,1
AU,9,1
AX,6,1
BA,10,3
BD,17,3
BE,5,1
BG,14,3
BN,3,1
BO,2,2
BR,13,3
BS,7,1
BZ,6,1
CA,16,1
CD,2,2
CI,2,2
CL,5,1
CM,2,2
CN,32,3
CO,8,3
CR,4,1
CU,7,1
CV,2,2
CY,16,1
DE,17,1
DJ,3,1
DK,17,1
DO,8,3
DZ,9,3
EC,8,3
EE,8,1
EG,21,3
EH,5,1
ER,5,3
ES,13,1
ET,4,2
FI,9,1
FJ,11,3
FK,1,1
FO,10,1
FR,15,1
GB,15,1
GE,5,1
GF,1,1
GG,3,1
GH,8,2
GL,12,1
GM,2,2
GN,2,1
GP,3,1
GR,15,1
GT,6,1
GY,3,3
HK,8,1
HN,8,3
HR,12,3
HT,7,3
HU,6,2
ID,20,3
IE,14,1
IL,16,1
IM,6,1
IN,30,3
IR,2,1
IS,12,1
IT,15,1
JE,4,1
JM,6,3
JO,10,3
JP,9,1
KE,13,3
KG,2,2
KH,8,1
KM,4,3
KP,2,1
KR,5,1
LA,9,1
LB,28,3
LK,22,3
LR,1,1
LT,11,3
LV,9,1
LY,18,1
MA,22,3
MD,5,3
ME,4,1
MG,14,3
MK,2,2
ML,2,2
MM,10,1
MO,4,1
MT,2,1
MU,7,1
MX,7,1
MY,11,3
MZ,11,3
NC,6,1
NG,12,2
NI,6,3
NL,9,1
NO,17,1
NP,6,2
NZ,8,1
OM,6,1
PA,7,1
PE,8,3
PF,3,1
PG,9,1
PH,26,3
PK,13,3
PL,12,3
PR,2,1
PS,12,1
PT,9,1
PW,2,1
QA,2,1
RE,4,1
RO,13,3
RS,10,2
RU,30,1
RW,4,2
SA,6,1
SB,8,1
SD,6,3
SE,18,1
SG,4,1
SI,1,1
SJ,11,1
SL,5,3
SN,4,2
SO,15,3
SR,3,3
SS,4,2
SV,2,1
SY,16,1
TC,3,1
TF,1,1
TG,4,2
TH,18,3
TJ,2,2
TL,6,1
TN,18,3
TO,5,3
TR,24,3
TT,2,1
TZ,9,3
UA,11,3
UG,2,2
US,13,1
VA,1,1
VE,3,1
VG,1,1
VN,28,3
VU,11,3
WS,5,3
XK,8,2
YE,10,3
YT,3,1
ZA,7,3
ZM,2,2
ZW,6,2
