Indicator,Disaggregation combinations using this value
#10-3-1,135
#16-7-1-SG_DMK_JDC,6
#16-7-1-SG_DMK_JDC_CNS,1
#16-7-1-SG_DMK_JDC_HGR,3
#16-7-1-SG_DMK_JDC_LWR,4
#16-7-1-SG_DMK_PSRVC,6
#16-b-1,135
#8-5-2-SL_TLF_UEMDIS,128
#8-5-2-SL_TLF_UEMDIS_19ICLS,109
