Value,Disaggregation combinations using this value,Number of indicators
ADB,132,4
AFDB,88,4
ECOSOC,228,4
FSB,60,4
IADB,100,4
IBRD,248,4
IFC,248,4
IMF,248,4
UNGA,252,4
UNSC,116,4
WTO,228,4
