Indicator,Disaggregation combinations using this value
#1-1-1-b,78
#2-1-2,108
#3-5-1-SH_SUD_ALCOL,186
#3-5-2,186
#3-a-1,177
#5-2-1,58
#5-4-1-SL_DOM_TSPD,144
#5-4-1-SL_DOM_TSPDCW,142
#5-4-1-SL_DOM_TSPDDC,142
#8-10-1-FB_ATM_TOTL,61
#8-10-1-FB_CBK_BRCH,60
#8-10-2-FB_BNK_ACCSS,456
#8-10-2-FB_BNK_ACCSS_ILF,62
#8-10-2-FB_BNK_ACCSS_OLF,62
#8-5-2-SL_TLF_UEM,188
#8-5-2-SL_TLF_UEM_19ICLS,141
