Value,Disaggregation combinations using this value,Number of indicators
DEFENCE,94,3
FAFF_DEF,23,3
FINANCE,113,3
FOR_AFF,91,2
GEN_EQU,118,3
HR_GEQU,5,2
HUM_RIGH,117,3
