Indicator,Disaggregation combinations using this value
#10-a-1,63
#12-2-2-EN_MAT_DOMCMPC,62
#12-2-2-EN_MAT_DOMCMPG,62
#12-2-2-EN_MAT_DOMCMPT,62
#17-10-1-TM_TAX_WMFN,34
#17-10-1-TM_TAX_WMPS,34
#17-12-1-TM_TAX_DMFN,60
#17-12-1-TM_TAX_DPRF,60
#8-4-2-EN_MAT_DOMCMPC,62
#8-4-2-EN_MAT_DOMCMPG,62
#8-4-2-EN_MAT_DOMCMPT,62
