Indicator,Disaggregation combinations using this value
#16-2-2-VC_HTF_DETV,6
#16-2-2-VC_HTF_DETVFL,1
#16-2-2-VC_HTF_DETVSX,2
#16-7-1-SG_DMK_PARLCC_JC,2
#16-7-1-SG_DMK_PARLCC_LC,27
#16-7-1-SG_DMK_PARLCC_UC,3
