Value,Disaggregation combinations using this value,Number of indicators
_T,431,7
ABT2ACHIEVE,13,1
ABT2INSUFNT,29,1
ABT2NONTLT,17,1
ABT2NOPROG,4,1
HIGIMP,1,1
LI_IMP_ADMNG,9,1
LI_PLA_DSG,5,1
LI_PLDV,1,1
LOWIMP,13,3
LS_COMP,1,1
LS_COMPDISSE,50,1
LS_DISSEM,2,1
MHIGIMP,21,2
MLOWIMP,31,3
