Indicator,Disaggregation combinations using this value
#1-1-1,44
#1-1-1-a,50
#1-1-1-b,78
#1-2-2-SD_MDP_MUHC,38
#1-3-1-SI_COV_BENFTS,8
#1-3-1-SI_COV_CHLD,24
#1-3-1-SI_COV_DISAB,47
#1-3-1-SI_COV_PENSN,56
#1-3-1-SI_COV_UEMP,44
#1-3-1-SI_COV_VULN,10
#1-3-1-SI_COV_WKINJRY,6
#10-3-1,224
#11-7-2,4
#16-1-1-VC_IHR_PSRC,60
#16-1-1-VC_IHR_PSRCN,60
#16-1-3-VC_VOV_PHYL,12
#16-1-3-VC_VOV_ROBB,18
#16-1-3-VC_VOV_SEXL,8
#16-1-4,21
#16-2-2-VC_HTF_DETV,162
#16-2-2-VC_HTF_DETVFL,48
#16-2-2-VC_HTF_DETVFLR,48
#16-2-2-VC_HTF_DETVOG,1
#16-2-2-VC_HTF_DETVOGR,1
#16-2-2-VC_HTF_DETVOP,50
#16-2-2-VC_HTF_DETVOPR,50
#16-2-2-VC_HTF_DETVR,162
#16-2-2-VC_HTF_DETVSX,80
#16-2-2-VC_HTF_DETVSXR,80
#16-2-3,3
#16-3-1-VC_PRR_PHYV,12
#16-3-1-VC_PRR_ROBB,9
#16-3-1-VC_PRR_SEXV,2
#16-3-2,47
#16-3-3,1
#16-5-1,11
#16-6-2-SP_PSR_OSATIS_GOV,4
#16-6-2-SP_PSR_OSATIS_HLTH,2
#16-6-2-SP_PSR_OSATIS_PRM,3
#16-6-2-SP_PSR_OSATIS_SEC,2
#16-6-2-SP_PSR_SATIS_GOV,20
#16-6-2-SP_PSR_SATIS_HLTH,13
#16-6-2-SP_PSR_SATIS_PRM,13
#16-6-2-SP_PSR_SATIS_SEC,9
#16-7-1-SG_DMK_PARLCC_JC,11
#16-7-1-SG_DMK_PARLCC_LC,236
#16-7-1-SG_DMK_PARLCC_UC,75
#16-7-1-SG_DMK_PARLSP_LC,65
#16-7-1-SG_DMK_PARLSP_UC,25
#16-7-2-IU_DMK_ICRS,1
#16-7-2-IU_DMK_INCL,3
#16-7-2-IU_DMK_RESP,2
#16-b-1,224
#17-8-1,58
#2-1-2,54
#2-3-1,59
#2-3-2,20
#3-2-1-a,62
#3-2-1-b,62
#3-3-1,157
#3-4-1,62
#3-4-2,62
#3-5-1-SH_SUD_ALCOL,62
#3-5-2,62
#3-6-1,62
#3-9-3,62
#3-a-1,59
#3-c-1-SH_MED_HWRKDIS,85
#4-1-1,210
#4-1-2,1680
#4-2-1,16
#4-2-2,59
#4-3-1,199
#4-4-1,1947
#4-5-1-SE_ALP_CPLR,396
#4-5-1-SE_AWP_CPRA,195
#4-6-1,64
#4-c-1,107
#5-4-1-SL_DOM_TSPD,522
#5-4-1-SL_DOM_TSPDCW,510
#5-4-1-SL_DOM_TSPDDC,525
#5-a-1-SP_LGL_LNDAGSEC,4
#5-b-1,34
#8-10-2-FB_BNK_ACCSS,62
#8-3-1-SL_ISV_IFEM,141
#8-3-1-SL_ISV_IFEM_19ICLS,120
#8-5-1-SL_EMP_EARN,864
#8-5-2-SL_TLF_UEM,182
#8-5-2-SL_TLF_UEMDIS,129
#8-5-2-SL_TLF_UEMDIS_19ICLS,111
#8-5-2-SL_TLF_UEM_19ICLS,139
#8-6-1-SL_TLF_NEET,57
#8-6-1-SL_TLF_NEET_19ICLS,46
#8-7-1-SL_TLF_CHLDEA,18
#8-7-1-SL_TLF_CHLDEC,17
#8-8-1-SL_EMP_FTLINJUR,88
#8-8-1-SL_EMP_INJUR,87
