Value,Disaggregation combinations using this value,Number of indicators
_T,514,4
AGG_0_1,62,1
AGG_5T8,1,1
AGG_GE2,62,1
GRAD23,132,6
LOWSEC,3896,19
PREPRI,98,2
PRIMAR,3730,20
SECOND,218,5
UPPSEC,3077,13
