Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2006,SE_TOT_PRFL,Mexico,GRAD23,MALE,SKILL_MATH,66.1208
2006,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_READ,59.65
2006,SE_TOT_PRFL,Mexico,PRIMAR,MALE,SKILL_READ,51.06777
2006,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_READ,45.81
2006,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_MATH,43.50042
2006,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_MATH,45.95
2009,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_MATH,45.98
2009,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_MATH,52.51
2009,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_MATH,49.20351
2009,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_READ,53.77
2009,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_READ,65.9
2009,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_READ,59.90857
2012,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_READ,52.61
2012,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_MATH,45.2878
2012,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_MATH,49.25
2012,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_MATH,41.47
2012,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_READ,58.9231
2012,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_READ,65.0
2013,SE_TOT_PRFL,Mexico,GRAD23,BOTHSEX,SKILL_MATH,69.7
2013,SE_TOT_PRFL,Mexico,GRAD23,BOTHSEX,SKILL_READ,67.0
2013,SE_TOT_PRFL,Mexico,PRIMAR,BOTHSEX,SKILL_MATH,44.7
2013,SE_TOT_PRFL,Mexico,PRIMAR,BOTHSEX,SKILL_READ,42.6
2015,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_MATH,43.35862
2015,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_READ,53.60011
2015,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_READ,63.04206
2015,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_READ,58.25517
2015,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_MATH,45.62584
2015,SE_TOT_PRFL,Mexico,LOWSEC,FEMALE,SKILL_MATH,41.02721
2018,SE_TOT_PRFL,Mexico,LOWSEC,MALE,SKILL_READ,52.05603
2018,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_MATH,43.75356
2018,SE_TOT_PRFL,Mexico,LOWSEC,BOTHSEX,SKILL_READ,55.306
