Year,SeriesCode,Страна ,Sex,Value
2000,IC_GEN_MGTN,Estonia,FEMALE,34.83
2001,IC_GEN_MGTN,Estonia,FEMALE,38.17
2002,IC_GEN_MGTN,Estonia,FEMALE,37.17
2003,IC_GEN_MGTN,Estonia,FEMALE,34.8
2004,IC_GEN_MGTN,Estonia,FEMALE,41.23
2005,IC_GEN_MGTN,Estonia,FEMALE,41.04
2006,IC_GEN_MGTN,Estonia,FEMALE,39.63
2007,IC_GEN_MGTN,Estonia,FEMALE,34.91
2008,IC_GEN_MGTN,Estonia,FEMALE,36.6
2009,IC_GEN_MGTN,Estonia,FEMALE,34.34
2010,IC_GEN_MGTN,Estonia,FEMALE,38.37
2011,IC_GEN_MGTN,Estonia,FEMALE,34.63
2012,IC_GEN_MGTN,Estonia,FEMALE,31.62
2013,IC_GEN_MGTN,Estonia,FEMALE,32.81
2014,IC_GEN_MGTN,Estonia,FEMALE,30.84
2015,IC_GEN_MGTN,Estonia,FEMALE,27.84
2016,IC_GEN_MGTN,Estonia,FEMALE,31.63
2017,IC_GEN_MGTN,Estonia,FEMALE,34.33
2018,IC_GEN_MGTN,Estonia,FEMALE,33.24
2019,IC_GEN_MGTN,Estonia,FEMALE,35.11
2020,IC_GEN_MGTN,Estonia,FEMALE,35.83
2000,IC_GEN_MGTN,Finland,FEMALE,27.55
2001,IC_GEN_MGTN,Finland,FEMALE,29.74
2002,IC_GEN_MGTN,Finland,FEMALE,30.23
2003,IC_GEN_MGTN,Finland,FEMALE,30.93
2004,IC_GEN_MGTN,Finland,FEMALE,30.68
2005,IC_GEN_MGTN,Finland,FEMALE,32.67
2006,IC_GEN_MGTN,Finland,FEMALE,33.85
2007,IC_GEN_MGTN,Finland,FEMALE,32.28
2008,IC_GEN_MGTN,Finland,FEMALE,33.58
2009,IC_GEN_MGTN,Finland,FEMALE,34.71
2010,IC_GEN_MGTN,Finland,FEMALE,34.34
2011,IC_GEN_MGTN,Finland,FEMALE,31.09
2012,IC_GEN_MGTN,Finland,FEMALE,29.67
2013,IC_GEN_MGTN,Finland,FEMALE,29.47
2014,IC_GEN_MGTN,Finland,FEMALE,34.26
2015,IC_GEN_MGTN,Finland,FEMALE,33.49
2016,IC_GEN_MGTN,Finland,FEMALE,34.06
2017,IC_GEN_MGTN,Finland,FEMALE,31.45
2018,IC_GEN_MGTN,Finland,FEMALE,32.02
2019,IC_GEN_MGTN,Finland,FEMALE,36.76
2020,IC_GEN_MGTN,Finland,FEMALE,37.48
2005,IC_GEN_MGTN,France,FEMALE,36.37
2006,IC_GEN_MGTN,France,FEMALE,37.01
2007,IC_GEN_MGTN,France,FEMALE,36.46
2008,IC_GEN_MGTN,France,FEMALE,36.79
2009,IC_GEN_MGTN,France,FEMALE,37.37
2010,IC_GEN_MGTN,France,FEMALE,38.59
2011,IC_GEN_MGTN,France,FEMALE,39.13
2012,IC_GEN_MGTN,France,FEMALE,39.2
2013,IC_GEN_MGTN,France,FEMALE,35.58
2014,IC_GEN_MGTN,France,FEMALE,32.03
2015,IC_GEN_MGTN,France,FEMALE,30.93
2016,IC_GEN_MGTN,France,FEMALE,31.07
2017,IC_GEN_MGTN,France,FEMALE,32.64
2018,IC_GEN_MGTN,France,FEMALE,34.38
2019,IC_GEN_MGTN,France,FEMALE,34.3
2020,IC_GEN_MGTN,France,FEMALE,34.95
2021,IC_GEN_MGTN,France,FEMALE,36.76
2009,IC_GEN_MGTN,Georgia,FEMALE,29.99
2010,IC_GEN_MGTN,Georgia,FEMALE,29.77
2011,IC_GEN_MGTN,Georgia,FEMALE,33.52
2012,IC_GEN_MGTN,Georgia,FEMALE,31.01
2002,IC_GEN_MGTN,Albania,FEMALE,15.8
2007,IC_GEN_MGTN,Albania,FEMALE,22.81
2008,IC_GEN_MGTN,Albania,FEMALE,24.43
2009,IC_GEN_MGTN,Albania,FEMALE,21.98
2010,IC_GEN_MGTN,Albania,FEMALE,19.1
2012,IC_GEN_MGTN,Albania,FEMALE,14.71
2013,IC_GEN_MGTN,Albania,FEMALE,29.3
2014,IC_GEN_MGTN,Albania,FEMALE,20.62
2015,IC_GEN_MGTN,Albania,FEMALE,19.27
2016,IC_GEN_MGTN,Albania,FEMALE,24.02
2013,IC_GEN_MGTN,Georgia,FEMALE,32.75
2014,IC_GEN_MGTN,Georgia,FEMALE,33.76
2015,IC_GEN_MGTN,Georgia,FEMALE,38.79
2016,IC_GEN_MGTN,Georgia,FEMALE,44.17
2017,IC_GEN_MGTN,Georgia,FEMALE,31.99
2018,IC_GEN_MGTN,Georgia,FEMALE,35.68
2019,IC_GEN_MGTN,Georgia,FEMALE,36.65
2020,IC_GEN_MGTN,Georgia,FEMALE,33.76
2000,IC_GEN_MGTN,Germany,FEMALE,20.66
2001,IC_GEN_MGTN,Germany,FEMALE,20.59
2002,IC_GEN_MGTN,Germany,FEMALE,21.99
2003,IC_GEN_MGTN,Germany,FEMALE,23.06
2004,IC_GEN_MGTN,Germany,FEMALE,22.76
2005,IC_GEN_MGTN,Germany,FEMALE,23.56
2006,IC_GEN_MGTN,Germany,FEMALE,24.19
2007,IC_GEN_MGTN,Germany,FEMALE,24.77
2008,IC_GEN_MGTN,Germany,FEMALE,25.69
2009,IC_GEN_MGTN,Germany,FEMALE,26.82
2010,IC_GEN_MGTN,Germany,FEMALE,27.51
2011,IC_GEN_MGTN,Germany,FEMALE,27.94
2012,IC_GEN_MGTN,Germany,FEMALE,27.06
2013,IC_GEN_MGTN,Germany,FEMALE,27.52
2014,IC_GEN_MGTN,Germany,FEMALE,27.76
2015,IC_GEN_MGTN,Germany,FEMALE,28.04
2016,IC_GEN_MGTN,Germany,FEMALE,28.09
2017,IC_GEN_MGTN,Germany,FEMALE,28.21
2018,IC_GEN_MGTN,Germany,FEMALE,28.58
2019,IC_GEN_MGTN,Germany,FEMALE,28.63
2020,IC_GEN_MGTN,Germany,FEMALE,27.08
2000,IC_GEN_MGTN,Greece,FEMALE,25.0
2001,IC_GEN_MGTN,Greece,FEMALE,24.81
2002,IC_GEN_MGTN,Greece,FEMALE,25.33
2003,IC_GEN_MGTN,Greece,FEMALE,26.36
2004,IC_GEN_MGTN,Greece,FEMALE,25.76
2005,IC_GEN_MGTN,Greece,FEMALE,26.36
2006,IC_GEN_MGTN,Greece,FEMALE,26.66
2007,IC_GEN_MGTN,Greece,FEMALE,28.03
2008,IC_GEN_MGTN,Greece,FEMALE,28.3
2009,IC_GEN_MGTN,Greece,FEMALE,29.8
2010,IC_GEN_MGTN,Greece,FEMALE,29.85
2011,IC_GEN_MGTN,Greece,FEMALE,22.08
2012,IC_GEN_MGTN,Greece,FEMALE,22.17
