Year,SeriesCode,Страна ,Age,Sex,Value
2005,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,7.8
2005,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,6.9
2005,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,8.6
2006,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,8.4
2006,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,6.6
2006,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,7.5
2007,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,8.0
2007,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,7.2
2007,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,6.4
2008,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,7.6
2008,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,6.1
2008,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,6.9
2009,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,6.6
2009,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,5.8
2009,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,7.3
2010,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,6.9
2010,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,5.6
2010,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,6.3
2011,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,6.0
2011,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,FEMALE,5.4
2011,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,6.6
2012,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,BOTHSEX,5.8
2012,SH_DYN_IMRT,Bosnia and Herzegovina,<1Y,MALE,6.4
