Year,SeriesCode,Страна ,Mode of transportation,Value
2017,IS_RDP_FRGVOL,Albania,AIR,0.0
2020,IS_RDP_FRGVOL,Albania,AIR,0.0
2021,IS_RDP_FRGVOL,Albania,AIR,0.0
2017,IS_RDP_FRGVOL,Azerbaijan,AIR,61625500.0
2018,IS_RDP_FRGVOL,Azerbaijan,AIR,44088600.0
2019,IS_RDP_FRGVOL,Azerbaijan,AIR,1620437910.0
2020,IS_RDP_FRGVOL,Azerbaijan,AIR,2030378090.0
2021,IS_RDP_FRGVOL,Azerbaijan,AIR,3173723770.0
2017,IS_RDP_FRGVOL,Australia,AIR,1982586171.0
2018,IS_RDP_FRGVOL,Australia,AIR,2027637110.0
2019,IS_RDP_FRGVOL,Australia,AIR,1931155531.0
2020,IS_RDP_FRGVOL,Australia,AIR,1200644145.0
2021,IS_RDP_FRGVOL,Australia,AIR,1244764700.0
2017,IS_RDP_FRGVOL,Austria,AIR,391268000.0
2018,IS_RDP_FRGVOL,Austria,AIR,373511000.0
2019,IS_RDP_FRGVOL,Austria,AIR,320036527.0
2020,IS_RDP_FRGVOL,Austria,AIR,74560823.0
2021,IS_RDP_FRGVOL,Austria,AIR,125155714.0
2019,IS_RDP_FRGVOL,Armenia,AIR,326500.0
2020,IS_RDP_FRGVOL,Armenia,AIR,116920.0
2021,IS_RDP_FRGVOL,Armenia,AIR,1347896.0
2017,IS_RDP_FRGVOL,Belgium,AIR,1574378609.0
2018,IS_RDP_FRGVOL,Belgium,AIR,1285344187.0
2019,IS_RDP_FRGVOL,Belgium,AIR,1353426977.0
2020,IS_RDP_FRGVOL,Belgium,AIR,1265065944.0
2021,IS_RDP_FRGVOL,Belgium,AIR,1827413026.121
2020,IS_RDP_FRGVOL,Bosnia and Herzegovina,AIR,0.0
2017,IS_RDP_FRGVOL,Bulgaria,AIR,1718960.0
2018,IS_RDP_FRGVOL,Bulgaria,AIR,1375000.0
2019,IS_RDP_FRGVOL,Bulgaria,AIR,1257000.0
2020,IS_RDP_FRGVOL,Bulgaria,AIR,1024890.0
2021,IS_RDP_FRGVOL,Bulgaria,AIR,58087.0
2017,IS_RDP_FRGVOL,Belarus,AIR,1915100.0
2018,IS_RDP_FRGVOL,Belarus,AIR,1900400.0
2019,IS_RDP_FRGVOL,Belarus,AIR,2883900.0
2020,IS_RDP_FRGVOL,Belarus,AIR,1882857.0
2021,IS_RDP_FRGVOL,Belarus,AIR,2257300.0
2017,IS_RDP_FRGVOL,Canada,AIR,2840985135.0
2018,IS_RDP_FRGVOL,Canada,AIR,3192073039.0
2019,IS_RDP_FRGVOL,Canada,AIR,3109043058.0
2020,IS_RDP_FRGVOL,Canada,AIR,2306166349.0
2021,IS_RDP_FRGVOL,Canada,AIR,3240000000.0
2017,IS_RDP_FRGVOL,Chile,AIR,1237960141.0
2018,IS_RDP_FRGVOL,Chile,AIR,1226441990.0
2019,IS_RDP_FRGVOL,Chile,AIR,1232411090.0
2020,IS_RDP_FRGVOL,Chile,AIR,1458395780.0
2021,IS_RDP_FRGVOL,Chile,AIR,1283998410.0
2017,IS_RDP_FRGVOL,China,AIR,23323614700.0
2018,IS_RDP_FRGVOL,China,AIR,25256207100.0
2019,IS_RDP_FRGVOL,China,AIR,25394587800.0
2020,IS_RDP_FRGVOL,China,AIR,19264243600.0
2021,IS_RDP_FRGVOL,China,AIR,33369161432.0
2017,IS_RDP_FRGVOL,Colombia,AIR,1273568638.0
2018,IS_RDP_FRGVOL,Colombia,AIR,1350008974.0
2019,IS_RDP_FRGVOL,Colombia,AIR,1547674684.0
2020,IS_RDP_FRGVOL,Colombia,AIR,1496604491.0
2021,IS_RDP_FRGVOL,Colombia,AIR,1605222381.0
2017,IS_RDP_FRGVOL,Costa Rica,AIR,10552031.0
2018,IS_RDP_FRGVOL,Costa Rica,AIR,11130320.0
2019,IS_RDP_FRGVOL,Costa Rica,AIR,10800000.0
2020,IS_RDP_FRGVOL,Costa Rica,AIR,1613892.0
2021,IS_RDP_FRGVOL,Costa Rica,AIR,2166440.0
2017,IS_RDP_FRGVOL,Croatia,AIR,582750.0
2018,IS_RDP_FRGVOL,Croatia,AIR,529790.0
2019,IS_RDP_FRGVOL,Croatia,AIR,440600.0
2020,IS_RDP_FRGVOL,Croatia,AIR,179350.0
2021,IS_RDP_FRGVOL,Croatia,AIR,148530.0
2017,IS_RDP_FRGVOL,Cyprus,AIR,340320.0
2018,IS_RDP_FRGVOL,Cyprus,AIR,21000.0
2019,IS_RDP_FRGVOL,Cyprus,AIR,140000.0
