Year,SeriesCode,Страна ,Age,Sex,Value
2012,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,50
2012,VC_HTF_DETV,Finland,<18Y,BOTHSEX,5
2012,VC_HTF_DETV,Finland,18+,BOTHSEX,48
2012,VC_HTF_DETV,Finland,ALLAGE,FEMALE,25
2012,VC_HTF_DETV,Finland,18+,FEMALE,22
2012,VC_HTF_DETV,Finland,18+,MALE,26
2013,VC_HTF_DETV,Finland,18+,BOTHSEX,53
2009,VC_HTF_DETV,Japan,18+,BOTHSEX,16
2009,VC_HTF_DETV,Japan,18+,MALE,16
2009,VC_HTF_DETV,Japan,ALLAGE,BOTHSEX,17
2009,VC_HTF_DETV,Japan,ALLAGE,MALE,17
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,MALE,27
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,FEMALE,7
2020,VC_HTF_DETV,Bosnia and Herzegovina,18+,BOTHSEX,35
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,FEMALE,7
2020,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,BOTHSEX,35
2020,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,BOTHSEX,70
2007,VC_HTF_DETV,Bulgaria,18+,FEMALE,12
2007,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,288
2007,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,53
2013,VC_HTF_DETV,Finland,18+,MALE,34
2013,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,58
2013,VC_HTF_DETV,Finland,18+,FEMALE,19
2013,VC_HTF_DETV,Finland,ALLAGE,FEMALE,19
2013,VC_HTF_DETV,Finland,ALLAGE,MALE,37
2010,VC_HTF_DETV,Japan,18+,MALE,35
2010,VC_HTF_DETV,Japan,<18Y,BOTHSEX,5
2010,VC_HTF_DETV,Japan,ALLAGE,BOTHSEX,43
2010,VC_HTF_DETV,Japan,ALLAGE,MALE,39
2010,VC_HTF_DETV,Japan,18+,BOTHSEX,38
2014,VC_HTF_DETV,Finland,18+,BOTHSEX,47
2014,VC_HTF_DETV,Finland,18+,MALE,38
2014,VC_HTF_DETV,Finland,18+,FEMALE,9
2014,VC_HTF_DETV,Finland,ALLAGE,FEMALE,11
2011,VC_HTF_DETV,Japan,ALLAGE,BOTHSEX,45
2011,VC_HTF_DETV,Japan,ALLAGE,MALE,45
2011,VC_HTF_DETV,Japan,18+,MALE,45
2011,VC_HTF_DETV,Japan,18+,BOTHSEX,45
2014,VC_HTF_DETV,Finland,ALLAGE,MALE,39
2014,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,45
2015,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,54
2015,VC_HTF_DETV,Finland,ALLAGE,FEMALE,16
2015,VC_HTF_DETV,Finland,ALLAGE,MALE,36
2007,VC_HTF_DETV,Bulgaria,<18Y,MALE,53
2007,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,12
2007,VC_HTF_DETV,Bulgaria,18+,MALE,223
2007,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,235
2007,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,276
2008,VC_HTF_DETV,Bulgaria,18+,MALE,202
2008,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,10
2008,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,212
2015,VC_HTF_DETV,Finland,18+,MALE,36
2015,VC_HTF_DETV,Finland,18+,FEMALE,16
2015,VC_HTF_DETV,Finland,18+,BOTHSEX,52
2016,VC_HTF_DETV,Finland,ALLAGE,MALE,86
2008,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,240
2008,VC_HTF_DETV,Bulgaria,<18Y,MALE,38
2008,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,38
2008,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,250
2008,VC_HTF_DETV,Bulgaria,18+,FEMALE,10
2009,VC_HTF_DETV,Bulgaria,18+,FEMALE,31
2009,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,264
2009,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,297
2009,VC_HTF_DETV,Bulgaria,<18Y,MALE,44
2009,VC_HTF_DETV,Bulgaria,18+,MALE,220
2009,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,251
2009,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,46
2009,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,33
2010,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,361
2010,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,68
2018,VC_HTF_DETV,Albania,18+,BOTHSEX,28
2019,VC_HTF_DETV,Albania,ALLAGE,FEMALE,22
2019,VC_HTF_DETV,Albania,<18Y,BOTHSEX,67
2019,VC_HTF_DETV,Albania,18+,MALE,34
2019,VC_HTF_DETV,Albania,18+,BOTHSEX,36
2019,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,103
2019,VC_HTF_DETV,Albania,ALLAGE,MALE,81
2019,VC_HTF_DETV,Albania,<18Y,FEMALE,20
2010,VC_HTF_DETV,Bulgaria,18+,FEMALE,35
2010,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,36
2010,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,393
2010,VC_HTF_DETV,Bulgaria,18+,MALE,326
2010,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,429
2010,VC_HTF_DETV,Bulgaria,<18Y,MALE,67
2011,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,447
2011,VC_HTF_DETV,Bulgaria,18+,FEMALE,83
2011,VC_HTF_DETV,Bulgaria,<18Y,FEMALE,10
2011,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,540
2016,VC_HTF_DETV,Finland,ALLAGE,FEMALE,44
2016,VC_HTF_DETV,Finland,18+,FEMALE,31
2016,VC_HTF_DETV,Finland,<18Y,FEMALE,13
2016,VC_HTF_DETV,Finland,18+,MALE,78
2016,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,134
2016,VC_HTF_DETV,Finland,<18Y,MALE,8
2011,VC_HTF_DETV,Bulgaria,<18Y,MALE,60
2011,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,70
2011,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,470
2011,VC_HTF_DETV,Bulgaria,18+,MALE,387
2011,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,93
2012,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,66
2012,VC_HTF_DETV,Bulgaria,18+,FEMALE,62
2012,VC_HTF_DETV,Bulgaria,18+,MALE,451
2012,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,506
2012,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,513
2019,VC_HTF_DETV,Albania,<18Y,MALE,47
2020,VC_HTF_DETV,Albania,ALLAGE,MALE,54
2020,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,86
2020,VC_HTF_DETV,Albania,ALLAGE,FEMALE,32
2020,VC_HTF_DETV,Albania,18+,MALE,27
2020,VC_HTF_DETV,Albania,<18Y,MALE,27
2020,VC_HTF_DETV,Albania,<18Y,BOTHSEX,58
2020,VC_HTF_DETV,Albania,18+,BOTHSEX,28
2012,VC_HTF_DETV,Bulgaria,<18Y,MALE,55
2012,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,579
2012,VC_HTF_DETV,Bulgaria,<18Y,FEMALE,11
2012,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,73
2013,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,538
2013,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,475
2013,VC_HTF_DETV,Bulgaria,<18Y,FEMALE,17
2013,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,65
2013,VC_HTF_DETV,Bulgaria,<18Y,MALE,48
2013,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,473
2016,VC_HTF_DETV,Finland,18+,BOTHSEX,109
2016,VC_HTF_DETV,Finland,<18Y,BOTHSEX,21
2017,VC_HTF_DETV,Finland,18+,MALE,67
2017,VC_HTF_DETV,Finland,<18Y,BOTHSEX,16
2017,VC_HTF_DETV,Finland,<18Y,FEMALE,10
2017,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,131
2017,VC_HTF_DETV,Finland,ALLAGE,MALE,73
2020,VC_HTF_DETV,Albania,<18Y,FEMALE,31
2021,VC_HTF_DETV,Albania,ALLAGE,FEMALE,60
2021,VC_HTF_DETV,Albania,ALLAGE,BOTHSEX,159
2021,VC_HTF_DETV,Albania,ALLAGE,MALE,99
2021,VC_HTF_DETV,Albania,18+,BOTHSEX,47
2021,VC_HTF_DETV,Albania,<18Y,MALE,54
2021,VC_HTF_DETV,Albania,<18Y,BOTHSEX,112
2021,VC_HTF_DETV,Albania,<18Y,FEMALE,58
2021,VC_HTF_DETV,Albania,18+,MALE,45
2017,VC_HTF_DETV,Finland,ALLAGE,FEMALE,58
2017,VC_HTF_DETV,Finland,<18Y,MALE,6
2017,VC_HTF_DETV,Finland,18+,BOTHSEX,115
2017,VC_HTF_DETV,Finland,18+,FEMALE,48
2018,VC_HTF_DETV,Finland,18+,BOTHSEX,153
2018,VC_HTF_DETV,Finland,ALLAGE,FEMALE,76
2018,VC_HTF_DETV,Finland,18+,MALE,83
2018,VC_HTF_DETV,Finland,<18Y,FEMALE,6
2018,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,163
2018,VC_HTF_DETV,Finland,18+,FEMALE,70
2018,VC_HTF_DETV,Finland,<18Y,BOTHSEX,10
2013,VC_HTF_DETV,Bulgaria,18+,FEMALE,46
2013,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,63
2013,VC_HTF_DETV,Bulgaria,18+,MALE,427
2014,VC_HTF_DETV,Bulgaria,18+,BOTHSEX,450
2014,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,29
2014,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,462
2014,VC_HTF_DETV,Bulgaria,ALLAGE,BOTHSEX,491
2014,VC_HTF_DETV,Bulgaria,18+,FEMALE,17
2014,VC_HTF_DETV,Bulgaria,18+,MALE,433
2014,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,41
2018,VC_HTF_DETV,Finland,ALLAGE,MALE,87
2019,VC_HTF_DETV,Finland,18+,MALE,139
2019,VC_HTF_DETV,Finland,18+,FEMALE,76
2019,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,229
2019,VC_HTF_DETV,Finland,<18Y,BOTHSEX,14
2019,VC_HTF_DETV,Finland,18+,BOTHSEX,215
2019,VC_HTF_DETV,Finland,ALLAGE,MALE,146
2019,VC_HTF_DETV,Finland,<18Y,MALE,7
2019,VC_HTF_DETV,Finland,ALLAGE,FEMALE,83
2019,VC_HTF_DETV,Finland,<18Y,FEMALE,7
2020,VC_HTF_DETV,Finland,18+,BOTHSEX,237
2020,VC_HTF_DETV,Finland,<18Y,FEMALE,6
2007,VC_HTF_DETV,Azerbaijan,ALLAGE,MALE,101
2007,VC_HTF_DETV,Azerbaijan,18+,MALE,99
2007,VC_HTF_DETV,Azerbaijan,18+,BOTHSEX,99
2007,VC_HTF_DETV,Azerbaijan,ALLAGE,BOTHSEX,101
2014,VC_HTF_DETV,Bulgaria,<18Y,FEMALE,12
2014,VC_HTF_DETV,Bulgaria,<18Y,MALE,29
2015,VC_HTF_DETV,Bulgaria,<18Y,MALE,27
2015,VC_HTF_DETV,Bulgaria,<18Y,BOTHSEX,30
2015,VC_HTF_DETV,Bulgaria,ALLAGE,MALE,380
2015,VC_HTF_DETV,Bulgaria,ALLAGE,FEMALE,26
2015,VC_HTF_DETV,Bulgaria,18+,MALE,353
2015,VC_HTF_DETV,Bulgaria,18+,FEMALE,23
2008,VC_HTF_DETV,Azerbaijan,ALLAGE,MALE,76
2008,VC_HTF_DETV,Azerbaijan,18+,BOTHSEX,74
2008,VC_HTF_DETV,Azerbaijan,ALLAGE,BOTHSEX,78
2008,VC_HTF_DETV,Azerbaijan,18+,MALE,74
2020,VC_HTF_DETV,Finland,ALLAGE,MALE,135
2020,VC_HTF_DETV,Finland,18+,FEMALE,106
2020,VC_HTF_DETV,Finland,ALLAGE,FEMALE,112
2020,VC_HTF_DETV,Finland,18+,MALE,131
2020,VC_HTF_DETV,Finland,ALLAGE,BOTHSEX,247
2020,VC_HTF_DETV,Finland,<18Y,BOTHSEX,10
2009,VC_HTF_DETV,Azerbaijan,18+,BOTHSEX,87
