Year,Пол,Страна ,Value
2009,Женщины,Кыргызстан,73.2
2010,Женщины,Кыргызстан,73.5
2011,Женщины,Кыргызстан,73.7
2012,Женщины,Кыргызстан,74.1
2013,Женщины,Кыргызстан,74.3
2014,Женщины,Кыргызстан,74.5
2015,Женщины,Кыргызстан,74.8
2016,Женщины,Кыргызстан,75.1
2017,Женщины,Кыргызстан,75.4
2018,Женщины,Кыргызстан,75.6
2019,Женщины,Кыргызстан,75.8
2020,Женщины,Кыргызстан,76.0
2021,Женщины,Кыргызстан,76.1
1998,Всего,Кыргызстан,67.05121951
1999,Всего,Кыргызстан,68.65609756
2000,Всего,Кыргызстан,68.55853659
2001,Всего,Кыргызстан,68.70731707
2002,Всего,Кыргызстан,68.15609756
2003,Всего,Кыргызстан,68.25609756
2004,Всего,Кыргызстан,68.15365854
2005,Всего,Кыргызстан,67.95609756
2006,Всего,Кыргызстан,67.69512195
2007,Всего,Кыргызстан,67.89512195
2008,Всего,Кыргызстан,68.45121951
2009,Всего,Кыргызстан,69.10243902
2010,Всего,Кыргызстан,69.3
2011,Всего,Кыргызстан,69.60243902
2012,Всего,Кыргызстан,70.00243902
2013,Всего,Кыргызстан,70.20243902
2014,Всего,Кыргызстан,70.40243902
2015,Всего,Кыргызстан,70.65121951
2016,Всего,Кыргызстан,70.95121951
2017,Всего,Кыргызстан,71.2
2018,Всего,Кыргызстан,71.4
2019,Всего,Кыргызстан,71.6
2020,Всего,Кыргызстан,71.8
2021,Всего,Кыргызстан,71.9
1998,Мужчины,Кыргызстан,63.1
1999,Мужчины,Кыргызстан,64.9
2000,Мужчины,Кыргызстан,64.9
2001,Мужчины,Кыргызстан,65.0
2002,Мужчины,Кыргызстан,64.4
2003,Мужчины,Кыргызстан,64.5
2004,Мужчины,Кыргызстан,64.3
2005,Мужчины,Кыргызстан,64.2
2006,Мужчины,Кыргызстан,63.5
2007,Мужчины,Кыргызстан,63.7
2008,Мужчины,Кыргызстан,64.5
2009,Мужчины,Кыргызстан,65.2
2010,Мужчины,Кыргызстан,65.3
2011,Мужчины,Кыргызстан,65.7
2012,Мужчины,Кыргызстан,66.1
2013,Мужчины,Кыргызстан,66.3
2014,Мужчины,Кыргызстан,66.5
2015,Мужчины,Кыргызстан,66.7
2016,Мужчины,Кыргызстан,67.0
2017,Мужчины,Кыргызстан,67.2
2018,Мужчины,Кыргызстан,67.4
2019,Мужчины,Кыргызстан,67.6
2020,Мужчины,Кыргызстан,67.8
2021,Мужчины,Кыргызстан,67.9
1998,Женщины,Таджикистан,64.523
1999,Женщины,Таджикистан,65.266
2000,Женщины,Таджикистан,65.956
2001,Женщины,Таджикистан,66.395
2002,Женщины,Таджикистан,67.251
2003,Женщины,Таджикистан,67.913
2004,Женщины,Таджикистан,68.534
2005,Женщины,Таджикистан,68.995
2006,Женщины,Таджикистан,69.536
2007,Женщины,Таджикистан,69.697
2008,Женщины,Таджикистан,70.109
2009,Женщины,Таджикистан,70.507
2010,Женщины,Таджикистан,70.353
2011,Женщины,Таджикистан,70.824
2012,Женщины,Таджикистан,70.949
2013,Женщины,Таджикистан,71.334
2014,Женщины,Таджикистан,71.644
2015,Женщины,Таджикистан,71.868
2016,Женщины,Таджикистан,72.088
2017,Женщины,Таджикистан,72.34
2018,Женщины,Таджикистан,72.599
2019,Женщины,Таджикистан,73.01
2020,Женщины,Таджикистан,70.17
2021,Женщины,Таджикистан,73.734
1998,Всего,Таджикистан,61.519
1999,Всего,Таджикистан,62.621
2000,Всего,Таджикистан,63.26
2001,Всего,Таджикистан,64.057
2002,Всего,Таджикистан,64.846
2003,Всего,Таджикистан,65.552
2004,Всего,Таджикистан,66.028
2005,Всего,Таджикистан,66.514
2006,Всего,Таджикистан,67.013
2007,Всего,Таджикистан,67.217
2008,Всего,Таджикистан,67.688
2009,Всего,Таджикистан,68.039
2010,Всего,Таджикистан,67.742
2011,Всего,Таджикистан,68.148
2012,Всего,Таджикистан,68.484
2013,Всего,Таджикистан,68.885
2014,Всего,Таджикистан,69.069
2015,Всего,Таджикистан,69.306
2016,Всего,Таджикистан,69.549
2017,Всего,Таджикистан,69.905
2018,Всего,Таджикистан,70.353
2019,Всего,Таджикистан,70.867
2020,Всего,Таджикистан,67.994
2021,Всего,Таджикистан,71.594
1998,Мужчины,Таджикистан,58.684
1999,Мужчины,Таджикистан,60.095
2000,Мужчины,Таджикистан,60.697
2001,Мужчины,Таджикистан,61.823
2002,Мужчины,Таджикистан,62.566
2003,Мужчины,Таджикистан,63.318
2004,Мужчины,Таджикистан,63.685
2005,Мужчины,Таджикистан,64.202
2006,Мужчины,Таджикистан,64.676
2007,Мужчины,Таджикистан,64.926
2008,Мужчины,Таджикистан,65.455
2009,Мужчины,Таджикистан,65.776
2010,Мужчины,Таджикистан,65.365
2011,Мужчины,Таджикистан,65.728
2012,Мужчины,Таджикистан,66.247
2013,Мужчины,Таджикистан,66.662
2014,Мужчины,Таджикистан,66.751
2015,Мужчины,Таджикистан,66.996
2016,Мужчины,Таджикистан,67.254
2017,Мужчины,Таджикистан,67.682
2018,Мужчины,Таджикистан,68.272
2019,Мужчины,Таджикистан,68.862
2020,Мужчины,Таджикистан,65.999
2021,Мужчины,Таджикистан,69.568
1998,Женщины,Туркменистан,67.802
1999,Женщины,Туркменистан,68.292
2000,Женщины,Туркменистан,68.781
2001,Женщины,Туркменистан,68.79
2002,Женщины,Туркменистан,68.972
2003,Женщины,Туркменистан,69.371
2004,Женщины,Туркменистан,69.806
2005,Женщины,Туркменистан,69.636
2006,Женщины,Туркменистан,70.159
2007,Женщины,Туркменистан,70.469
2008,Женщины,Туркменистан,70.816
2009,Женщины,Туркменистан,71.325
2010,Женщины,Туркменистан,71.636
2011,Женщины,Туркменистан,71.888
2012,Женщины,Туркменистан,71.914
2013,Женщины,Туркменистан,71.971
2014,Женщины,Туркменистан,72.014
2015,Женщины,Туркменистан,72.166
2016,Женщины,Туркменистан,71.995
2017,Женщины,Туркменистан,72.227
2018,Женщины,Туркменистан,72.192
2019,Женщины,Туркменистан,72.464
2020,Женщины,Туркменистан,71.984
2021,Женщины,Туркменистан,72.663
1998,Всего,Туркменистан,64.106
1999,Всего,Туркменистан,64.518
2000,Всего,Туркменистан,65.026
2001,Всего,Туркменистан,65.156
2002,Всего,Туркменистан,65.385
2003,Всего,Туркменистан,65.746
2004,Всего,Туркменистан,66.075
2005,Всего,Туркменистан,66.068
2006,Всего,Туркменистан,66.499
2007,Всего,Туркменистан,66.895
2008,Всего,Туркменистан,67.407
2009,Всего,Туркменистан,67.958
2010,Всего,Туркменистан,68.293
2011,Всего,Туркменистан,68.567
2012,Всего,Туркменистан,68.722
2013,Всего,Туркменистан,68.74
2014,Всего,Туркменистан,68.614
2015,Всего,Туркменистан,68.782
2016,Всего,Туркменистан,68.777
2017,Всего,Туркменистан,68.916
2018,Всего,Туркменистан,68.796
2019,Всего,Туркменистан,69.002
2020,Всего,Туркменистан,68.687
2021,Всего,Туркменистан,69.264
1998,Мужчины,Туркменистан,60.466
1999,Мужчины,Туркменистан,60.809
2000,Мужчины,Туркменистан,61.326
2001,Мужчины,Туркменистан,61.571
2002,Мужчины,Туркменистан,61.847
2003,Мужчины,Туркменистан,62.178
2004,Мужчины,Туркменистан,62.418
2005,Мужчины,Туркменистан,62.56
2006,Мужчины,Туркменистан,62.908
2007,Мужчины,Туркменистан,63.368
2008,Мужчины,Туркменистан,64.01
2009,Мужчины,Туркменистан,64.586
2010,Мужчины,Туркменистан,64.937
2011,Мужчины,Туркменистан,65.226
2012,Мужчины,Туркменистан,65.496
2013,Мужчины,Туркменистан,65.484
2014,Мужчины,Туркменистан,65.219
2015,Мужчины,Туркменистан,65.396
2016,Мужчины,Туркменистан,65.538
2017,Мужчины,Туркменистан,65.593
2018,Мужчины,Туркменистан,65.408
2019,Мужчины,Туркменистан,65.552
2020,Мужчины,Туркменистан,65.392
2021,Мужчины,Туркменистан,65.865
1998,Женщины,Узбекистан,68.103
1999,Женщины,Узбекистан,68.438
2000,Женщины,Узбекистан,68.76
2001,Женщины,Узбекистан,69.126
2002,Женщины,Узбекистан,69.601
2003,Женщины,Узбекистан,70.067
2004,Женщины,Узбекистан,70.548
2005,Женщины,Узбекистан,70.301
2006,Женщины,Узбекистан,70.585
2007,Женщины,Узбекистан,71.034
2008,Женщины,Узбекистан,71.445
2009,Женщины,Узбекистан,71.572
2010,Женщины,Узбекистан,71.813
2011,Женщины,Узбекистан,72.225
2012,Женщины,Узбекистан,72.47
2013,Женщины,Узбекистан,72.841
2014,Женщины,Узбекистан,73.13
2015,Женщины,Узбекистан,73.324
2016,Женщины,Узбекистан,73.505
2017,Женщины,Узбекистан,73.773
2018,Женщины,Узбекистан,73.815
2019,Женщины,Узбекистан,73.883
2020,Женщины,Узбекистан,72.789
2021,Женщины,Узбекистан,73.39
1998,Всего,Узбекистан,65.035
1999,Всего,Узбекистан,65.383
2000,Всего,Узбекистан,65.724
2001,Всего,Узбекистан,66.087
2002,Всего,Узбекистан,66.604
2003,Всего,Узбекистан,67.04
2004,Всего,Узбекистан,67.401
2005,Всего,Узбекистан,67.49
2006,Всего,Узбекистан,67.891
2007,Всего,Узбекистан,68.292
2008,Всего,Узбекистан,68.765
2009,Всего,Узбекистан,68.871
2010,Всего,Узбекистан,69.235
2011,Всего,Узбекистан,69.649
2012,Всего,Узбекистан,69.874
2013,Всего,Узбекистан,69.99
2014,Всего,Узбекистан,70.234
2015,Всего,Узбекистан,70.475
2016,Всего,Узбекистан,70.755
2017,Всего,Узбекистан,71.01
2018,Всего,Узбекистан,71.149
2019,Всего,Узбекистан,71.344
2020,Всего,Узбекистан,70.331
2021,Всего,Узбекистан,70.862
1998,Мужчины,Узбекистан,62.014
1999,Мужчины,Узбекистан,62.373
2000,Мужчины,Узбекистан,62.727
2001,Мужчины,Узбекистан,63.086
2002,Мужчины,Узбекистан,63.636
2003,Мужчины,Узбекистан,64.043
2004,Мужчины,Узбекистан,64.302
2005,Мужчины,Узбекистан,64.695
2006,Мужчины,Узбекистан,65.202
2007,Мужчины,Узбекистан,65.559
2008,Мужчины,Узбекистан,66.086
2009,Мужчины,Узбекистан,66.18
2010,Мужчины,Узбекистан,66.655
2011,Мужчины,Узбекистан,67.067
2012,Мужчины,Узбекистан,67.277
2013,Мужчины,Узбекистан,67.174
2014,Мужчины,Узбекистан,67.379
2015,Мужчины,Узбекистан,67.657
2016,Мужчины,Узбекистан,68.016
2017,Мужчины,Узбекистан,68.257
2018,Мужчины,Узбекистан,68.479
2019,Мужчины,Узбекистан,68.782
2020,Мужчины,Узбекистан,67.876
2021,Мужчины,Узбекистан,68.334
1998,Женщины,Albania,78.021
1999,Женщины,Albania,78.209
2000,Женщины,Albania,78.419
2001,Женщины,Albania,78.618
2002,Женщины,Albania,78.823
2003,Женщины,Albania,79.057
2004,Женщины,Albania,79.237
2005,Женщины,Albania,79.493
2006,Женщины,Albania,79.686
2007,Женщины,Albania,80.247
2008,Женщины,Albania,80.429
2009,Женщины,Albania,80.544
2010,Женщины,Albania,80.688
2011,Женщины,Albania,80.798
2012,Женщины,Albania,80.703
2013,Женщины,Albania,80.781
2014,Женщины,Albania,81.013
2015,Женщины,Albania,81.183
2016,Женщины,Albania,81.377
2017,Женщины,Albania,81.504
2018,Женщины,Albania,81.608
2019,Женщины,Albania,81.666
2020,Женщины,Albania,79.676
2021,Женщины,Albania,79.173
1998,Всего,Albania,74.99
1999,Всего,Albania,75.183
2000,Всего,Albania,75.404
2001,Всего,Albania,75.639
2002,Всего,Albania,75.89
2003,Всего,Albania,76.142
2004,Всего,Albania,76.376
2005,Всего,Albania,76.621
2006,Всего,Albania,76.816
2007,Всего,Albania,77.549
2008,Всего,Albania,77.653
2009,Всего,Albania,77.781
2010,Всего,Albania,77.936
2011,Всего,Albania,78.092
2012,Всего,Albania,78.064
2013,Всего,Albania,78.123
2014,Всего,Albania,78.407
2015,Всего,Albania,78.644
2016,Всего,Albania,78.86
2017,Всего,Albania,79.047
2018,Всего,Albania,79.184
2019,Всего,Albania,79.282
2020,Всего,Albania,76.989
2021,Всего,Albania,76.463
1998,Мужчины,Albania,72.19
1999,Мужчины,Albania,72.401
2000,Мужчины,Albania,72.646
2001,Мужчины,Albania,72.921
2002,Мужчины,Albania,73.22
2003,Мужчины,Albania,73.499
2004,Мужчины,Albania,73.786
2005,Мужчины,Albania,74.033
2006,Мужчины,Albania,74.243
2007,Мужчины,Albania,75.1
2008,Мужчины,Albania,75.163
2009,Мужчины,Albania,75.316
2010,Мужчины,Albania,75.493
2011,Мужчины,Albania,75.693
2012,Мужчины,Albania,75.73
2013,Мужчины,Albania,75.786
2014,Мужчины,Albania,76.114
2015,Мужчины,Albania,76.404
2016,Мужчины,Albania,76.639
2017,Мужчины,Albania,76.873
2018,Мужчины,Albania,77.037
2019,Мужчины,Albania,77.168
2020,Мужчины,Albania,74.632
2021,Мужчины,Albania,74.087
1998,Женщины,Armenia,74.033
1999,Женщины,Armenia,73.767
2000,Женщины,Armenia,74.152
2001,Женщины,Armenia,74.587
2002,Женщины,Armenia,74.707
2003,Женщины,Armenia,75.375
2004,Женщины,Armenia,75.116
2005,Женщины,Armenia,75.781
2006,Женщины,Armenia,76.011
2007,Женщины,Armenia,76.322
2008,Женщины,Armenia,76.572
2009,Женщины,Armenia,77.149
2010,Женщины,Armenia,77.437
2011,Женщины,Armenia,77.713
2012,Женщины,Armenia,77.483
2013,Женщины,Armenia,77.913
2014,Женщины,Armenia,78.498
2015,Женщины,Armenia,78.833
2016,Женщины,Armenia,79.203
2017,Женщины,Armenia,79.381
2018,Женщины,Armenia,79.601
2019,Женщины,Armenia,79.856
2020,Женщины,Armenia,76.996
2021,Женщины,Armenia,77.35
1998,Всего,Armenia,70.514
1999,Всего,Armenia,70.257
2000,Всего,Armenia,70.624
2001,Всего,Armenia,70.932
2002,Всего,Armenia,71.018
2003,Всего,Armenia,71.436
2004,Всего,Armenia,71.421
2005,Всего,Armenia,71.792
2006,Всего,Armenia,71.987
2007,Всего,Armenia,72.327
2008,Всего,Armenia,72.398
2009,Всего,Armenia,72.813
2010,Всего,Armenia,73.16
2011,Всего,Armenia,73.305
2012,Всего,Armenia,73.454
2013,Всего,Armenia,73.676
2014,Всего,Armenia,74.058
2015,Всего,Armenia,74.436
2016,Всего,Armenia,74.664
2017,Всего,Armenia,74.906
2018,Всего,Armenia,75.064
2019,Всего,Armenia,75.439
2020,Всего,Armenia,72.173
2021,Всего,Armenia,72.043
1998,Мужчины,Armenia,66.785
1999,Мужчины,Armenia,66.554
2000,Мужчины,Armenia,66.89
2001,Мужчины,Armenia,67.073
2002,Мужчины,Armenia,67.124
2003,Мужчины,Armenia,67.306
2004,Мужчины,Armenia,67.494
2005,Мужчины,Armenia,67.596
2006,Мужчины,Armenia,67.743
2007,Мужчины,Armenia,68.08
2008,Мужчины,Armenia,67.995
2009,Мужчины,Armenia,68.242
2010,Мужчины,Armenia,68.597
2011,Мужчины,Armenia,68.613
2012,Мужчины,Armenia,69.037
2013,Мужчины,Armenia,69.062
2014,Мужчины,Armenia,69.236
2015,Мужчины,Armenia,69.595
2016,Мужчины,Armenia,69.673
2017,Мужчины,Armenia,69.92
2018,Мужчины,Armenia,69.992
2019,Мужчины,Armenia,70.403
2020,Мужчины,Armenia,67.051
2021,Мужчины,Armenia,66.554
1998,Женщины,Azerbaijan,67.599
1999,Женщины,Azerbaijan,68.172
2000,Женщины,Azerbaijan,68.794
2001,Женщины,Azerbaijan,69.356
2002,Женщины,Azerbaijan,69.884
2003,Женщины,Azerbaijan,70.336
2004,Женщины,Azerbaijan,70.771
2005,Женщины,Azerbaijan,70.947
2006,Женщины,Azerbaijan,71.557
2007,Женщины,Azerbaijan,72.025
2008,Женщины,Azerbaijan,71.989
2009,Женщины,Azerbaijan,72.777
2010,Женщины,Azerbaijan,72.821
2011,Женщины,Azerbaijan,73.344
2012,Женщины,Azerbaijan,73.833
2013,Женщины,Azerbaijan,74.277
2014,Женщины,Azerbaijan,74.384
2015,Женщины,Azerbaijan,74.788
2016,Женщины,Azerbaijan,75.587
2017,Женщины,Azerbaijan,75.467
2018,Женщины,Azerbaijan,75.708
2019,Женщины,Azerbaijan,75.832
2020,Женщины,Azerbaijan,70.998
2021,Женщины,Azerbaijan,73.287
1998,Всего,Azerbaijan,63.561
1999,Всего,Azerbaijan,64.189
2000,Всего,Azerbaijan,64.891
2001,Всего,Azerbaijan,65.51
2002,Всего,Azerbaijan,66.239
2003,Всего,Azerbaijan,66.756
2004,Всего,Azerbaijan,67.346
2005,Всего,Azerbaijan,67.562
2006,Всего,Azerbaijan,68.165
2007,Всего,Azerbaijan,68.603
2008,Всего,Azerbaijan,68.811
2009,Всего,Azerbaijan,69.356
2010,Всего,Azerbaijan,69.529
2011,Всего,Azerbaijan,69.984
2012,Всего,Azerbaijan,70.36
2013,Всего,Azerbaijan,70.881
2014,Всего,Azerbaijan,71.116
2015,Всего,Azerbaijan,71.451
2016,Всего,Azerbaijan,72.004
2017,Всего,Azerbaijan,72.248
2018,Всего,Azerbaijan,72.76
2019,Всего,Azerbaijan,73.102
2020,Всего,Azerbaijan,66.868
2021,Всего,Azerbaijan,69.366
1998,Мужчины,Azerbaijan,59.539
1999,Мужчины,Azerbaijan,60.276
2000,Мужчины,Azerbaijan,61.032
2001,Мужчины,Azerbaijan,61.697
2002,Мужчины,Azerbaijan,62.589
2003,Мужчины,Azerbaijan,63.161
2004,Мужчины,Azerbaijan,63.881
2005,Мужчины,Azerbaijan,64.154
2006,Мужчины,Azerbaijan,64.762
2007,Мужчины,Azerbaijan,65.189
2008,Мужчины,Azerbaijan,65.623
2009,Мужчины,Azerbaijan,65.976
2010,Мужчины,Azerbaijan,66.255
2011,Мужчины,Azerbaijan,66.64
2012,Мужчины,Azerbaijan,66.905
2013,Мужчины,Azerbaijan,67.482
2014,Мужчины,Azerbaijan,67.813
2015,Мужчины,Azerbaijan,68.081
2016,Мужчины,Azerbaijan,68.411
2017,Мужчины,Azerbaijan,68.953
2018,Мужчины,Azerbaijan,69.693
2019,Мужчины,Azerbaijan,70.23
2020,Мужчины,Azerbaijan,62.986
2021,Мужчины,Azerbaijan,65.646
1998,Женщины,Belarus,74.4
1999,Женщины,Belarus,73.9
2000,Женщины,Belarus,74.7
2001,Женщины,Belarus,74.5
2002,Женщины,Belarus,74.1
2003,Женщины,Belarus,74.7
2004,Женщины,Belarus,75.0
2005,Женщины,Belarus,75.1
2006,Женщины,Belarus,75.5
2007,Женщины,Belarus,76.2
2008,Женщины,Belarus,76.5
2009,Женщины,Belarus,76.4
2010,Женщины,Belarus,76.5
2011,Женщины,Belarus,76.7
2012,Женщины,Belarus,77.6
2013,Женщины,Belarus,77.9
2014,Женщины,Belarus,78.4
2015,Женщины,Belarus,78.9
2016,Женщины,Belarus,79.0
2017,Женщины,Belarus,79.2
2018,Женщины,Belarus,79.4
2019,Женщины,Belarus,79.4
2020,Женщины,Belarus,77.866
2021,Женщины,Belarus,77.697
1998,Всего,Belarus,68.40731707
1999,Всего,Belarus,67.90731707
2000,Всего,Belarus,68.91219512
2001,Всего,Belarus,68.50731707
2002,Всего,Belarus,68.05609756
2003,Всего,Belarus,68.55365854
2004,Всего,Belarus,68.95609756
2005,Всего,Belarus,68.85121951
2006,Всего,Belarus,69.40487805
2007,Всего,Belarus,70.20731707
2008,Всего,Belarus,70.45609756
2009,Всего,Belarus,70.40731707
2010,Всего,Belarus,70.40487805
2011,Всего,Belarus,70.55365854
2012,Всего,Belarus,71.96585366
2013,Всего,Belarus,72.47073171
2014,Всего,Belarus,72.97073171
2015,Всего,Belarus,73.62439024
2016,Всего,Belarus,73.82682927
2017,Всего,Belarus,74.12926829
2018,Всего,Belarus,74.17560976
2019,Всего,Belarus,74.22682927
2020,Всего,Belarus,72.45721951
2021,Всего,Belarus,72.37068293
1998,Мужчины,Belarus,62.7
1999,Мужчины,Belarus,62.2
2000,Мужчины,Belarus,63.4
2001,Мужчины,Belarus,62.8
2002,Мужчины,Belarus,62.3
2003,Мужчины,Belarus,62.7
2004,Мужчины,Belarus,63.2
2005,Мужчины,Belarus,62.9
2006,Мужчины,Belarus,63.6
2007,Мужчины,Belarus,64.5
2008,Мужчины,Belarus,64.7
2009,Мужчины,Belarus,64.7
2010,Мужчины,Belarus,64.6
2011,Мужчины,Belarus,64.7
2012,Мужчины,Belarus,66.6
2013,Мужчины,Belarus,67.3
2014,Мужчины,Belarus,67.8
2015,Мужчины,Belarus,68.6
2016,Мужчины,Belarus,68.9
2017,Мужчины,Belarus,69.3
2018,Мужчины,Belarus,69.2
2019,Мужчины,Belarus,69.3
2020,Мужчины,Belarus,67.306
2021,Мужчины,Belarus,67.298
1998,Женщины,Bosnia and Herzegovina,76.386
1999,Женщины,Bosnia and Herzegovina,77.871
2000,Женщины,Bosnia and Herzegovina,77.311
2001,Женщины,Bosnia and Herzegovina,77.988
2002,Женщины,Bosnia and Herzegovina,76.83
2003,Женщины,Bosnia and Herzegovina,78.55
2004,Женщины,Bosnia and Herzegovina,78.692
2005,Женщины,Bosnia and Herzegovina,78.332
2006,Женщины,Bosnia and Herzegovina,79.141
2007,Женщины,Bosnia and Herzegovina,78.953
2008,Женщины,Bosnia and Herzegovina,79.607
2009,Женщины,Bosnia and Herzegovina,79.726
2010,Женщины,Bosnia and Herzegovina,79.652
2011,Женщины,Bosnia and Herzegovina,79.382
2012,Женщины,Bosnia and Herzegovina,79.867
2013,Женщины,Bosnia and Herzegovina,78.624
2014,Женщины,Bosnia and Herzegovina,77.709
2015,Женщины,Bosnia and Herzegovina,78.112
2016,Женщины,Bosnia and Herzegovina,78.768
2017,Женщины,Bosnia and Herzegovina,78.958
2018,Женщины,Bosnia and Herzegovina,79.093
2019,Женщины,Bosnia and Herzegovina,79.22
2020,Женщины,Bosnia and Herzegovina,78.414
2021,Женщины,Bosnia and Herzegovina,77.53
1998,Всего,Bosnia and Herzegovina,73.901
1999,Всего,Bosnia and Herzegovina,75.076
2000,Всего,Bosnia and Herzegovina,74.496
2001,Всего,Bosnia and Herzegovina,75.06
2002,Всего,Bosnia and Herzegovina,74.612
2003,Всего,Bosnia and Herzegovina,75.782
2004,Всего,Bosnia and Herzegovina,76.133
2005,Всего,Bosnia and Herzegovina,75.42
2006,Всего,Bosnia and Herzegovina,76.247
2007,Всего,Bosnia and Herzegovina,76.161
2008,Всего,Bosnia and Herzegovina,76.838
2009,Всего,Bosnia and Herzegovina,76.976
2010,Всего,Bosnia and Herzegovina,77.073
2011,Всего,Bosnia and Herzegovina,77.007
2012,Всего,Bosnia and Herzegovina,77.191
2013,Всего,Bosnia and Herzegovina,76.33
2014,Всего,Bosnia and Herzegovina,75.659
2015,Всего,Bosnia and Herzegovina,76.182
2016,Всего,Bosnia and Herzegovina,76.808
2017,Всего,Bosnia and Herzegovina,76.935
2018,Всего,Bosnia and Herzegovina,77.093
2019,Всего,Bosnia and Herzegovina,77.241
2020,Всего,Bosnia and Herzegovina,76.225
2021,Всего,Bosnia and Herzegovina,75.3
1998,Мужчины,Bosnia and Herzegovina,71.197
1999,Мужчины,Bosnia and Herzegovina,72.039
2000,Мужчины,Bosnia and Herzegovina,71.484
2001,Мужчины,Bosnia and Herzegovina,71.932
2002,Мужчины,Bosnia and Herzegovina,72.21
2003,Мужчины,Bosnia and Herzegovina,72.806
2004,Мужчины,Bosnia and Herzegovina,73.357
2005,Мужчины,Bosnia and Herzegovina,72.36
2006,Мужчины,Bosnia and Herzegovina,73.174
2007,Мужчины,Bosnia and Herzegovina,73.201
2008,Мужчины,Bosnia and Herzegovina,73.892
2009,Мужчины,Bosnia and Herzegovina,74.067
2010,Мужчины,Bosnia and Herzegovina,74.341
2011,Мужчины,Bosnia and Herzegovina,74.492
2012,Мужчины,Bosnia and Herzegovina,74.406
2013,Мужчины,Bosnia and Herzegovina,73.945
2014,Мужчины,Bosnia and Herzegovina,73.539
2015,Мужчины,Bosnia and Herzegovina,74.18
2016,Мужчины,Bosnia and Herzegovina,74.775
2017,Мужчины,Bosnia and Herzegovina,74.849
2018,Мужчины,Bosnia and Herzegovina,75.034
2019,Мужчины,Bosnia and Herzegovina,75.208
2020,Мужчины,Bosnia and Herzegovina,74.04
2021,Мужчины,Bosnia and Herzegovina,73.108
1998,Женщины,Georgia,73.091
1999,Женщины,Georgia,73.324
2000,Женщины,Georgia,73.583
2001,Женщины,Georgia,73.807
2002,Женщины,Georgia,74.339
2003,Женщины,Georgia,74.631
2004,Женщины,Georgia,74.791
2005,Женщины,Georgia,75.596
2006,Женщины,Georgia,75.952
2007,Женщины,Georgia,75.784
2008,Женщины,Georgia,75.873
2009,Женщины,Georgia,76.427
