Year,Пол,Страна ,Value
1998,Женщины,Казахстан,70.4
1999,Женщины,Казахстан,70.9
2000,Женщины,Казахстан,71.2
2001,Женщины,Казахстан,71.3
2002,Женщины,Казахстан,71.6
2003,Женщины,Казахстан,71.5
2004,Женщины,Казахстан,72.0
2005,Женщины,Казахстан,71.8
2006,Женщины,Казахстан,72.0
2007,Женщины,Казахстан,72.3
2008,Женщины,Казахстан,72.4
2009,Женщины,Казахстан,73.25
2010,Женщины,Казахстан,73.41
2011,Женщины,Казахстан,73.57
2012,Женщины,Казахстан,74.29
2013,Женщины,Казахстан,75.23
2014,Женщины,Казахстан,75.82
2015,Женщины,Казахстан,76.26
2016,Женщины,Казахстан,76.61
2017,Женщины,Казахстан,76.92
2018,Женщины,Казахстан,77.19
2019,Женщины,Казахстан,77.3
2020,Женщины,Казахстан,75.53
2021,Женщины,Казахстан,74.03
1998,Всего,Казахстан,64.5
1999,Всего,Казахстан,65.63
2000,Всего,Казахстан,65.45
2001,Всего,Казахстан,65.76
2002,Всего,Казахстан,65.95
2003,Всего,Казахстан,65.74
2004,Всего,Казахстан,66.06
2005,Всего,Казахстан,65.86
2006,Всего,Казахстан,66.15
2007,Всего,Казахстан,66.34
2008,Всего,Казахстан,67.11
2009,Всего,Казахстан,68.39
2010,Всего,Казахстан,68.45
2011,Всего,Казахстан,68.69
2012,Всего,Казахстан,69.52
2013,Всего,Казахстан,70.62
2014,Всего,Казахстан,71.44
2015,Всего,Казахстан,71.97
2016,Всего,Казахстан,72.41
2017,Всего,Казахстан,72.95
2018,Всего,Казахстан,73.15
2019,Всего,Казахстан,73.18
2020,Всего,Казахстан,71.37
2021,Всего,Казахстан,70.23
1998,Мужчины,Казахстан,59.0
1999,Мужчины,Казахстан,60.6
2000,Мужчины,Казахстан,60.2
2001,Мужчины,Казахстан,60.5
2002,Мужчины,Казахстан,60.7
2003,Мужчины,Казахстан,60.5
2004,Мужчины,Казахстан,60.6
2005,Мужчины,Казахстан,60.3
2006,Мужчины,Казахстан,60.6
2007,Мужчины,Казахстан,60.7
2008,Мужчины,Казахстан,61.9
2009,Мужчины,Казахстан,63.55
2010,Мужчины,Казахстан,63.55
2011,Мужчины,Казахстан,63.85
2012,Мужчины,Казахстан,64.74
2013,Мужчины,Казахстан,65.91
2014,Мужчины,Казахстан,66.9
2015,Мужчины,Казахстан,67.49
2016,Мужчины,Казахстан,67.99
2017,Мужчины,Казахстан,68.72
2018,Мужчины,Казахстан,68.84
2019,Мужчины,Казахстан,68.82
2020,Мужчины,Казахстан,67.09
2021,Мужчины,Казахстан,66.33
1998,Женщины,Кыргызстан,71.2
1999,Женщины,Кыргызстан,72.6
2000,Женщины,Кыргызстан,72.4
2001,Женщины,Кыргызстан,72.6
2002,Женщины,Кыргызстан,72.1
2003,Женщины,Кыргызстан,72.2
2004,Женщины,Кыргызстан,72.2
2005,Женщины,Кыргызстан,71.9
2006,Женщины,Кыргызстан,72.1
2007,Женщины,Кыргызстан,72.3
2008,Женщины,Кыргызстан,72.6
