Year,SeriesCode,Страна ,Education level,Type of skill,Value
2018,SE_TOT_SESPI,United Arab Emirates,LOWSEC,SKILL_READ,0.48379
2019,SE_TOT_SESPI,United Arab Emirates,LOWSEC,SKILL_MATH,0.87794
2019,SE_TOT_SESPI,United Arab Emirates,PRIMAR,SKILL_MATH,0.95044
2001,SE_TOT_SESPI,Türkiye,PRIMAR,SKILL_READ,0.77588
2003,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.51787
2006,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.64661
2007,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_MATH,0.38256
2009,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.61079
2011,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_MATH,0.52614
2011,SE_TOT_SESPI,Türkiye,PRIMAR,SKILL_MATH,0.62322
2012,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.73061
2015,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.62478
2015,SE_TOT_SESPI,Türkiye,PRIMAR,SKILL_MATH,0.62633
2015,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_MATH,0.52312
2018,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_READ,0.71259
2019,SE_TOT_SESPI,Türkiye,LOWSEC,SKILL_MATH,0.64676
2019,SE_TOT_SESPI,Türkiye,PRIMAR,SKILL_MATH,0.78426
2007,SE_TOT_SESPI,Ukraine,PRIMAR,SKILL_MATH,0.90102
2018,SE_TOT_SESPI,Ukraine,LOWSEC,SKILL_READ,0.63149
2000,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_READ,0.26378
2000,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_MATH,0.28723
2001,SE_TOT_SESPI,North Macedonia,PRIMAR,SKILL_READ,0.75648
2006,SE_TOT_SESPI,North Macedonia,PRIMAR,SKILL_READ,0.73666
2015,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_READ,0.45918
2015,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_MATH,0.3957
2018,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_READ,0.45112
2018,SE_TOT_SESPI,North Macedonia,LOWSEC,SKILL_MATH,0.3883
2019,SE_TOT_SESPI,North Macedonia,PRIMAR,SKILL_MATH,0.60386
2015,SE_TOT_SESPI,United Kingdom of Great Britain and Northern Ireland,LOWSEC,SKILL_MATH,0.75151
2000,SE_TOT_SESPI,Albania,LOWSEC,SKILL_READ,0.27339
2000,SE_TOT_SESPI,Albania,LOWSEC,SKILL_MATH,0.41048
2009,SE_TOT_SESPI,Albania,LOWSEC,SKILL_MATH,0.37906
2009,SE_TOT_SESPI,Albania,LOWSEC,SKILL_READ,0.41353
2012,SE_TOT_SESPI,Albania,LOWSEC,SKILL_READ,1.03566
2012,SE_TOT_SESPI,Albania,LOWSEC,SKILL_MATH,1.03127
2018,SE_TOT_SESPI,Albania,LOWSEC,SKILL_MATH,0.74998
2018,SE_TOT_SESPI,Albania,LOWSEC,SKILL_READ,0.50815
2019,SE_TOT_SESPI,Albania,PRIMAR,SKILL_MATH,0.70848
2011,SE_TOT_SESPI,Azerbaijan,PRIMAR,SKILL_READ,1.02502
2016,SE_TOT_SESPI,Azerbaijan,PRIMAR,SKILL_READ,0.90271
2019,SE_TOT_SESPI,Azerbaijan,PRIMAR,SKILL_MATH,1.06767
2000,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.81026
2000,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.79579
2003,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.75666
2003,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.80484
2003,SE_TOT_SESPI,Australia,GRAD23,SKILL_MATH,0.53046
2003,SE_TOT_SESPI,Australia,PRIMAR,SKILL_MATH,0.64717
2006,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.78708
2006,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.78637
2007,SE_TOT_SESPI,Australia,GRAD23,SKILL_MATH,0.61851
2007,SE_TOT_SESPI,Australia,PRIMAR,SKILL_MATH,0.44465
2009,SE_TOT_SESPI,Australia,LOWSEC,SKILL_READ,0.76681
2009,SE_TOT_SESPI,Australia,LOWSEC,SKILL_MATH,0.73632
