Year,SeriesCode,Страна ,Migratory status,Sex,Value
2019,SL_EMP_INJUR,Finland,_T,MALE,2262.83
2019,SL_EMP_INJUR,Finland,MIGPER,MALE,1774.63
2019,SL_EMP_INJUR,Finland,NONMIG,MALE,2287.25
2019,SL_EMP_INJUR,Finland,_T,FEMALE,1279.08
2019,SL_EMP_INJUR,Finland,MIGPER,FEMALE,669.57
2005,SL_EMP_INJUR,Portugal,_T,FEMALE,1885.0
2005,SL_EMP_INJUR,Portugal,_T,MALE,5354.0
2005,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3867.0
2006,SL_EMP_INJUR,Portugal,_T,FEMALE,1896.0
2006,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3996.0
2006,SL_EMP_INJUR,Portugal,_T,MALE,5448.0
2007,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3965.0
2007,SL_EMP_INJUR,Portugal,_T,MALE,5366.0
2012,SL_EMP_INJUR,Australia,_T,MALE,1252.18
2012,SL_EMP_INJUR,Australia,_T,BOTHSEX,1016.4
2013,SL_EMP_INJUR,Australia,_T,BOTHSEX,1011.47
2013,SL_EMP_INJUR,Australia,_T,FEMALE,756.43
2013,SL_EMP_INJUR,Australia,_T,MALE,1243.23
2014,SL_EMP_INJUR,Australia,_T,MALE,1121.49
2019,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1302.98
2019,SL_EMP_INJUR,Finland,MIGPER,BOTHSEX,1336.61
2019,SL_EMP_INJUR,Finland,_T,BOTHSEX,1788.51
2020,SL_EMP_INJUR,Finland,_T,MALE,1684.99
2020,SL_EMP_INJUR,Finland,MIGPER,MALE,1001.39
2020,SL_EMP_INJUR,Finland,NONMIG,MALE,1725.1
2020,SL_EMP_INJUR,Finland,_T,FEMALE,939.0
2020,SL_EMP_INJUR,Finland,MIGPER,FEMALE,347.92
2020,SL_EMP_INJUR,Finland,NONMIG,FEMALE,963.73
2020,SL_EMP_INJUR,Finland,_T,BOTHSEX,1327.01
2020,SL_EMP_INJUR,Finland,MIGPER,BOTHSEX,740.0
2020,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1357.25
2021,SL_EMP_INJUR,Finland,_T,BOTHSEX,1636.56
2021,SL_EMP_INJUR,Finland,MIGPER,BOTHSEX,786.05
2021,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1683.17
2021,SL_EMP_INJUR,Finland,_T,MALE,2055.51
2021,SL_EMP_INJUR,Finland,MIGPER,MALE,961.25
2021,SL_EMP_INJUR,Finland,NONMIG,MALE,2127.47
2014,SL_EMP_INJUR,Australia,_T,FEMALE,682.34
2014,SL_EMP_INJUR,Australia,_T,BOTHSEX,912.78
2015,SL_EMP_INJUR,Australia,_T,MALE,1328.8
2015,SL_EMP_INJUR,Australia,_T,FEMALE,768.7
2015,SL_EMP_INJUR,Australia,_T,BOTHSEX,1054.5
2016,SL_EMP_INJUR,Australia,_T,FEMALE,694.7
2007,SL_EMP_INJUR,Portugal,_T,FEMALE,2117.0
2009,SL_EMP_INJUR,Portugal,NONMIG,MALE,3788.27
2009,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,2541.29
2009,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2673.13
2009,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1120.73
2016,SL_EMP_INJUR,Australia,_T,MALE,1152.5
2016,SL_EMP_INJUR,Australia,_T,BOTHSEX,933.1
2017,SL_EMP_INJUR,Australia,_T,BOTHSEX,898.72
2017,SL_EMP_INJUR,Australia,_T,MALE,1068.4
2017,SL_EMP_INJUR,Australia,_T,FEMALE,708.13
2004,SL_EMP_INJUR,Austria,_T,FEMALE,1829.0
2009,SL_EMP_INJUR,Portugal,_T,MALE,3993.58
2009,SL_EMP_INJUR,Portugal,_T,FEMALE,1173.66
2010,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1156.02
2010,SL_EMP_INJUR,Portugal,NONMIG,MALE,3838.0
2010,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2616.84
2004,SL_EMP_INJUR,Austria,_T,BOTHSEX,3890.0
2004,SL_EMP_INJUR,Austria,_T,MALE,5560.0
2005,SL_EMP_INJUR,Austria,_T,BOTHSEX,3847.0
2005,SL_EMP_INJUR,Austria,_T,MALE,5486.0
2005,SL_EMP_INJUR,Austria,_T,FEMALE,1831.0
2006,SL_EMP_INJUR,Austria,_T,MALE,5611.0
2010,SL_EMP_INJUR,Portugal,_T,FEMALE,1178.16
2010,SL_EMP_INJUR,Portugal,_T,MALE,3886.56
2010,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,2584.57
2011,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1744.74
2011,SL_EMP_INJUR,Portugal,_T,FEMALE,1787.38
2006,SL_EMP_INJUR,Austria,_T,FEMALE,1855.0
2006,SL_EMP_INJUR,Austria,_T,BOTHSEX,3925.0
2007,SL_EMP_INJUR,Austria,_T,MALE,5069.0
2007,SL_EMP_INJUR,Austria,_T,BOTHSEX,3584.0
2007,SL_EMP_INJUR,Austria,_T,FEMALE,1761.0
2008,SL_EMP_INJUR,Austria,_T,BOTHSEX,4098.0
2011,SL_EMP_INJUR,Portugal,NONMIG,MALE,4331.89
2011,SL_EMP_INJUR,Portugal,_T,MALE,4406.08
2011,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3322.14
2011,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,3265.86
2012,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1886.65
2008,SL_EMP_INJUR,Austria,_T,MALE,5803.0
2008,SL_EMP_INJUR,Austria,_T,FEMALE,2017.0
2009,SL_EMP_INJUR,Austria,_T,BOTHSEX,1933.98
2010,SL_EMP_INJUR,Austria,_T,MALE,2777.32
2010,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1861.58
2010,SL_EMP_INJUR,Austria,NONMIG,FEMALE,886.19
2012,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3215.64
2012,SL_EMP_INJUR,Portugal,_T,FEMALE,1906.75
2012,SL_EMP_INJUR,Portugal,_T,MALE,4176.53
2012,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,3174.07
2012,SL_EMP_INJUR,Portugal,NONMIG,MALE,4109.13
2021,SL_EMP_INJUR,Finland,_T,FEMALE,1185.5
2021,SL_EMP_INJUR,Finland,MIGPER,FEMALE,500.0
2021,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1213.99
2000,SL_EMP_INJUR,France,_T,BOTHSEX,4407.13
2001,SL_EMP_INJUR,France,_T,BOTHSEX,4279.3
2002,SL_EMP_INJUR,France,_T,BOTHSEX,4300.0
2003,SL_EMP_INJUR,France,_T,BOTHSEX,4090.2
2004,SL_EMP_INJUR,France,_T,MALE,7358.0
2004,SL_EMP_INJUR,France,_T,BOTHSEX,3948.9
2004,SL_EMP_INJUR,France,_T,FEMALE,3120.0
2005,SL_EMP_INJUR,France,_T,MALE,7127.0
2005,SL_EMP_INJUR,France,_T,FEMALE,2868.0
2005,SL_EMP_INJUR,France,_T,BOTHSEX,3910.0
2006,SL_EMP_INJUR,France,_T,FEMALE,2979.0
2006,SL_EMP_INJUR,France,_T,MALE,6891.0
2013,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1682.87
2013,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2780.05
2013,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,2742.17
2013,SL_EMP_INJUR,Portugal,NONMIG,MALE,3730.15
2013,SL_EMP_INJUR,Portugal,_T,FEMALE,1708.71
2013,SL_EMP_INJUR,Portugal,_T,MALE,3782.37
2014,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1699.81
2014,SL_EMP_INJUR,Portugal,NONMIG,MALE,3964.21
2014,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2892.64
2014,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,2870.29
2014,SL_EMP_INJUR,Portugal,_T,FEMALE,1704.2
2014,SL_EMP_INJUR,Portugal,_T,MALE,4009.61
2006,SL_EMP_INJUR,France,_T,BOTHSEX,3939.8
2007,SL_EMP_INJUR,France,_T,FEMALE,3009.0
2007,SL_EMP_INJUR,France,_T,BOTHSEX,3943.1
2007,SL_EMP_INJUR,France,_T,MALE,6498.0
2008,SL_EMP_INJUR,France,_T,BOTHSEX,3803.52
2009,SL_EMP_INJUR,France,_T,BOTHSEX,2303.37
2009,SL_EMP_INJUR,France,NONMIG,MALE,2735.89
2010,SL_EMP_INJUR,Austria,_T,BOTHSEX,1914.22
2010,SL_EMP_INJUR,Austria,_T,FEMALE,915.53
2010,SL_EMP_INJUR,Austria,NONMIG,MALE,2708.51
2011,SL_EMP_INJUR,Austria,_T,BOTHSEX,1810.06
2011,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1721.13
2015,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2954.23
2015,SL_EMP_INJUR,Portugal,NONMIG,BOTHSEX,2914.81
2015,SL_EMP_INJUR,Portugal,NONMIG,FEMALE,1774.55
2015,SL_EMP_INJUR,Portugal,_T,MALE,4049.84
2015,SL_EMP_INJUR,Portugal,NONMIG,MALE,3991.96
2015,SL_EMP_INJUR,Portugal,_T,FEMALE,1799.26
2011,SL_EMP_INJUR,Austria,NONMIG,FEMALE,815.67
2011,SL_EMP_INJUR,Austria,_T,MALE,2570.27
2011,SL_EMP_INJUR,Austria,_T,FEMALE,856.34
2011,SL_EMP_INJUR,Austria,NONMIG,MALE,2448.31
2012,SL_EMP_INJUR,Austria,_T,FEMALE,720.19
2016,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2932.15
2017,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2848.41
2018,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2680.15
2019,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2680.94
2020,SL_EMP_INJUR,Portugal,_T,BOTHSEX,2259.94
2000,SL_EMP_INJUR,Romania,_T,BOTHSEX,94.0
2001,SL_EMP_INJUR,Romania,_T,BOTHSEX,98.81
2012,SL_EMP_INJUR,Austria,NONMIG,MALE,2224.28
2012,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1502.72
2012,SL_EMP_INJUR,Austria,_T,BOTHSEX,1602.05
2012,SL_EMP_INJUR,Austria,NONMIG,FEMALE,675.72
2012,SL_EMP_INJUR,Austria,_T,MALE,2367.01
2002,SL_EMP_INJUR,Romania,_T,BOTHSEX,94.0
2003,SL_EMP_INJUR,Romania,_T,BOTHSEX,91.0
2004,SL_EMP_INJUR,Romania,_T,BOTHSEX,89.0
2005,SL_EMP_INJUR,Romania,_T,BOTHSEX,76.17
2006,SL_EMP_INJUR,Romania,_T,BOTHSEX,77.9
2007,SL_EMP_INJUR,Romania,_T,BOTHSEX,76.39
2008,SL_EMP_INJUR,Romania,_T,BOTHSEX,80.0
2009,SL_EMP_INJUR,Romania,NONMIG,MALE,54.2
2013,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1398.07
2013,SL_EMP_INJUR,Austria,_T,FEMALE,685.25
2013,SL_EMP_INJUR,Austria,NONMIG,FEMALE,628.63
2013,SL_EMP_INJUR,Austria,_T,MALE,2305.7
2013,SL_EMP_INJUR,Austria,NONMIG,MALE,2075.52
2013,SL_EMP_INJUR,Austria,_T,BOTHSEX,1548.37
2014,SL_EMP_INJUR,Austria,_T,FEMALE,726.0
2014,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1441.84
2014,SL_EMP_INJUR,Austria,NONMIG,FEMALE,668.77
2014,SL_EMP_INJUR,Austria,_T,BOTHSEX,1590.64
2009,SL_EMP_INJUR,Romania,_T,BOTHSEX,38.48
2009,SL_EMP_INJUR,Romania,NONMIG,BOTHSEX,38.34
2009,SL_EMP_INJUR,Romania,_T,MALE,54.43
2009,SL_EMP_INJUR,Romania,NONMIG,FEMALE,18.82
2009,SL_EMP_INJUR,Romania,_T,FEMALE,18.85
2010,SL_EMP_INJUR,Romania,NONMIG,BOTHSEX,47.85
2014,SL_EMP_INJUR,Austria,NONMIG,MALE,2129.51
2014,SL_EMP_INJUR,Austria,_T,MALE,2360.79
2015,SL_EMP_INJUR,Austria,_T,FEMALE,683.26
2015,SL_EMP_INJUR,Austria,_T,BOTHSEX,1475.99
2015,SL_EMP_INJUR,Austria,NONMIG,FEMALE,625.15
2009,SL_EMP_INJUR,France,_T,FEMALE,1487.45
2009,SL_EMP_INJUR,France,NONMIG,FEMALE,1355.03
2009,SL_EMP_INJUR,France,_T,MALE,3041.7
2009,SL_EMP_INJUR,France,NONMIG,BOTHSEX,2076.26
2010,SL_EMP_INJUR,France,NONMIG,MALE,3194.85
2010,SL_EMP_INJUR,France,_T,MALE,3523.97
2015,SL_EMP_INJUR,Austria,NONMIG,BOTHSEX,1330.47
2015,SL_EMP_INJUR,Austria,_T,MALE,2182.02
2015,SL_EMP_INJUR,Austria,NONMIG,MALE,1963.63
2016,SL_EMP_INJUR,Austria,_T,FEMALE,918.0
2016,SL_EMP_INJUR,Austria,_T,BOTHSEX,1952.0
2016,SL_EMP_INJUR,Austria,_T,MALE,2796.0
2010,SL_EMP_INJUR,France,NONMIG,BOTHSEX,2358.61
2010,SL_EMP_INJUR,France,_T,BOTHSEX,2602.17
2010,SL_EMP_INJUR,France,NONMIG,FEMALE,1517.81
2010,SL_EMP_INJUR,France,_T,FEMALE,1663.37
2011,SL_EMP_INJUR,France,NONMIG,BOTHSEX,3074.14
2011,SL_EMP_INJUR,France,NONMIG,FEMALE,2152.95
2017,SL_EMP_INJUR,Austria,_T,BOTHSEX,1630.08
2018,SL_EMP_INJUR,Austria,_T,BOTHSEX,1463.97
2019,SL_EMP_INJUR,Austria,_T,BOTHSEX,1433.65
2020,SL_EMP_INJUR,Austria,_T,BOTHSEX,1416.53
2013,SL_EMP_INJUR,Armenia,_T,BOTHSEX,45.79
2013,SL_EMP_INJUR,Armenia,_T,FEMALE,6.95
2011,SL_EMP_INJUR,France,NONMIG,MALE,3874.39
2011,SL_EMP_INJUR,France,_T,FEMALE,2346.39
2011,SL_EMP_INJUR,France,_T,BOTHSEX,3378.38
2011,SL_EMP_INJUR,France,_T,MALE,4261.99
2012,SL_EMP_INJUR,France,NONMIG,FEMALE,1569.97
2012,SL_EMP_INJUR,France,_T,FEMALE,1709.61
2013,SL_EMP_INJUR,Armenia,_T,MALE,72.08
2018,SL_EMP_INJUR,Armenia,_T,MALE,69.75
2018,SL_EMP_INJUR,Armenia,_T,BOTHSEX,50.0
2018,SL_EMP_INJUR,Armenia,_T,FEMALE,13.05
2019,SL_EMP_INJUR,Armenia,_T,BOTHSEX,35.06
2012,SL_EMP_INJUR,France,NONMIG,MALE,3142.62
2012,SL_EMP_INJUR,France,NONMIG,BOTHSEX,2356.89
2012,SL_EMP_INJUR,France,_T,BOTHSEX,2573.71
2012,SL_EMP_INJUR,France,_T,MALE,3424.12
2013,SL_EMP_INJUR,France,_T,FEMALE,1683.27
2013,SL_EMP_INJUR,France,NONMIG,MALE,2572.16
2019,SL_EMP_INJUR,Armenia,_T,MALE,53.28
2020,SL_EMP_INJUR,Armenia,_T,BOTHSEX,29.4
2020,SL_EMP_INJUR,Armenia,_T,FEMALE,0.0
2020,SL_EMP_INJUR,Armenia,_T,MALE,45.68
2000,SL_EMP_INJUR,Belgium,_T,BOTHSEX,5071.83
2010,SL_EMP_INJUR,Romania,_T,BOTHSEX,47.98
2010,SL_EMP_INJUR,Romania,_T,MALE,69.74
2010,SL_EMP_INJUR,Romania,_T,FEMALE,24.74
2010,SL_EMP_INJUR,Romania,NONMIG,FEMALE,24.69
2010,SL_EMP_INJUR,Romania,NONMIG,MALE,69.55
2011,SL_EMP_INJUR,Romania,_T,MALE,117.65
2013,SL_EMP_INJUR,France,_T,MALE,3280.0
2013,SL_EMP_INJUR,France,NONMIG,FEMALE,1308.46
2013,SL_EMP_INJUR,France,NONMIG,BOTHSEX,1937.01
2013,SL_EMP_INJUR,France,_T,BOTHSEX,2482.55
2014,SL_EMP_INJUR,France,NONMIG,BOTHSEX,2230.03
2014,SL_EMP_INJUR,France,_T,FEMALE,2753.84
2001,SL_EMP_INJUR,Belgium,_T,BOTHSEX,4319.32
2009,SL_EMP_INJUR,Belgium,_T,FEMALE,1233.54
2009,SL_EMP_INJUR,Belgium,NONMIG,MALE,2503.55
2009,SL_EMP_INJUR,Belgium,NONMIG,BOTHSEX,1955.7
2009,SL_EMP_INJUR,Belgium,_T,MALE,2614.2
2014,SL_EMP_INJUR,France,NONMIG,FEMALE,1680.44
2014,SL_EMP_INJUR,France,NONMIG,MALE,2682.76
2014,SL_EMP_INJUR,France,_T,MALE,3795.1
2014,SL_EMP_INJUR,France,_T,BOTHSEX,3326.98
2015,SL_EMP_INJUR,France,NONMIG,FEMALE,72.32
2015,SL_EMP_INJUR,France,_T,FEMALE,2376.72
2009,SL_EMP_INJUR,Belgium,NONMIG,FEMALE,1214.66
2009,SL_EMP_INJUR,Belgium,_T,BOTHSEX,2035.16
2010,SL_EMP_INJUR,Belgium,NONMIG,FEMALE,1243.01
2010,SL_EMP_INJUR,Belgium,NONMIG,MALE,2513.23
2010,SL_EMP_INJUR,Belgium,NONMIG,BOTHSEX,1971.25
2015,SL_EMP_INJUR,France,NONMIG,MALE,233.98
2015,SL_EMP_INJUR,France,NONMIG,BOTHSEX,152.24
2015,SL_EMP_INJUR,France,_T,BOTHSEX,3160.29
2015,SL_EMP_INJUR,France,_T,MALE,3955.19
2016,SL_EMP_INJUR,France,_T,BOTHSEX,3458.28
2017,SL_EMP_INJUR,France,_T,BOTHSEX,3395.93
2010,SL_EMP_INJUR,Belgium,_T,MALE,2623.71
2010,SL_EMP_INJUR,Belgium,_T,FEMALE,1263.93
2010,SL_EMP_INJUR,Belgium,_T,BOTHSEX,2048.92
2011,SL_EMP_INJUR,Belgium,NONMIG,FEMALE,1306.43
2011,SL_EMP_INJUR,Belgium,_T,MALE,3258.59
2018,SL_EMP_INJUR,France,_T,BOTHSEX,3444.79
2019,SL_EMP_INJUR,France,_T,BOTHSEX,3425.11
2020,SL_EMP_INJUR,France,_T,BOTHSEX,2931.24
2019,SL_EMP_INJUR,Georgia,_T,BOTHSEX,13.0
2019,SL_EMP_INJUR,Georgia,_T,FEMALE,2.0
2019,SL_EMP_INJUR,Georgia,_T,MALE,22.0
2020,SL_EMP_INJUR,Georgia,_T,FEMALE,4.0
2011,SL_EMP_INJUR,Belgium,NONMIG,BOTHSEX,2305.77
2011,SL_EMP_INJUR,Belgium,_T,FEMALE,1333.14
