Year,SeriesCode,Страна ,Type of waste treatment,Value
2016,EN_HAZ_TREATV,Norway,LANDFIL,706945.0
2016,EN_HAZ_TREATV,Norway,INCINRT,56637.0
2018,EN_HAZ_TREATV,Azerbaijan,LANDFIL,213653.0
2018,EN_HAZ_TREATV,Azerbaijan,INCINRT,64222.0
2018,EN_HAZ_TREATV,Azerbaijan,RECYCL,5725.0
2019,EN_HAZ_TREATV,Azerbaijan,LANDFIL,174795.0
2019,EN_HAZ_TREATV,Azerbaijan,INCINRT,66171.0
2019,EN_HAZ_TREATV,Azerbaijan,RECYCL,13484.0
2020,EN_HAZ_TREATV,Azerbaijan,LANDFIL,219002.0
2020,EN_HAZ_TREATV,Azerbaijan,RECYCL,15939.0
2020,EN_HAZ_TREATV,Azerbaijan,INCINRT,61429.0
2021,EN_HAZ_TREATV,Azerbaijan,INCINRT,102494.0
2021,EN_HAZ_TREATV,Azerbaijan,RECYCL,5787.0
2021,EN_HAZ_TREATV,Azerbaijan,LANDFIL,190761.0
2004,EN_HAZ_TREATV,Austria,LANDFIL,43465.0
2004,EN_HAZ_TREATV,Austria,INCINRT_EGY,35668.0
2004,EN_HAZ_TREATV,Austria,INCINRT,150206.0
2004,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2006,EN_HAZ_TREATV,Austria,LANDFIL,0.0
2006,EN_HAZ_TREATV,Austria,INCINRT_EGY,73195.0
2006,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2006,EN_HAZ_TREATV,Austria,INCINRT,79972.0
2008,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2008,EN_HAZ_TREATV,Austria,INCINRT,77201.0
2008,EN_HAZ_TREATV,Austria,LANDFIL,45033.0
2008,EN_HAZ_TREATV,Austria,INCINRT_EGY,83500.0
2010,EN_HAZ_TREATV,Austria,INCINRT,67983.0
2010,EN_HAZ_TREATV,Austria,LANDFIL,47959.0
2010,EN_HAZ_TREATV,Austria,INCINRT_EGY,88184.0
2010,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2010,EN_HAZ_TREATV,Austria,RECYCL,1117841.0
2012,EN_HAZ_TREATV,Austria,RECYCL,1158065.0
2012,EN_HAZ_TREATV,Austria,LANDFIL,59046.0
2012,EN_HAZ_TREATV,Austria,INCINRT_EGY,130516.0
2012,EN_HAZ_TREATV,Austria,OTHERWM,0.0
2012,EN_HAZ_TREATV,Austria,INCINRT,62905.0
2014,EN_HAZ_TREATV,Austria,RECYCL,1492430.0
