Year,SeriesCode,Страна ,Location,Value
2000,SH_SAN_SAFE,Chile,ALLAREA,66.54897
2000,SH_SAN_SAFE,Chile,URBAN,70.11825
2001,SH_SAN_SAFE,Chile,URBAN,70.31994
2001,SH_SAN_SAFE,Chile,ALLAREA,66.90661
2002,SH_SAN_SAFE,Chile,ALLAREA,67.2493
2002,SH_SAN_SAFE,Chile,URBAN,70.52163
2003,SH_SAN_SAFE,Chile,URBAN,70.72332
2003,SH_SAN_SAFE,Chile,ALLAREA,67.54523
2004,SH_SAN_SAFE,Chile,URBAN,72.8567
2004,SH_SAN_SAFE,Chile,ALLAREA,69.61293
2005,SH_SAN_SAFE,Chile,ALLAREA,71.69609
2005,SH_SAN_SAFE,Chile,URBAN,75.00338
2006,SH_SAN_SAFE,Chile,ALLAREA,73.79542
2006,SH_SAN_SAFE,Chile,URBAN,77.16337
2007,SH_SAN_SAFE,Chile,ALLAREA,75.91038
2007,SH_SAN_SAFE,Chile,URBAN,79.33666
2008,SH_SAN_SAFE,Chile,ALLAREA,78.04147
2008,SH_SAN_SAFE,Chile,URBAN,81.52325
2009,SH_SAN_SAFE,Chile,URBAN,83.72314
2009,SH_SAN_SAFE,Chile,ALLAREA,80.18813
2000,SH_SAN_SAFE,Japan,ALLAREA,96.40438
2001,SH_SAN_SAFE,Japan,ALLAREA,96.55231
2002,SH_SAN_SAFE,Japan,ALLAREA,96.69403
2003,SH_SAN_SAFE,Japan,ALLAREA,96.83196
2004,SH_SAN_SAFE,Japan,ALLAREA,96.96611
2005,SH_SAN_SAFE,Japan,ALLAREA,97.09648
2006,SH_SAN_SAFE,Japan,ALLAREA,97.22307
2007,SH_SAN_SAFE,Japan,ALLAREA,97.39781
2008,SH_SAN_SAFE,Japan,ALLAREA,97.56735
2009,SH_SAN_SAFE,Japan,ALLAREA,97.73166
2010,SH_SAN_SAFE,Chile,URBAN,85.93634
2010,SH_SAN_SAFE,Chile,ALLAREA,82.35033
2011,SH_SAN_SAFE,Chile,URBAN,88.16284
2011,SH_SAN_SAFE,Chile,ALLAREA,84.52857
2012,SH_SAN_SAFE,Chile,ALLAREA,86.7223
2012,SH_SAN_SAFE,Chile,URBAN,90.40265
2013,SH_SAN_SAFE,Chile,ALLAREA,88.93174
2013,SH_SAN_SAFE,Chile,URBAN,92.65576
2014,SH_SAN_SAFE,Chile,URBAN,94.92217
2014,SH_SAN_SAFE,Chile,ALLAREA,91.15688
2010,SH_SAN_SAFE,Japan,ALLAREA,97.89073
2011,SH_SAN_SAFE,Japan,ALLAREA,98.04455
2012,SH_SAN_SAFE,Japan,ALLAREA,98.1931
2013,SH_SAN_SAFE,Japan,ALLAREA,98.33637
2014,SH_SAN_SAFE,Japan,ALLAREA,98.47434
2015,SH_SAN_SAFE,Japan,ALLAREA,98.60701
2016,SH_SAN_SAFE,Japan,ALLAREA,98.73435
2017,SH_SAN_SAFE,Japan,ALLAREA,98.85636
2018,SH_SAN_SAFE,Japan,ALLAREA,98.92199
2019,SH_SAN_SAFE,Japan,ALLAREA,98.97932
2020,SH_SAN_SAFE,Japan,ALLAREA,99.03489
2021,SH_SAN_SAFE,Japan,ALLAREA,99.0887
2022,SH_SAN_SAFE,Japan,ALLAREA,99.14076
2000,SH_SAN_SAFE,Казахстан,URBAN,89.92763
2001,SH_SAN_SAFE,Казахстан,URBAN,89.83321
2002,SH_SAN_SAFE,Казахстан,URBAN,89.58047
2003,SH_SAN_SAFE,Казахстан,URBAN,89.24176
2004,SH_SAN_SAFE,Казахстан,URBAN,88.90393
2005,SH_SAN_SAFE,Казахстан,URBAN,88.57547
2006,SH_SAN_SAFE,Казахстан,URBAN,88.24782
2015,SH_SAN_SAFE,Chile,ALLAREA,93.36422
2015,SH_SAN_SAFE,Chile,URBAN,97.16357
2016,SH_SAN_SAFE,Chile,URBAN,98.77052
2016,SH_SAN_SAFE,Chile,ALLAREA,94.94149
2017,SH_SAN_SAFE,Chile,ALLAREA,95.21671
2017,SH_SAN_SAFE,Chile,URBAN,99.00718
2018,SH_SAN_SAFE,Chile,URBAN,99.06077
2018,SH_SAN_SAFE,Chile,ALLAREA,95.16858
2019,SH_SAN_SAFE,Chile,ALLAREA,95.2356
2019,SH_SAN_SAFE,Chile,URBAN,99.24222
2000,SH_SAN_SAFE,Azerbaijan,ALLAREA,40.40324
2000,SH_SAN_SAFE,Azerbaijan,URBAN,34.63177
2001,SH_SAN_SAFE,Azerbaijan,ALLAREA,42.10252
2001,SH_SAN_SAFE,Azerbaijan,URBAN,35.50902
2002,SH_SAN_SAFE,Azerbaijan,ALLAREA,43.79572
2002,SH_SAN_SAFE,Azerbaijan,URBAN,36.38627
2003,SH_SAN_SAFE,Azerbaijan,ALLAREA,45.97546
2003,SH_SAN_SAFE,Azerbaijan,URBAN,38.11381
2004,SH_SAN_SAFE,Azerbaijan,ALLAREA,48.15928
2004,SH_SAN_SAFE,Azerbaijan,URBAN,39.84775
2007,SH_SAN_SAFE,Казахстан,URBAN,87.92099
2008,SH_SAN_SAFE,Казахстан,URBAN,87.59496
2009,SH_SAN_SAFE,Казахстан,URBAN,87.26976
