Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Type of speed,Value
2010,IT_NET_BBND,Australia,,,,,ANYS,25.02365
2010,IT_NET_BBND,Australia,,,,,2MT10MBPS,18.47027
2010,IT_NET_BBND,Australia,,,,,10MBPS,20.12338
2011,IT_NET_BBND,Australia,,,,,256KT2MBPS,3.61408
2011,IT_NET_BBND,Australia,,,,,2MT10MBPS,22.87871
2011,IT_NET_BBND,Australia,,,,,10MBPS,23.25443
2011,IT_NET_BBND,Australia,,,,,ANYS,24.83335
2012,IT_NET_BBND,Australia,,,,,2MT10MBPS,18.53557
2012,IT_NET_BBND,Iceland,,,,,2MT10MBPS,2.99677
2013,IT_NET_BBND,Iceland,,,,,ANYS,36.25256
2013,IT_NET_BBND,Iceland,,,,,10MBPS,34.69095
2013,IT_NET_BBND,Iceland,,,,,2MT10MBPS,1.05517
2014,IT_NET_BBND,Iceland,,,,,ANYS,36.51738
2014,IT_NET_BBND,Iceland,,,,,10MBPS,35.3411
2014,IT_NET_BBND,Iceland,,,,,2MT10MBPS,1.17628
2015,IT_NET_BBND,Iceland,,,,,ANYS,37.58714
2015,IT_NET_BBND,Iceland,,,,,10MBPS,37.20383
2017,IT_NET_BBND,China,,,,,10MBPS,27.00471
2018,IT_NET_BBND,China,,,,,ANYS,28.7482
2018,IT_NET_BBND,China,,,,,2MT10MBPS,0.41741
2018,IT_NET_BBND,China,,,,,10MBPS,28.30757
2018,IT_NET_BBND,China,,,,,256KT2MBPS,0.02322
2019,IT_NET_BBND,China,,,,,ANYS,31.59789
2019,IT_NET_BBND,China,,,,,256KT2MBPS,0.02531
2019,IT_NET_BBND,China,,,,,2MT10MBPS,0.35387
2019,IT_NET_BBND,China,,,,,10MBPS,31.21867
2015,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.31052
2015,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.0728
2016,IT_NET_BBND,Iceland,,,,,ANYS,38.13897
2016,IT_NET_BBND,Iceland,,,,,10MBPS,37.75378
2016,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.26186
2016,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.12333
2017,IT_NET_BBND,Iceland,,,,,ANYS,39.17679
2017,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.1458
2017,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.06315
2012,IT_NET_BBND,Australia,,,,,256KT2MBPS,2.67936
2012,IT_NET_BBND,Australia,,,,,ANYS,25.23178
2013,IT_NET_BBND,Australia,,,,,2MT10MBPS,17.99515
2013,IT_NET_BBND,Australia,,,,,ANYS,25.87858
2013,IT_NET_BBND,Australia,,,,,256KT2MBPS,1.4365
2014,IT_NET_BBND,Australia,,,,,2MT10MBPS,14.08206
2014,IT_NET_BBND,Australia,,,,,256KT2MBPS,0.74565
2014,IT_NET_BBND,Australia,,,,,ANYS,27.84882
2015,IT_NET_BBND,Australia,,,,,ANYS,28.6647
2017,IT_NET_BBND,Iceland,,,,,10MBPS,38.96785
2018,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.07593
2018,IT_NET_BBND,Iceland,,,,,ANYS,39.09635
2018,IT_NET_BBND,Iceland,,,,,10MBPS,38.97537
2018,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.04505
2019,IT_NET_BBND,Iceland,,,,,ANYS,38.59508
2019,IT_NET_BBND,Iceland,,,,,10MBPS,38.5086
2019,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.05377
2019,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.03271
2015,IT_NET_BBND,Australia,,,,,256KT2MBPS,0.49538
2015,IT_NET_BBND,Australia,,,,,2MT10MBPS,9.16448
2016,IT_NET_BBND,Australia,,,,,ANYS,30.47649
2016,IT_NET_BBND,Australia,,,,,256KT2MBPS,0.38023
2016,IT_NET_BBND,Australia,,,,,2MT10MBPS,8.91894
2017,IT_NET_BBND,Australia,,,,,10MBPS,14.10028
2017,IT_NET_BBND,Australia,,,,,ANYS,32.21591
2018,IT_NET_BBND,Australia,,,,,ANYS,33.73729
2018,IT_NET_BBND,Australia,,,,,10MBPS,19.1935
2020,IT_NET_BBND,China,,,,,2MT10MBPS,0.28759
2020,IT_NET_BBND,China,,,,,10MBPS,33.63969
2020,IT_NET_BBND,China,,,,,256KT2MBPS,0.00768
2020,IT_NET_BBND,China,,,,,ANYS,33.93497
2021,IT_NET_BBND,China,,,,,256KT2MBPS,0.00728
2021,IT_NET_BBND,China,,,,,2MT10MBPS,0.26707
2021,IT_NET_BBND,China,,,,,10MBPS,37.30115
2021,IT_NET_BBND,China,,,,,ANYS,37.5755
2000,IT_NET_BBND,Colombia,,,,,ANYS,0.02262
2020,IT_NET_BBND,Iceland,,,,,10MBPS,38.61794
2020,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.03518
2020,IT_NET_BBND,Iceland,,,,,ANYS,38.67684
2020,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.02373
2021,IT_NET_BBND,Iceland,,,,,ANYS,38.64717
2021,IT_NET_BBND,Iceland,,,,,10MBPS,38.61828
2021,IT_NET_BBND,Iceland,,,,,2MT10MBPS,0.01782
2021,IT_NET_BBND,Iceland,,,,,256KT2MBPS,0.01107
2001,IT_NET_BBND,India,,,,,ANYS,0.00463
2019,IT_NET_BBND,Australia,,,,,10MBPS,26.03549
2019,IT_NET_BBND,Australia,,,,,ANYS,34.71444
2020,IT_NET_BBND,Australia,,,,,ANYS,35.44839
2020,IT_NET_BBND,Australia,,,,,10MBPS,31.58107
2021,IT_NET_BBND,Australia,,,,,10MBPS,33.15807
2021,IT_NET_BBND,Australia,,,,,ANYS,35.28163
2000,IT_NET_BBND,Austria,,,,,ANYS,2.37815
2001,IT_NET_BBND,Austria,,,,,ANYS,3.98775
2002,IT_NET_BBND,Austria,,,,,ANYS,5.58238
2002,IT_NET_BBND,India,,,,,ANYS,0.0075
2003,IT_NET_BBND,India,,,,,ANYS,0.01256
2004,IT_NET_BBND,India,,,,,ANYS,0.02068
2005,IT_NET_BBND,India,,,,,ANYS,0.11675
2006,IT_NET_BBND,India,,,,,ANYS,0.19618
2007,IT_NET_BBND,India,,,,,ANYS,0.26309
2008,IT_NET_BBND,India,,,,,ANYS,0.43754
2009,IT_NET_BBND,India,,,,,ANYS,0.63301
2010,IT_NET_BBND,India,,,,,ANYS,0.88585
2011,IT_NET_BBND,India,,,,,ANYS,1.06162
2003,IT_NET_BBND,Austria,,,,,ANYS,7.40138
2004,IT_NET_BBND,Austria,,,,,ANYS,10.64713
2005,IT_NET_BBND,Austria,,,,,ANYS,14.27003
2006,IT_NET_BBND,Austria,,,,,ANYS,17.32028
2007,IT_NET_BBND,Austria,,,,,ANYS,19.5546
2008,IT_NET_BBND,Austria,,,,,ANYS,20.77842
2009,IT_NET_BBND,Austria,,,,,ANYS,22.51634
2010,IT_NET_BBND,Austria,,,,,ANYS,24.51802
2011,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.30985
2001,IT_NET_BBND,Colombia,,,,,ANYS,0.03472
2002,IT_NET_BBND,Colombia,,,,,ANYS,0.08624
2003,IT_NET_BBND,Colombia,,,,,ANYS,0.15694
2004,IT_NET_BBND,Colombia,,,,,ANYS,0.30521
2005,IT_NET_BBND,Colombia,,,,,ANYS,0.7548
2006,IT_NET_BBND,Colombia,,,,,ANYS,1.4684
2007,IT_NET_BBND,Colombia,,,,,ANYS,2.78731
2008,IT_NET_BBND,Colombia,,,,,ANYS,4.04445
2008,IT_NET_BBND,Colombia,,,,,2MT10MBPS,0.07278
2011,IT_NET_BBND,Austria,,,,,10MBPS,9.04519
2011,IT_NET_BBND,Austria,,,,,2MT10MBPS,15.6831
2011,IT_NET_BBND,Austria,,,,,ANYS,24.99881
2012,IT_NET_BBND,Austria,,,,,2MT10MBPS,15.37433
2012,IT_NET_BBND,Austria,,,,,10MBPS,10.14279
2012,IT_NET_BBND,Austria,,,,,ANYS,25.27037
2012,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.23726
2013,IT_NET_BBND,Austria,,,,,10MBPS,11.6162
2013,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.15331
2012,IT_NET_BBND,India,,,,,ANYS,1.17555
2013,IT_NET_BBND,India,,,,,ANYS,1.15617
2014,IT_NET_BBND,India,,,,,ANYS,1.20482
2015,IT_NET_BBND,India,,,,,ANYS,1.28076
2015,IT_NET_BBND,India,,,,,2MT10MBPS,0.64209
2015,IT_NET_BBND,India,,,,,256KT2MBPS,0.51023
2015,IT_NET_BBND,India,,,,,10MBPS,0.10446
2016,IT_NET_BBND,India,,,,,2MT10MBPS,0.68568
2016,IT_NET_BBND,India,,,,,ANYS,1.39346
2013,IT_NET_BBND,Austria,,,,,2MT10MBPS,14.3522
2013,IT_NET_BBND,Austria,,,,,ANYS,26.32808
2014,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.12286
2014,IT_NET_BBND,Austria,,,,,ANYS,27.60334
2014,IT_NET_BBND,Austria,,,,,2MT10MBPS,14.15154
2014,IT_NET_BBND,Austria,,,,,10MBPS,13.32894
2015,IT_NET_BBND,Austria,,,,,2MT10MBPS,11.1404
2015,IT_NET_BBND,Austria,,,,,ANYS,28.41218
2015,IT_NET_BBND,Austria,,,,,10MBPS,15.18093
2016,IT_NET_BBND,India,,,,,256KT2MBPS,0.52566
2016,IT_NET_BBND,India,,,,,10MBPS,0.18212
2017,IT_NET_BBND,India,,,,,ANYS,1.31857
2017,IT_NET_BBND,India,,,,,256KT2MBPS,0.08839
2017,IT_NET_BBND,India,,,,,10MBPS,0.62892
2017,IT_NET_BBND,India,,,,,2MT10MBPS,0.60126
2018,IT_NET_BBND,India,,,,,10MBPS,0.7049
2018,IT_NET_BBND,India,,,,,ANYS,1.32724
2018,IT_NET_BBND,India,,,,,2MT10MBPS,0.60108
2008,IT_NET_BBND,Colombia,,,,,256KT2MBPS,3.28929
2009,IT_NET_BBND,Colombia,,,,,ANYS,4.77228
2009,IT_NET_BBND,Colombia,,,,,2MT10MBPS,1.12502
2009,IT_NET_BBND,Colombia,,,,,256KT2MBPS,3.36546
2010,IT_NET_BBND,Colombia,,,,,ANYS,5.89751
2010,IT_NET_BBND,Colombia,,,,,256KT2MBPS,4.19064
2010,IT_NET_BBND,Colombia,,,,,10MBPS,0.00936
2010,IT_NET_BBND,Colombia,,,,,2MT10MBPS,1.5938
2011,IT_NET_BBND,Colombia,,,,,ANYS,7.38959
2018,IT_NET_BBND,India,,,,,256KT2MBPS,0.02126
2019,IT_NET_BBND,India,,,,,2MT10MBPS,0.47444
2019,IT_NET_BBND,India,,,,,ANYS,1.38503
2019,IT_NET_BBND,India,,,,,10MBPS,0.88713
2019,IT_NET_BBND,India,,,,,256KT2MBPS,0.02347
2020,IT_NET_BBND,India,,,,,256KT2MBPS,0.48752
2020,IT_NET_BBND,India,,,,,2MT10MBPS,0.23409
2020,IT_NET_BBND,India,,,,,10MBPS,0.90748
2020,IT_NET_BBND,India,,,,,ANYS,1.64353
2015,IT_NET_BBND,Austria,,,,,256KT2MBPS,2.09085
2016,IT_NET_BBND,Austria,,,,,256KT2MBPS,1.86574
2016,IT_NET_BBND,Austria,,,,,ANYS,28.88232
2016,IT_NET_BBND,Austria,,,,,10MBPS,16.29145
2016,IT_NET_BBND,Austria,,,,,2MT10MBPS,10.72513
2017,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.04133
2017,IT_NET_BBND,Austria,,,,,2MT10MBPS,11.80986
2017,IT_NET_BBND,Austria,,,,,10MBPS,16.69217
2017,IT_NET_BBND,Austria,,,,,ANYS,28.54676
2021,IT_NET_BBND,India,,,,,10MBPS,1.77066
2021,IT_NET_BBND,India,,,,,ANYS,1.95799
2021,IT_NET_BBND,India,,,,,256KT2MBPS,0.03597
2021,IT_NET_BBND,India,,,,,2MT10MBPS,0.15136
2002,IT_NET_BBND,Ireland,,,,,ANYS,0.2722
2003,IT_NET_BBND,Ireland,,,,,ANYS,1.0559
2004,IT_NET_BBND,Ireland,,,,,ANYS,3.77236
2005,IT_NET_BBND,Ireland,,,,,ANYS,7.82536
2006,IT_NET_BBND,Ireland,,,,,ANYS,13.26389
2018,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.03393
2018,IT_NET_BBND,Austria,,,,,10MBPS,19.80768
2018,IT_NET_BBND,Austria,,,,,2MT10MBPS,8.6771
2018,IT_NET_BBND,Austria,,,,,ANYS,28.51871
2019,IT_NET_BBND,Austria,,,,,10MBPS,21.18952
2019,IT_NET_BBND,Austria,,,,,ANYS,28.36618
2019,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.00616
2019,IT_NET_BBND,Austria,,,,,2MT10MBPS,7.1705
2020,IT_NET_BBND,Austria,,,,,10MBPS,25.0642
2011,IT_NET_BBND,Colombia,,,,,2MT10MBPS,2.8117
2011,IT_NET_BBND,Colombia,,,,,256KT2MBPS,4.41633
2011,IT_NET_BBND,Colombia,,,,,10MBPS,0.04911
2012,IT_NET_BBND,Colombia,,,,,2MT10MBPS,3.32256
2012,IT_NET_BBND,Colombia,,,,,256KT2MBPS,5.06302
2012,IT_NET_BBND,Colombia,,,,,ANYS,8.60299
2012,IT_NET_BBND,Colombia,,,,,10MBPS,0.11915
2013,IT_NET_BBND,Colombia,,,,,ANYS,9.81363
2013,IT_NET_BBND,Colombia,,,,,2MT10MBPS,5.0127
2012,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,23.41335
2012,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,12.2786
2012,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,0.73874
2012,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,39.64183
2013,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,40.26714
2014,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,33.67921
2014,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,40.40915
2014,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,6.5294
2014,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,0.20054
2007,IT_NET_BBND,Ireland,,,,,ANYS,17.40254
2008,IT_NET_BBND,Ireland,,,,,ANYS,20.01717
2008,IT_NET_BBND,Ireland,,,,,2MT10MBPS,9.87687
2008,IT_NET_BBND,Ireland,,,,,256KT2MBPS,9.12076
2008,IT_NET_BBND,Ireland,,,,,10MBPS,1.01954
2009,IT_NET_BBND,Ireland,,,,,ANYS,21.69836
2009,IT_NET_BBND,Ireland,,,,,2MT10MBPS,12.11612
2009,IT_NET_BBND,Ireland,,,,,256KT2MBPS,7.6242
2009,IT_NET_BBND,Ireland,,,,,10MBPS,1.95805
2010,IT_NET_BBND,Ireland,,,,,ANYS,22.54271
2010,IT_NET_BBND,Ireland,,,,,2MT10MBPS,16.12844
2010,IT_NET_BBND,Ireland,,,,,256KT2MBPS,3.42232
2010,IT_NET_BBND,Ireland,,,,,10MBPS,2.99194
2011,IT_NET_BBND,Ireland,,,,,2MT10MBPS,12.87152
2011,IT_NET_BBND,Ireland,,,,,10MBPS,6.72472
2011,IT_NET_BBND,Ireland,,,,,256KT2MBPS,2.26903
2011,IT_NET_BBND,Ireland,,,,,ANYS,23.56201
2012,IT_NET_BBND,Ireland,,,,,ANYS,24.36345
2012,IT_NET_BBND,Ireland,,,,,2MT10MBPS,14.92318
2012,IT_NET_BBND,Ireland,,,,,10MBPS,7.68155
2012,IT_NET_BBND,Ireland,,,,,256KT2MBPS,1.75873
2013,IT_NET_BBND,Ireland,,,,,ANYS,25.91535
2013,IT_NET_BBND,Ireland,,,,,10MBPS,13.84065
2013,IT_NET_BBND,Ireland,,,,,2MT10MBPS,10.77
2013,IT_NET_BBND,Ireland,,,,,256KT2MBPS,1.30471
2014,IT_NET_BBND,Ireland,,,,,10MBPS,17.36419
2014,IT_NET_BBND,Ireland,,,,,2MT10MBPS,8.8378
2020,IT_NET_BBND,Austria,,,,,2MT10MBPS,4.16799
2020,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.02315
2020,IT_NET_BBND,Austria,,,,,ANYS,29.25533
2021,IT_NET_BBND,Austria,,,,,2MT10MBPS,3.06594
2021,IT_NET_BBND,Austria,,,,,256KT2MBPS,0.02132
2021,IT_NET_BBND,Austria,,,,,ANYS,29.05152
2021,IT_NET_BBND,Austria,,,,,10MBPS,25.94657
2001,IT_NET_BBND,Armenia,,,,,ANYS,0.00019
2002,IT_NET_BBND,Armenia,,,,,ANYS,0.00026
2015,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,0.13624
2015,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,41.24789
2015,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,35.3197
2015,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,5.79195
2016,IT_NET_BBND,Netherlands (Kingdom of the),,,,,ANYS,42.17798
2016,IT_NET_BBND,Netherlands (Kingdom of the),,,,,10MBPS,41.4097
2016,IT_NET_BBND,Netherlands (Kingdom of the),,,,,2MT10MBPS,0.69483
2016,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,0.07345
2017,IT_NET_BBND,Netherlands (Kingdom of the),,,,,256KT2MBPS,0.04458
2014,IT_NET_BBND,Ireland,,,,,256KT2MBPS,1.03107
2014,IT_NET_BBND,Ireland,,,,,ANYS,27.23307
2015,IT_NET_BBND,Ireland,,,,,ANYS,28.06546
2015,IT_NET_BBND,Ireland,,,,,10MBPS,19.28961
2015,IT_NET_BBND,Ireland,,,,,2MT10MBPS,8.09118
2015,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.68773
2016,IT_NET_BBND,Ireland,,,,,ANYS,28.84362
2016,IT_NET_BBND,Ireland,,,,,10MBPS,23.01588
2016,IT_NET_BBND,Ireland,,,,,2MT10MBPS,5.43555
2016,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.392
2017,IT_NET_BBND,Ireland,,,,,10MBPS,24.68848
2017,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.24366
2017,IT_NET_BBND,Ireland,,,,,2MT10MBPS,4.38138
2017,IT_NET_BBND,Ireland,,,,,ANYS,29.31351
2018,IT_NET_BBND,Ireland,,,,,10MBPS,25.85625
2018,IT_NET_BBND,Ireland,,,,,2MT10MBPS,3.5604
2018,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.16568
2018,IT_NET_BBND,Ireland,,,,,ANYS,29.58233
2013,IT_NET_BBND,Colombia,,,,,256KT2MBPS,4.38758
2013,IT_NET_BBND,Colombia,,,,,10MBPS,0.30334
2014,IT_NET_BBND,Colombia,,,,,ANYS,10.77296
2014,IT_NET_BBND,Colombia,,,,,2MT10MBPS,6.88983
2014,IT_NET_BBND,Colombia,,,,,10MBPS,0.41757
2014,IT_NET_BBND,Colombia,,,,,256KT2MBPS,3.46556
2015,IT_NET_BBND,Colombia,,,,,10MBPS,1.06513
2015,IT_NET_BBND,Colombia,,,,,256KT2MBPS,2.35319
2015,IT_NET_BBND,Colombia,,,,,2MT10MBPS,8.30874
2003,IT_NET_BBND,Armenia,,,,,ANYS,0.00032
2004,IT_NET_BBND,Armenia,,,,,ANYS,0.03262
2005,IT_NET_BBND,Armenia,,,,,ANYS,0.0653
2007,IT_NET_BBND,Armenia,,,,,ANYS,0.12981
2008,IT_NET_BBND,Armenia,,,,,ANYS,0.46252
2009,IT_NET_BBND,Armenia,,,,,ANYS,1.34561
2010,IT_NET_BBND,Armenia,,,,,ANYS,3.1764
2011,IT_NET_BBND,Armenia,,,,,ANYS,5.48222
2011,IT_NET_BBND,Armenia,,,,,256KT2MBPS,4.19208
2015,IT_NET_BBND,Colombia,,,,,ANYS,11.72707
2016,IT_NET_BBND,Colombia,,,,,10MBPS,1.80322
2016,IT_NET_BBND,Colombia,,,,,2MT10MBPS,9.29047
2016,IT_NET_BBND,Colombia,,,,,ANYS,12.41543
2016,IT_NET_BBND,Colombia,,,,,256KT2MBPS,1.32174
2017,IT_NET_BBND,Colombia,,,,,2MT10MBPS,9.05269
2017,IT_NET_BBND,Colombia,,,,,ANYS,13.09372
2017,IT_NET_BBND,Colombia,,,,,256KT2MBPS,0.59272
2017,IT_NET_BBND,Colombia,,,,,10MBPS,3.44831
2019,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.13776
2019,IT_NET_BBND,Ireland,,,,,ANYS,29.87221
2019,IT_NET_BBND,Ireland,,,,,10MBPS,26.97438
2019,IT_NET_BBND,Ireland,,,,,2MT10MBPS,2.76006
2020,IT_NET_BBND,Ireland,,,,,10MBPS,28.2937
2020,IT_NET_BBND,Ireland,,,,,2MT10MBPS,2.17176
2020,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.19439
2020,IT_NET_BBND,Ireland,,,,,ANYS,30.65986
2021,IT_NET_BBND,Ireland,,,,,10MBPS,29.81914
2011,IT_NET_BBND,Armenia,,,,,10MBPS,0.0181
2011,IT_NET_BBND,Armenia,,,,,2MT10MBPS,1.1727
2012,IT_NET_BBND,Armenia,,,,,ANYS,7.27599
2012,IT_NET_BBND,Armenia,,,,,2MT10MBPS,1.83851
2012,IT_NET_BBND,Armenia,,,,,256KT2MBPS,4.76225
2012,IT_NET_BBND,Armenia,,,,,10MBPS,0.49337
2013,IT_NET_BBND,Armenia,,,,,2MT10MBPS,3.88315
2013,IT_NET_BBND,Armenia,,,,,ANYS,8.37731
2013,IT_NET_BBND,Armenia,,,,,10MBPS,0.90815
2021,IT_NET_BBND,Ireland,,,,,ANYS,31.62516
2021,IT_NET_BBND,Ireland,,,,,2MT10MBPS,1.61632
2021,IT_NET_BBND,Ireland,,,,,256KT2MBPS,0.18971
2001,IT_NET_BBND,Israel,,,,,ANYS,0.70319
2002,IT_NET_BBND,Israel,,,,,ANYS,3.6444
2003,IT_NET_BBND,Israel,,,,,ANYS,9.77623
2004,IT_NET_BBND,Israel,,,,,ANYS,14.85752
2005,IT_NET_BBND,Israel,,,,,ANYS,18.31402
2006,IT_NET_BBND,Israel,,,,,ANYS,20.79895
2018,IT_NET_BBND,Colombia,,,,,ANYS,13.55307
2018,IT_NET_BBND,Colombia,,,,,2MT10MBPS,6.04828
2018,IT_NET_BBND,Colombia,,,,,256KT2MBPS,0.26237
2018,IT_NET_BBND,Colombia,,,,,10MBPS,7.24241
2019,IT_NET_BBND,Colombia,,,,,256KT2MBPS,0.38136
2019,IT_NET_BBND,Colombia,,,,,2MT10MBPS,4.64061
2019,IT_NET_BBND,Colombia,,,,,ANYS,13.8478
2019,IT_NET_BBND,Colombia,,,,,10MBPS,8.82584
2020,IT_NET_BBND,Colombia,,,,,ANYS,15.24577
2007,IT_NET_BBND,Israel,,,,,ANYS,21.98647
2008,IT_NET_BBND,Israel,,,,,ANYS,23.80373
2009,IT_NET_BBND,Israel,,,,,ANYS,23.93155
2010,IT_NET_BBND,Israel,,,,,ANYS,24.0433
2011,IT_NET_BBND,Israel,,,,,ANYS,25.1889
2011,IT_NET_BBND,Israel,,,,,256KT2MBPS,10.57934
2011,IT_NET_BBND,Israel,,,,,2MT10MBPS,4.03023
2011,IT_NET_BBND,Israel,,,,,10MBPS,10.57934
2012,IT_NET_BBND,Israel,,,,,ANYS,25.51334
2013,IT_NET_BBND,Armenia,,,,,256KT2MBPS,3.28829
2014,IT_NET_BBND,Armenia,,,,,10MBPS,1.58578
2014,IT_NET_BBND,Armenia,,,,,256KT2MBPS,2.90748
2014,IT_NET_BBND,Armenia,,,,,ANYS,9.44262
2014,IT_NET_BBND,Armenia,,,,,2MT10MBPS,4.94936
2015,IT_NET_BBND,Armenia,,,,,10MBPS,3.33103
2015,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.49939
2015,IT_NET_BBND,Armenia,,,,,ANYS,9.94648
2015,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.11606
2013,IT_NET_BBND,Israel,,,,,ANYS,25.92318
2014,IT_NET_BBND,Israel,,,,,ANYS,27.0987
2015,IT_NET_BBND,Israel,,,,,ANYS,27.13612
2016,IT_NET_BBND,Israel,,,,,ANYS,27.67493
2016,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2017,IT_NET_BBND,Israel,,,,,ANYS,28.18543
2017,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2018,IT_NET_BBND,Israel,,,,,ANYS,28.79448
2018,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2016,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.18211
2016,IT_NET_BBND,Armenia,,,,,10MBPS,4.11883
2016,IT_NET_BBND,Armenia,,,,,ANYS,10.43919
2016,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.13825
2017,IT_NET_BBND,Armenia,,,,,10MBPS,4.84091
2017,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.20807
2017,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.00739
2017,IT_NET_BBND,Armenia,,,,,ANYS,11.05636
2018,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.15755
2018,IT_NET_BBND,Armenia,,,,,10MBPS,5.87646
2018,IT_NET_BBND,Armenia,,,,,ANYS,12.24893
2018,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.21493
2019,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.13185
2019,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.12206
2019,IT_NET_BBND,Armenia,,,,,10MBPS,7.42061
2019,IT_NET_BBND,Armenia,,,,,ANYS,13.67453
2020,IT_NET_BBND,Armenia,,,,,256KT2MBPS,0.07506
2020,IT_NET_BBND,Armenia,,,,,2MT10MBPS,6.01805
2020,IT_NET_BBND,Colombia,,,,,256KT2MBPS,0.31144
2020,IT_NET_BBND,Colombia,,,,,10MBPS,10.94429
2020,IT_NET_BBND,Colombia,,,,,2MT10MBPS,3.99003
2021,IT_NET_BBND,Colombia,,,,,10MBPS,12.98518
2021,IT_NET_BBND,Colombia,,,,,256KT2MBPS,0.09738
2021,IT_NET_BBND,Colombia,,,,,2MT10MBPS,3.2892
2021,IT_NET_BBND,Colombia,,,,,ANYS,16.37176
2002,IT_NET_BBND,Costa Rica,,,,,ANYS,0.21804
2003,IT_NET_BBND,Costa Rica,,,,,ANYS,0.3552
2019,IT_NET_BBND,Israel,,,,,ANYS,28.82174
2019,IT_NET_BBND,Israel,,,,,10MBPS,28.27629
2019,IT_NET_BBND,Israel,,,,,2MT10MBPS,0.54127
2019,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2020,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2020,IT_NET_BBND,Israel,,,,,2MT10MBPS,0.44432
2020,IT_NET_BBND,Israel,,,,,ANYS,29.71261
2020,IT_NET_BBND,Israel,,,,,10MBPS,29.26828
2021,IT_NET_BBND,Israel,,,,,10MBPS,29.86562
2021,IT_NET_BBND,Israel,,,,,ANYS,29.85096
2021,IT_NET_BBND,Israel,,,,,2MT10MBPS,0.0
2021,IT_NET_BBND,Israel,,,,,256KT2MBPS,0.0
2000,IT_NET_BBND,Italy,,,,,ANYS,0.20187
2001,IT_NET_BBND,Italy,,,,,ANYS,0.68427
2002,IT_NET_BBND,Italy,,,,,ANYS,1.48842
2003,IT_NET_BBND,Italy,,,,,ANYS,3.91814
2004,IT_NET_BBND,Italy,,,,,ANYS,8.16531
2005,IT_NET_BBND,Italy,,,,,ANYS,11.72204
2006,IT_NET_BBND,Italy,,,,,ANYS,14.54293
2020,IT_NET_BBND,Armenia,,,,,10MBPS,9.24784
2020,IT_NET_BBND,Armenia,,,,,ANYS,15.34095
