Year,SeriesCode,Страна ,IHR Capacity,Value
2017,SH_IHR_CAPS,Albania,IHR10,67
2017,SH_IHR_CAPS,Albania,IHR09,15
2017,SH_IHR_CAPS,Albania,IHR02,57
2017,SH_IHR_CAPS,Albania,IHR03,60
2017,SH_IHR_CAPS,Albania,IHR06,57
2017,SH_IHR_CAPS,Albania,IHR05,17
2017,SH_IHR_CAPS,Albania,IHR04,35
2017,SH_IHR_CAPS,Albania,IHR11,33
2017,SH_IHR_CAPS,Albania,IHR13,62
2017,SH_IHR_CAPS,Albania,IHR12,23
2017,SH_IHR_CAPS,Albania,IHR01,75
2017,SH_IHR_CAPS,Albania,IHR07,40
2017,SH_IHR_CAPS,Albania,IHR08,63
2019,SH_IHR_CAPS,Albania,SPAR13,40
2019,SH_IHR_CAPS,Albania,SPAR12,20
2019,SH_IHR_CAPS,Albania,SPAR06,100
2019,SH_IHR_CAPS,Albania,SPAR05,53
2019,SH_IHR_CAPS,Albania,SPAR07,80
2019,SH_IHR_CAPS,Albania,SPAR11,80
2019,SH_IHR_CAPS,Albania,SPAR10,40
2019,SH_IHR_CAPS,Albania,SPAR04,60
2019,SH_IHR_CAPS,Albania,SPAR03,80
2019,SH_IHR_CAPS,Albania,SPAR02,90
2019,SH_IHR_CAPS,Albania,SPAR01,73
2019,SH_IHR_CAPS,Albania,SPAR08,40
2019,SH_IHR_CAPS,Albania,SPAR09,47
2020,SH_IHR_CAPS,Albania,SPAR13,60
2020,SH_IHR_CAPS,Albania,SPAR07,60
2020,SH_IHR_CAPS,Albania,SPAR08,67
2020,SH_IHR_CAPS,Albania,SPAR02,100
2020,SH_IHR_CAPS,Albania,SPAR03,80
2020,SH_IHR_CAPS,Albania,SPAR12,80
2020,SH_IHR_CAPS,Albania,SPAR04,80
2020,SH_IHR_CAPS,Albania,SPAR05,60
2020,SH_IHR_CAPS,Albania,SPAR06,90
2020,SH_IHR_CAPS,Albania,SPAR10,60
2020,SH_IHR_CAPS,Albania,SPAR09,60
2020,SH_IHR_CAPS,Albania,SPAR11,80
2020,SH_IHR_CAPS,Albania,SPAR01,67
2021,SH_IHR_CAPS,Albania,SPAR2-C01,70
2021,SH_IHR_CAPS,Albania,SPAR2-C02,87
2021,SH_IHR_CAPS,Albania,SPAR2-C08,80
2021,SH_IHR_CAPS,Albania,SPAR2-C07,87
2021,SH_IHR_CAPS,Albania,SPAR2-C13,80
2021,SH_IHR_CAPS,Albania,SPAR2-C10,53
2021,SH_IHR_CAPS,Albania,SPAR2-C09,60
2021,SH_IHR_CAPS,Albania,SPAR2-C12,100
2021,SH_IHR_CAPS,Albania,SPAR2-C14,20
2021,SH_IHR_CAPS,Albania,SPAR2-C15,60
2021,SH_IHR_CAPS,Albania,SPAR2-C11,93
2021,SH_IHR_CAPS,Albania,SPAR2-C03,90
2021,SH_IHR_CAPS,Albania,SPAR2-C04,76
2021,SH_IHR_CAPS,Albania,SPAR2-C05,100
2021,SH_IHR_CAPS,Albania,SPAR2-C06,80
2022,SH_IHR_CAPS,Albania,SPAR2-C06,90
2022,SH_IHR_CAPS,Albania,SPAR2-C07,93
2022,SH_IHR_CAPS,Albania,SPAR2-C05,100
2022,SH_IHR_CAPS,Albania,SPAR2-C01,100
2022,SH_IHR_CAPS,Albania,SPAR2-C04,84
2022,SH_IHR_CAPS,Albania,SPAR2-C03,100
2022,SH_IHR_CAPS,Albania,SPAR2-C02,100
2022,SH_IHR_CAPS,Albania,SPAR2-C08,93
2022,SH_IHR_CAPS,Albania,SPAR2-C09,80
2022,SH_IHR_CAPS,Albania,SPAR2-C10,87
2022,SH_IHR_CAPS,Albania,SPAR2-C14,60
2022,SH_IHR_CAPS,Albania,SPAR2-C13,100
2022,SH_IHR_CAPS,Albania,SPAR2-C11,93
2022,SH_IHR_CAPS,Albania,SPAR2-C12,100
2022,SH_IHR_CAPS,Albania,SPAR2-C15,80
2010,SH_IHR_CAPS,Azerbaijan,IHR12,21
2010,SH_IHR_CAPS,Azerbaijan,IHR13,60
2010,SH_IHR_CAPS,Azerbaijan,IHR11,40
2010,SH_IHR_CAPS,Azerbaijan,IHR02,50
2010,SH_IHR_CAPS,Azerbaijan,IHR01,25
2010,SH_IHR_CAPS,Azerbaijan,IHR10,84
2010,SH_IHR_CAPS,Azerbaijan,IHR09,54
2010,SH_IHR_CAPS,Azerbaijan,IHR08,70
2010,SH_IHR_CAPS,Azerbaijan,IHR07,16
2010,SH_IHR_CAPS,Azerbaijan,IHR06,70
2010,SH_IHR_CAPS,Azerbaijan,IHR05,35
2010,SH_IHR_CAPS,Azerbaijan,IHR04,83
2010,SH_IHR_CAPS,Azerbaijan,IHR03,84
2011,SH_IHR_CAPS,Azerbaijan,IHR05,100
2011,SH_IHR_CAPS,Azerbaijan,IHR02,73
2011,SH_IHR_CAPS,Azerbaijan,IHR10,100
2011,SH_IHR_CAPS,Azerbaijan,IHR11,75
2011,SH_IHR_CAPS,Azerbaijan,IHR12,75
2011,SH_IHR_CAPS,Azerbaijan,IHR13,58
2011,SH_IHR_CAPS,Azerbaijan,IHR04,86
2011,SH_IHR_CAPS,Azerbaijan,IHR03,90
2011,SH_IHR_CAPS,Azerbaijan,IHR01,75
2011,SH_IHR_CAPS,Azerbaijan,IHR06,57
2011,SH_IHR_CAPS,Azerbaijan,IHR07,100
2011,SH_IHR_CAPS,Azerbaijan,IHR08,80
2011,SH_IHR_CAPS,Azerbaijan,IHR09,64
2013,SH_IHR_CAPS,Azerbaijan,IHR13,77
2013,SH_IHR_CAPS,Azerbaijan,IHR02,83
2013,SH_IHR_CAPS,Azerbaijan,IHR04,94
2013,SH_IHR_CAPS,Azerbaijan,IHR05,75
2013,SH_IHR_CAPS,Azerbaijan,IHR06,57
2013,SH_IHR_CAPS,Azerbaijan,IHR03,100
2013,SH_IHR_CAPS,Azerbaijan,IHR12,85
2013,SH_IHR_CAPS,Azerbaijan,IHR11,93
2013,SH_IHR_CAPS,Azerbaijan,IHR10,100
2013,SH_IHR_CAPS,Azerbaijan,IHR09,86
2013,SH_IHR_CAPS,Azerbaijan,IHR08,96
2013,SH_IHR_CAPS,Azerbaijan,IHR07,100
2013,SH_IHR_CAPS,Azerbaijan,IHR01,50
2014,SH_IHR_CAPS,Azerbaijan,IHR04,94
2014,SH_IHR_CAPS,Azerbaijan,IHR11,93
2014,SH_IHR_CAPS,Azerbaijan,IHR08,96
2014,SH_IHR_CAPS,Azerbaijan,IHR09,86
2014,SH_IHR_CAPS,Azerbaijan,IHR07,100
2014,SH_IHR_CAPS,Azerbaijan,IHR13,77
2014,SH_IHR_CAPS,Azerbaijan,IHR02,83
2014,SH_IHR_CAPS,Azerbaijan,IHR01,50
2014,SH_IHR_CAPS,Azerbaijan,IHR03,100
2014,SH_IHR_CAPS,Azerbaijan,IHR10,100
2014,SH_IHR_CAPS,Azerbaijan,IHR06,57
2014,SH_IHR_CAPS,Azerbaijan,IHR05,75
2014,SH_IHR_CAPS,Azerbaijan,IHR12,85
2018,SH_IHR_CAPS,Azerbaijan,SPAR02,90
2018,SH_IHR_CAPS,Azerbaijan,SPAR07,80
2018,SH_IHR_CAPS,Azerbaijan,SPAR12,100
2018,SH_IHR_CAPS,Azerbaijan,SPAR08,73
2018,SH_IHR_CAPS,Azerbaijan,SPAR09,93
2018,SH_IHR_CAPS,Azerbaijan,SPAR13,80
2018,SH_IHR_CAPS,Azerbaijan,SPAR03,80
2018,SH_IHR_CAPS,Azerbaijan,SPAR04,60
2018,SH_IHR_CAPS,Azerbaijan,SPAR05,87
2018,SH_IHR_CAPS,Azerbaijan,SPAR06,90
2018,SH_IHR_CAPS,Azerbaijan,SPAR01,80
2018,SH_IHR_CAPS,Azerbaijan,SPAR10,100
2018,SH_IHR_CAPS,Azerbaijan,SPAR11,70
2019,SH_IHR_CAPS,Azerbaijan,SPAR02,90
2019,SH_IHR_CAPS,Azerbaijan,SPAR04,80
2019,SH_IHR_CAPS,Azerbaijan,SPAR03,80
2019,SH_IHR_CAPS,Azerbaijan,SPAR09,93
2019,SH_IHR_CAPS,Azerbaijan,SPAR11,80
2019,SH_IHR_CAPS,Azerbaijan,SPAR06,90
2019,SH_IHR_CAPS,Azerbaijan,SPAR05,87
2019,SH_IHR_CAPS,Azerbaijan,SPAR08,73
2019,SH_IHR_CAPS,Azerbaijan,SPAR07,80
2019,SH_IHR_CAPS,Azerbaijan,SPAR01,80
2019,SH_IHR_CAPS,Azerbaijan,SPAR10,100
2019,SH_IHR_CAPS,Azerbaijan,SPAR13,100
2019,SH_IHR_CAPS,Azerbaijan,SPAR12,100
2020,SH_IHR_CAPS,Azerbaijan,SPAR09,93
2020,SH_IHR_CAPS,Azerbaijan,SPAR10,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR13,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR11,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR12,100
2020,SH_IHR_CAPS,Azerbaijan,SPAR04,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR06,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR07,100
2020,SH_IHR_CAPS,Azerbaijan,SPAR08,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR05,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR03,80
2020,SH_IHR_CAPS,Azerbaijan,SPAR02,90
2020,SH_IHR_CAPS,Azerbaijan,SPAR01,100
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C05,100
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C03,100
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C04,76
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C13,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C12,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C06,90
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C01,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C02,87
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C08,87
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C09,47
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C10,100
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C11,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C15,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C14,80
2021,SH_IHR_CAPS,Azerbaijan,SPAR2-C07,93
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C02,73
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C03,100
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C04,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C05,100
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C06,50
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C13,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C14,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C15,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C10,100
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C09,40
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C07,87
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C08,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C01,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C11,80
2022,SH_IHR_CAPS,Azerbaijan,SPAR2-C12,100
2010,SH_IHR_CAPS,Australia,IHR11,100
2010,SH_IHR_CAPS,Australia,IHR10,100
2010,SH_IHR_CAPS,Australia,IHR09,58
2010,SH_IHR_CAPS,Australia,IHR08,92
2010,SH_IHR_CAPS,Australia,IHR07,100
2010,SH_IHR_CAPS,Australia,IHR03,88
2010,SH_IHR_CAPS,Australia,IHR04,100
2010,SH_IHR_CAPS,Australia,IHR05,100
2010,SH_IHR_CAPS,Australia,IHR06,100
2010,SH_IHR_CAPS,Australia,IHR01,75
2010,SH_IHR_CAPS,Australia,IHR02,100
2010,SH_IHR_CAPS,Australia,IHR13,100
2010,SH_IHR_CAPS,Australia,IHR12,92
2011,SH_IHR_CAPS,Australia,IHR12,100
2011,SH_IHR_CAPS,Australia,IHR10,100
2011,SH_IHR_CAPS,Australia,IHR09,36
2011,SH_IHR_CAPS,Australia,IHR08,100
2011,SH_IHR_CAPS,Australia,IHR01,100
2011,SH_IHR_CAPS,Australia,IHR13,100
2011,SH_IHR_CAPS,Australia,IHR02,100
2011,SH_IHR_CAPS,Australia,IHR03,95
2011,SH_IHR_CAPS,Australia,IHR05,100
2011,SH_IHR_CAPS,Australia,IHR06,100
2011,SH_IHR_CAPS,Australia,IHR07,100
2011,SH_IHR_CAPS,Australia,IHR11,100
2011,SH_IHR_CAPS,Australia,IHR04,100
