Year,SeriesCode,Страна ,IHR Capacity,Value
2012,SH_IHR_CAPS,Australia,IHR12,100
2012,SH_IHR_CAPS,Australia,IHR11,100
2012,SH_IHR_CAPS,Australia,IHR06,100
2012,SH_IHR_CAPS,Australia,IHR05,100
2012,SH_IHR_CAPS,Australia,IHR04,94
2012,SH_IHR_CAPS,Australia,IHR07,100
2012,SH_IHR_CAPS,Australia,IHR03,95
2012,SH_IHR_CAPS,Australia,IHR02,100
2012,SH_IHR_CAPS,Australia,IHR01,100
2012,SH_IHR_CAPS,Australia,IHR13,93
2012,SH_IHR_CAPS,Australia,IHR10,100
2012,SH_IHR_CAPS,Australia,IHR09,100
2012,SH_IHR_CAPS,Australia,IHR08,100
2013,SH_IHR_CAPS,Australia,IHR08,96
2013,SH_IHR_CAPS,Australia,IHR07,100
2013,SH_IHR_CAPS,Australia,IHR06,100
2013,SH_IHR_CAPS,Australia,IHR05,100
2013,SH_IHR_CAPS,Australia,IHR12,100
2013,SH_IHR_CAPS,Australia,IHR13,100
2013,SH_IHR_CAPS,Australia,IHR04,94
2013,SH_IHR_CAPS,Australia,IHR03,95
2013,SH_IHR_CAPS,Australia,IHR02,100
2013,SH_IHR_CAPS,Australia,IHR01,100
2013,SH_IHR_CAPS,Australia,IHR09,100
2013,SH_IHR_CAPS,Australia,IHR10,100
2013,SH_IHR_CAPS,Australia,IHR11,87
2014,SH_IHR_CAPS,Australia,IHR07,100
2014,SH_IHR_CAPS,Australia,IHR08,96
2014,SH_IHR_CAPS,Australia,IHR06,100
2014,SH_IHR_CAPS,Australia,IHR05,100
2014,SH_IHR_CAPS,Australia,IHR11,87
2014,SH_IHR_CAPS,Australia,IHR12,100
2014,SH_IHR_CAPS,Australia,IHR04,100
2014,SH_IHR_CAPS,Australia,IHR03,100
2014,SH_IHR_CAPS,Australia,IHR02,100
2014,SH_IHR_CAPS,Australia,IHR01,100
2014,SH_IHR_CAPS,Australia,IHR13,100
2014,SH_IHR_CAPS,Australia,IHR10,100
2014,SH_IHR_CAPS,Australia,IHR09,100
2015,SH_IHR_CAPS,Australia,IHR13,100
2015,SH_IHR_CAPS,Australia,IHR12,100
2015,SH_IHR_CAPS,Australia,IHR09,100
2015,SH_IHR_CAPS,Australia,IHR06,100
2015,SH_IHR_CAPS,Australia,IHR02,100
2015,SH_IHR_CAPS,Australia,IHR01,100
2015,SH_IHR_CAPS,Australia,IHR11,100
2015,SH_IHR_CAPS,Australia,IHR10,100
2015,SH_IHR_CAPS,Australia,IHR03,100
2015,SH_IHR_CAPS,Australia,IHR04,100
2015,SH_IHR_CAPS,Australia,IHR05,100
2015,SH_IHR_CAPS,Australia,IHR07,100
2015,SH_IHR_CAPS,Australia,IHR08,96
2016,SH_IHR_CAPS,Australia,IHR13,100
2016,SH_IHR_CAPS,Australia,IHR04,100
2016,SH_IHR_CAPS,Australia,IHR05,100
2016,SH_IHR_CAPS,Australia,IHR06,100
2016,SH_IHR_CAPS,Australia,IHR07,100
2016,SH_IHR_CAPS,Australia,IHR08,96
2016,SH_IHR_CAPS,Australia,IHR12,100
2016,SH_IHR_CAPS,Australia,IHR11,100
2016,SH_IHR_CAPS,Australia,IHR10,100
2016,SH_IHR_CAPS,Australia,IHR09,100
2016,SH_IHR_CAPS,Australia,IHR01,100
2016,SH_IHR_CAPS,Australia,IHR02,100
2016,SH_IHR_CAPS,Australia,IHR03,100
2017,SH_IHR_CAPS,Australia,IHR13,100
2017,SH_IHR_CAPS,Australia,IHR12,100
2017,SH_IHR_CAPS,Australia,IHR09,100
2017,SH_IHR_CAPS,Australia,IHR08,96
2017,SH_IHR_CAPS,Australia,IHR10,100
2017,SH_IHR_CAPS,Australia,IHR04,100
2017,SH_IHR_CAPS,Australia,IHR05,100
2017,SH_IHR_CAPS,Australia,IHR07,100
2017,SH_IHR_CAPS,Australia,IHR03,100
2017,SH_IHR_CAPS,Australia,IHR06,100
2017,SH_IHR_CAPS,Australia,IHR02,100
2017,SH_IHR_CAPS,Australia,IHR01,100
2017,SH_IHR_CAPS,Australia,IHR11,100
2018,SH_IHR_CAPS,Australia,SPAR01,100
2018,SH_IHR_CAPS,Australia,SPAR02,100
2018,SH_IHR_CAPS,Australia,SPAR03,20
2018,SH_IHR_CAPS,Australia,SPAR04,100
2018,SH_IHR_CAPS,Australia,SPAR05,100
2018,SH_IHR_CAPS,Australia,SPAR13,100
2018,SH_IHR_CAPS,Australia,SPAR09,87
2018,SH_IHR_CAPS,Australia,SPAR10,100
2018,SH_IHR_CAPS,Australia,SPAR11,100
2018,SH_IHR_CAPS,Australia,SPAR12,100
2018,SH_IHR_CAPS,Australia,SPAR08,100
2018,SH_IHR_CAPS,Australia,SPAR06,60
2018,SH_IHR_CAPS,Australia,SPAR07,100
2019,SH_IHR_CAPS,Australia,SPAR07,100
2019,SH_IHR_CAPS,Australia,SPAR10,100
2019,SH_IHR_CAPS,Australia,SPAR09,87
2019,SH_IHR_CAPS,Australia,SPAR03,60
2019,SH_IHR_CAPS,Australia,SPAR02,100
2019,SH_IHR_CAPS,Australia,SPAR13,60
2019,SH_IHR_CAPS,Australia,SPAR12,100
2019,SH_IHR_CAPS,Australia,SPAR11,100
2019,SH_IHR_CAPS,Australia,SPAR01,93
2019,SH_IHR_CAPS,Australia,SPAR08,100
2019,SH_IHR_CAPS,Australia,SPAR04,100
2019,SH_IHR_CAPS,Australia,SPAR06,90
2019,SH_IHR_CAPS,Australia,SPAR05,100
2020,SH_IHR_CAPS,Australia,SPAR04,100
2020,SH_IHR_CAPS,Australia,SPAR03,60
2020,SH_IHR_CAPS,Australia,SPAR07,100
2020,SH_IHR_CAPS,Australia,SPAR08,100
2020,SH_IHR_CAPS,Australia,SPAR09,87
2020,SH_IHR_CAPS,Australia,SPAR01,93
2020,SH_IHR_CAPS,Australia,SPAR02,100
2020,SH_IHR_CAPS,Australia,SPAR06,90
2020,SH_IHR_CAPS,Australia,SPAR05,100
2020,SH_IHR_CAPS,Australia,SPAR10,100
2020,SH_IHR_CAPS,Australia,SPAR11,100
2020,SH_IHR_CAPS,Australia,SPAR12,100
2020,SH_IHR_CAPS,Australia,SPAR13,60
2021,SH_IHR_CAPS,Australia,SPAR2-C09,100
2021,SH_IHR_CAPS,Australia,SPAR2-C12,60
2021,SH_IHR_CAPS,Australia,SPAR2-C11,100
2021,SH_IHR_CAPS,Australia,SPAR2-C13,100
2021,SH_IHR_CAPS,Australia,SPAR2-C10,87
2021,SH_IHR_CAPS,Australia,SPAR2-C06,80
2021,SH_IHR_CAPS,Australia,SPAR2-C07,80
2021,SH_IHR_CAPS,Australia,SPAR2-C08,100
2021,SH_IHR_CAPS,Australia,SPAR2-C05,80
2021,SH_IHR_CAPS,Australia,SPAR2-C14,100
2021,SH_IHR_CAPS,Australia,SPAR2-C15,60
2021,SH_IHR_CAPS,Australia,SPAR2-C04,100
2021,SH_IHR_CAPS,Australia,SPAR2-C01,100
2021,SH_IHR_CAPS,Australia,SPAR2-C02,93
2021,SH_IHR_CAPS,Australia,SPAR2-C03,80
2022,SH_IHR_CAPS,Australia,SPAR2-C09,100
2022,SH_IHR_CAPS,Australia,SPAR2-C15,60
2022,SH_IHR_CAPS,Australia,SPAR2-C14,100
2022,SH_IHR_CAPS,Australia,SPAR2-C01,100
2022,SH_IHR_CAPS,Australia,SPAR2-C02,93
2022,SH_IHR_CAPS,Australia,SPAR2-C11,100
2022,SH_IHR_CAPS,Australia,SPAR2-C12,60
2022,SH_IHR_CAPS,Australia,SPAR2-C13,100
2022,SH_IHR_CAPS,Australia,SPAR2-C03,80
2022,SH_IHR_CAPS,Australia,SPAR2-C04,100
2022,SH_IHR_CAPS,Australia,SPAR2-C08,100
2022,SH_IHR_CAPS,Australia,SPAR2-C07,80
2022,SH_IHR_CAPS,Australia,SPAR2-C05,100
2022,SH_IHR_CAPS,Australia,SPAR2-C06,80
2022,SH_IHR_CAPS,Australia,SPAR2-C10,87
2010,SH_IHR_CAPS,Austria,IHR06,100
2010,SH_IHR_CAPS,Austria,IHR07,66
2010,SH_IHR_CAPS,Austria,IHR08,92
2010,SH_IHR_CAPS,Austria,IHR09,75
2010,SH_IHR_CAPS,Austria,IHR03,96
2010,SH_IHR_CAPS,Austria,IHR02,83
2010,SH_IHR_CAPS,Austria,IHR01,50
2010,SH_IHR_CAPS,Austria,IHR10,92
2010,SH_IHR_CAPS,Austria,IHR11,93
2010,SH_IHR_CAPS,Austria,IHR04,100
2010,SH_IHR_CAPS,Austria,IHR13,93
2010,SH_IHR_CAPS,Austria,IHR12,78
2010,SH_IHR_CAPS,Austria,IHR05,100
2011,SH_IHR_CAPS,Austria,IHR07,100
2011,SH_IHR_CAPS,Austria,IHR08,90
2011,SH_IHR_CAPS,Austria,IHR09,100
2011,SH_IHR_CAPS,Austria,IHR05,100
2011,SH_IHR_CAPS,Austria,IHR02,90
2011,SH_IHR_CAPS,Austria,IHR04,100
2011,SH_IHR_CAPS,Austria,IHR06,100
2011,SH_IHR_CAPS,Austria,IHR01,75
2011,SH_IHR_CAPS,Austria,IHR03,95
2011,SH_IHR_CAPS,Austria,IHR11,100
2011,SH_IHR_CAPS,Austria,IHR12,100
2011,SH_IHR_CAPS,Austria,IHR13,100
2011,SH_IHR_CAPS,Austria,IHR10,100
2012,SH_IHR_CAPS,Austria,IHR04,100
2012,SH_IHR_CAPS,Austria,IHR03,95
2012,SH_IHR_CAPS,Austria,IHR10,100
2012,SH_IHR_CAPS,Austria,IHR09,91
2012,SH_IHR_CAPS,Austria,IHR08,91
2012,SH_IHR_CAPS,Austria,IHR01,75
2012,SH_IHR_CAPS,Austria,IHR07,80
2012,SH_IHR_CAPS,Austria,IHR06,100
2012,SH_IHR_CAPS,Austria,IHR05,100
2012,SH_IHR_CAPS,Austria,IHR12,92
2012,SH_IHR_CAPS,Austria,IHR11,100
2012,SH_IHR_CAPS,Austria,IHR02,90
2012,SH_IHR_CAPS,Austria,IHR13,93
2013,SH_IHR_CAPS,Austria,IHR01,100
2013,SH_IHR_CAPS,Austria,IHR02,90
2013,SH_IHR_CAPS,Austria,IHR03,80
2013,SH_IHR_CAPS,Austria,IHR04,100
2013,SH_IHR_CAPS,Austria,IHR08,100
2013,SH_IHR_CAPS,Austria,IHR05,83
2013,SH_IHR_CAPS,Austria,IHR09,91
2013,SH_IHR_CAPS,Austria,IHR10,89
2013,SH_IHR_CAPS,Austria,IHR07,100
2013,SH_IHR_CAPS,Austria,IHR12,46
2013,SH_IHR_CAPS,Austria,IHR13,92
2013,SH_IHR_CAPS,Austria,IHR11,93
2013,SH_IHR_CAPS,Austria,IHR06,100
2014,SH_IHR_CAPS,Austria,IHR10,89
2014,SH_IHR_CAPS,Austria,IHR11,93
2014,SH_IHR_CAPS,Austria,IHR12,92
2014,SH_IHR_CAPS,Austria,IHR13,92
2014,SH_IHR_CAPS,Austria,IHR05,83
2014,SH_IHR_CAPS,Austria,IHR04,100
2014,SH_IHR_CAPS,Austria,IHR09,91
2014,SH_IHR_CAPS,Austria,IHR08,100
2014,SH_IHR_CAPS,Austria,IHR03,80
2014,SH_IHR_CAPS,Austria,IHR02,90
2014,SH_IHR_CAPS,Austria,IHR01,75
2014,SH_IHR_CAPS,Austria,IHR07,100
2014,SH_IHR_CAPS,Austria,IHR06,100
2015,SH_IHR_CAPS,Austria,IHR08,100
2015,SH_IHR_CAPS,Austria,IHR09,15
2015,SH_IHR_CAPS,Austria,IHR10,89
2015,SH_IHR_CAPS,Austria,IHR01,67
2015,SH_IHR_CAPS,Austria,IHR05,92
2015,SH_IHR_CAPS,Austria,IHR04,94
2015,SH_IHR_CAPS,Austria,IHR11,100
2015,SH_IHR_CAPS,Austria,IHR07,100
2015,SH_IHR_CAPS,Austria,IHR13,92
2015,SH_IHR_CAPS,Austria,IHR12,85
2015,SH_IHR_CAPS,Austria,IHR06,100
2015,SH_IHR_CAPS,Austria,IHR03,100
2015,SH_IHR_CAPS,Austria,IHR02,90
2016,SH_IHR_CAPS,Austria,IHR01,75
2016,SH_IHR_CAPS,Austria,IHR03,100
2016,SH_IHR_CAPS,Austria,IHR09,15
2016,SH_IHR_CAPS,Austria,IHR10,100
2016,SH_IHR_CAPS,Austria,IHR11,100
2016,SH_IHR_CAPS,Austria,IHR06,100
2016,SH_IHR_CAPS,Austria,IHR02,90
2016,SH_IHR_CAPS,Austria,IHR04,94
2016,SH_IHR_CAPS,Austria,IHR05,92
2016,SH_IHR_CAPS,Austria,IHR12,77
2016,SH_IHR_CAPS,Austria,IHR13,92
2016,SH_IHR_CAPS,Austria,IHR07,100
2016,SH_IHR_CAPS,Austria,IHR08,100
2017,SH_IHR_CAPS,Austria,IHR09,0
2017,SH_IHR_CAPS,Austria,IHR13,92
2017,SH_IHR_CAPS,Austria,IHR05,67
2017,SH_IHR_CAPS,Austria,IHR06,86
2017,SH_IHR_CAPS,Austria,IHR08,58
2017,SH_IHR_CAPS,Austria,IHR07,40
2017,SH_IHR_CAPS,Austria,IHR10,100
2017,SH_IHR_CAPS,Austria,IHR11,100
2017,SH_IHR_CAPS,Austria,IHR12,85
2017,SH_IHR_CAPS,Austria,IHR02,53
2017,SH_IHR_CAPS,Austria,IHR01,50
2017,SH_IHR_CAPS,Austria,IHR03,90
2017,SH_IHR_CAPS,Austria,IHR04,67
2018,SH_IHR_CAPS,Austria,SPAR12,60
2018,SH_IHR_CAPS,Austria,SPAR10,20
2018,SH_IHR_CAPS,Austria,SPAR11,0
2018,SH_IHR_CAPS,Austria,SPAR01,60
2018,SH_IHR_CAPS,Austria,SPAR02,90
2018,SH_IHR_CAPS,Austria,SPAR13,100
2018,SH_IHR_CAPS,Austria,SPAR08,33
2018,SH_IHR_CAPS,Austria,SPAR09,53
2018,SH_IHR_CAPS,Austria,SPAR07,20
2018,SH_IHR_CAPS,Austria,SPAR05,67
2018,SH_IHR_CAPS,Austria,SPAR06,80
2018,SH_IHR_CAPS,Austria,SPAR04,80
2018,SH_IHR_CAPS,Austria,SPAR03,100
2019,SH_IHR_CAPS,Austria,SPAR11,0
2019,SH_IHR_CAPS,Austria,SPAR10,20
2019,SH_IHR_CAPS,Austria,SPAR06,90
2019,SH_IHR_CAPS,Austria,SPAR05,73
2019,SH_IHR_CAPS,Austria,SPAR03,100
2019,SH_IHR_CAPS,Austria,SPAR02,90
2019,SH_IHR_CAPS,Austria,SPAR01,60
2019,SH_IHR_CAPS,Austria,SPAR13,100
2019,SH_IHR_CAPS,Austria,SPAR12,60
2019,SH_IHR_CAPS,Austria,SPAR09,53
2019,SH_IHR_CAPS,Austria,SPAR08,47
2019,SH_IHR_CAPS,Austria,SPAR07,80
2019,SH_IHR_CAPS,Austria,SPAR04,100
2020,SH_IHR_CAPS,Austria,SPAR08,47
2020,SH_IHR_CAPS,Austria,SPAR12,60
2020,SH_IHR_CAPS,Austria,SPAR11,0
2020,SH_IHR_CAPS,Austria,SPAR04,100
2020,SH_IHR_CAPS,Austria,SPAR10,20
