Year,SeriesCode,Страна ,Education level,Location,Quantile,Value
2006,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00513
2007,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00513
2007,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01147
2007,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.9116
2008,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.91197
2008,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01146
2008,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00615
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,0.99446
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q5,1.01742
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q4,1.01674
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q2,0.0
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q3,0.68594
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,Q4,0.0
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q3,0.63865
2009,SE_AGP_CPRA,Albania,PRIMAR,URBAN,Q4,0.97209
2003,SE_AGP_CPRA,Belarus,PRIMAR,ALLAREA,_T,1.0
2003,SE_AGP_CPRA,Belarus,LOWSEC,ALLAREA,_T,1.00202
2003,SE_AGP_CPRA,Belarus,UPPSEC,ALLAREA,_T,1.03795
2004,SE_AGP_CPRA,Belarus,UPPSEC,ALLAREA,_T,1.0356
2004,SE_AGP_CPRA,Belarus,LOWSEC,ALLAREA,_T,1.00303
2004,SE_AGP_CPRA,Belarus,PRIMAR,ALLAREA,_T,1.0
2005,SE_AGP_CPRA,Belarus,PRIMAR,ALLAREA,_T,1.0034
2005,SE_AGP_CPRA,Belarus,LOWSEC,ALLAREA,_T,0.99669
