Year,SeriesCode,Country,Migratory status,Sex,Value
2000,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,5.3
2001,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.5
2002,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.7
2003,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.8
2004,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,5.0
2004,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,8.7
2004,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.3
2005,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.7
2005,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.6
2005,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,7.9
2006,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.9
2006,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,6.8
2006,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.4
2007,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.9
2007,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.2
2007,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,6.9
2008,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.1
2008,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.5
2008,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,6.9
2009,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.83
2009,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,8.06
2009,SL_EMP_FTLINJUR,Austria,NONMIG,Male,7.54
2009,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,4.43
2009,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.75
2009,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.53
2010,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,7.92
2010,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,4.47
2010,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.47
2010,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.41
2010,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,4.39
2010,SL_EMP_FTLINJUR,Austria,NONMIG,Male,7.85
2011,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.26
2011,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.03
2011,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,5.17
2011,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,3.03
2011,SL_EMP_FTLINJUR,Austria,NONMIG,Male,5.25
2011,SL_EMP_FTLINJUR,Latvia,NONMIG,Male,7.91
2011,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,4.08
2011,SL_EMP_FTLINJUR,Latvia,NONMIG,Both sexes,3.91
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,Male,6.85
2012,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,4.35
2012,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Female,0.89
2012,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Male,8.2
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,Both sexes,3.43
2012,SL_EMP_FTLINJUR,Latvia,NONMIG,Female,0.51
2013,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,3.48
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,Both sexes,3.46
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,Female,0.49
2013,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Female,0.44
2013,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Male,6.91
2011,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.35
2012,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.44
2012,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,5.89
2012,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,3.38
2012,SL_EMP_FTLINJUR,Austria,NONMIG,Male,5.71
2012,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.7
2013,SL_EMP_FTLINJUR,Latvia,NONMIG,Male,6.93
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,Male,8.46
2014,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Male,8.89
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,Female,0.48
2014,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,4.5
2014,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Female,0.42
2014,SL_EMP_FTLINJUR,Latvia,NONMIG,Both sexes,4.27
2012,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.62
2013,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.41
2013,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,6.07
2013,SL_EMP_FTLINJUR,Austria,NONMIG,Male,5.77
2013,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.45
2013,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.46
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,Female,0.55
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,Male,5.57
2015,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,3.7
2015,SL_EMP_FTLINJUR,Latvia,NONMIG,Both sexes,2.92
2015,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Male,6.69
2015,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Female,0.98
2016,SL_EMP_FTLINJUR,Latvia,Total or no breakdown,Both sexes,4.22
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,Male,12.08
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,Both sexes,5.16
2012,SL_EMP_FTLINJUR,Türkiye,MIGPER,Female,0.0
2013,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Male,10.85
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,Male,3.22
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,Both sexes,2.77
2000,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,4.0
2001,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,5.0
2001,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,3.0
2001,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.0
2002,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,10.0
2002,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.0
2002,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,6.0
2003,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,11.0
2013,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,3.26
2014,SL_EMP_FTLINJUR,Austria,NONMIG,Male,5.1
2014,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,5.24
2014,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.09
2014,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.67
2014,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.65
2013,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Female,0.59
2013,SL_EMP_FTLINJUR,Türkiye,MIGPER,Female,2.43
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,Both sexes,8.34
2013,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Both sexes,8.31
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,Male,10.87
2013,SL_EMP_FTLINJUR,Türkiye,NONMIG,Female,0.57
2003,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.3
2003,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,6.0
2004,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,16.0
2004,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.0
2004,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,8.0
2005,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,1.0
2005,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,6.0
2005,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,11.0
2014,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,3.01
2015,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.51
2015,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,3.23
2015,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,5.65
2015,SL_EMP_FTLINJUR,Austria,NONMIG,Female,0.59
2015,SL_EMP_FTLINJUR,Austria,NONMIG,Both sexes,3.31
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,Male,12.35
2014,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Both sexes,9.39
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,Male,0.0
2014,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Male,12.31
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,Female,0.82
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,Both sexes,1.19
2006,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,15.0
2006,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,1.0
2006,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,8.0
2007,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,24.0
2007,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.4
2007,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,13.0
2008,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,0.0
2008,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,7.0
2014,SL_EMP_FTLINJUR,Türkiye,NONMIG,Both sexes,9.43
2014,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Female,0.84
2014,SL_EMP_FTLINJUR,Türkiye,MIGPER,Female,2.11
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,Both sexes,6.9
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,Male,0.0
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,Female,0.69
2015,SL_EMP_FTLINJUR,Austria,NONMIG,Male,5.76
2016,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Female,0.1
2016,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Male,3.5
2016,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,2.0
2017,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,2.53
2018,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,2.87
2019,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,2.49
2008,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,14.0
2016,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,4.0
2016,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,1.0
2016,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,6.0
2017,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,6.0
2017,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,1.0
2017,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,4.0
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,Both sexes,0.0
2015,SL_EMP_FTLINJUR,Türkiye,MIGPER,Female,0.0
2015,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Both sexes,6.87
2015,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Male,9.11
2015,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Female,0.68
2015,SL_EMP_FTLINJUR,Türkiye,NONMIG,Male,9.13
2020,SL_EMP_FTLINJUR,Austria,Total or no breakdown,Both sexes,2.36
2013,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Male,3.13
2013,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Female,0.0
2013,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Both sexes,1.87
2018,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Both sexes,13.64
2018,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,5.0
2018,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,3.0
2018,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,1.0
2019,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Male,5.0
2019,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Female,2.0
2019,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,4.0
2020,SL_EMP_FTLINJUR,Azerbaijan,Total or no breakdown,Both sexes,3.0
2016,SL_EMP_FTLINJUR,Türkiye,NONMIG,Male,9.97
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,Female,0.0
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,Male,9.52
2016,SL_EMP_FTLINJUR,Türkiye,MIGPER,Both sexes,5.04
2016,SL_EMP_FTLINJUR,Türkiye,Total or no breakdown,Female,0.73
2016,SL_EMP_FTLINJUR,Türkiye,NONMIG,Female,0.73
2018,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Male,20.92
2019,SL_EMP_FTLINJUR,Armenia,Total or no breakdown,Male,6.66
