Year,SeriesCode,Country,Counterpart,Value
2019,SI_RMT_COST_BC,Australia,ZW,9.37136
2019,SI_RMT_COST_BC,Australia,LB,12.30283
2019,SI_RMT_COST_BC,Australia,ID,5.77234
2020,SI_RMT_COST_BC,Australia,PK,5.40222
2020,SI_RMT_COST_BC,Australia,MY,5.40565
2020,SI_RMT_COST_BC,Australia,LK,5.34578
2020,SI_RMT_COST_BC,Australia,ID,5.87873
2020,SI_RMT_COST_BC,Australia,LB,12.91859
2020,SI_RMT_COST_BC,Australia,ZW,9.60532
2020,SI_RMT_COST_BC,Australia,FJ,6.70973
2020,SI_RMT_COST_BC,Australia,SO,9.04643
2020,SI_RMT_COST_BC,Australia,VN,7.27787
2020,SI_RMT_COST_BC,Australia,IN,4.34273
2020,SI_RMT_COST_BC,Australia,CN,7.19899
2020,SI_RMT_COST_BC,Australia,TH,7.376
2020,SI_RMT_COST_BC,Australia,PH,4.19872
2020,SI_RMT_COST_BC,Australia,TO,9.33493
2020,SI_RMT_COST_BC,Australia,VU,11.96131
2020,SI_RMT_COST_BC,Australia,WS,8.31166
2021,SI_RMT_COST_BC,Australia,WS,9.60188
2021,SI_RMT_COST_BC,Australia,MY,4.8
2021,SI_RMT_COST_BC,Australia,FJ,6.84389
2021,SI_RMT_COST_BC,Australia,LK,4.25808
2021,SI_RMT_COST_BC,Australia,ID,7.50625
2021,SI_RMT_COST_BC,Australia,LB,12.82269
2021,SI_RMT_COST_BC,Australia,ZW,13.67182
2021,SI_RMT_COST_BC,Australia,TH,11.0175
2021,SI_RMT_COST_BC,Australia,CN,4.484
2021,SI_RMT_COST_BC,Australia,VU,8.664
2021,SI_RMT_COST_BC,Australia,TO,9.17765
2021,SI_RMT_COST_BC,Australia,PH,4.49371
2021,SI_RMT_COST_BC,Australia,PK,6.10421
2021,SI_RMT_COST_BC,Australia,VN,6.39565
2021,SI_RMT_COST_BC,Australia,IN,4.75909
2021,SI_RMT_COST_BC,Australia,SO,11.495
2016,SI_RMT_COST_BC,Austria,HR,4.35345
2016,SI_RMT_COST_BC,Austria,XK,7.2381
2016,SI_RMT_COST_BC,Austria,TR,6.32613
2016,SI_RMT_COST_BC,Austria,HU,6.4924
2016,SI_RMT_COST_BC,Austria,BA,8.73864
2016,SI_RMT_COST_BC,Austria,RS,7.81822
2017,SI_RMT_COST_BC,Austria,XK,7.2381
2017,SI_RMT_COST_BC,Austria,RS,8.75944
2017,SI_RMT_COST_BC,Austria,TR,6.43202
2017,SI_RMT_COST_BC,Austria,HU,7.2679
2017,SI_RMT_COST_BC,Austria,BA,6.96707
2017,SI_RMT_COST_BC,Austria,HR,5.98666
2018,SI_RMT_COST_BC,Austria,RS,6.61212
2018,SI_RMT_COST_BC,Austria,XK,6.3051
2016,SI_RMT_COST_BC,Spain,NG,5.93078
2016,SI_RMT_COST_BC,Spain,PE,5.83808
2016,SI_RMT_COST_BC,Spain,MA,5.97529
2017,SI_RMT_COST_BC,Spain,HN,4.39919
2017,SI_RMT_COST_BC,Spain,CN,17.44663
2017,SI_RMT_COST_BC,Spain,PE,4.52488
2017,SI_RMT_COST_BC,Spain,EC,4.572
2017,SI_RMT_COST_BC,Spain,BR,5.56817
2017,SI_RMT_COST_BC,Spain,PH,6.3527
2017,SI_RMT_COST_BC,Spain,BG,5.03143
2017,SI_RMT_COST_BC,Spain,RO,4.78506
2017,SI_RMT_COST_BC,Spain,MA,6.62511
2017,SI_RMT_COST_BC,Spain,BO,4.63002
2017,SI_RMT_COST_BC,Spain,NG,6.29597
2017,SI_RMT_COST_BC,Spain,DO,5.63097
2017,SI_RMT_COST_BC,Spain,CO,5.49316
2018,SI_RMT_COST_BC,Spain,HN,5.0771
2018,SI_RMT_COST_BC,Spain,CO,5.45479
2018,SI_RMT_COST_BC,Spain,MA,5.07583
2018,SI_RMT_COST_BC,Spain,NG,7.18723
2018,SI_RMT_COST_BC,Spain,DO,4.86207
2018,SI_RMT_COST_BC,Spain,EC,4.8601
2018,SI_RMT_COST_BC,Spain,BR,6.58299
2018,SI_RMT_COST_BC,Spain,PE,4.25695
2018,SI_RMT_COST_BC,Spain,BO,5.33537
2018,SI_RMT_COST_BC,Spain,CN,12.85665
2018,SI_RMT_COST_BC,Spain,RO,4.20803
2018,SI_RMT_COST_BC,Spain,PH,4.47911
2018,SI_RMT_COST_BC,Spain,BG,7.43692
2019,SI_RMT_COST_BC,Spain,CO,5.29697
2019,SI_RMT_COST_BC,Spain,MA,4.70625
2019,SI_RMT_COST_BC,Spain,EC,5.36493
2019,SI_RMT_COST_BC,Spain,BG,4.41286
2019,SI_RMT_COST_BC,Spain,PH,4.26812
2019,SI_RMT_COST_BC,Spain,DO,3.19686
2019,SI_RMT_COST_BC,Spain,RO,4.17279
2019,SI_RMT_COST_BC,Spain,BO,5.14939
2019,SI_RMT_COST_BC,Spain,PE,5.37868
2019,SI_RMT_COST_BC,Spain,BR,6.1694
2019,SI_RMT_COST_BC,Spain,NG,8.25119
2019,SI_RMT_COST_BC,Spain,HN,4.2757
2019,SI_RMT_COST_BC,Spain,CN,11.68131
2020,SI_RMT_COST_BC,Spain,PE,5.49894
2020,SI_RMT_COST_BC,Spain,DO,4.27832
2020,SI_RMT_COST_BC,Spain,PH,4.05585
2020,SI_RMT_COST_BC,Spain,EC,5.4784
2020,SI_RMT_COST_BC,Spain,BG,3.83879
2020,SI_RMT_COST_BC,Spain,RO,3.35736
2020,SI_RMT_COST_BC,Spain,MA,5.16037
2020,SI_RMT_COST_BC,Spain,CN,9.43714
2020,SI_RMT_COST_BC,Spain,HN,5.54903
2020,SI_RMT_COST_BC,Spain,NG,6.37203
2020,SI_RMT_COST_BC,Spain,BR,4.85591
2020,SI_RMT_COST_BC,Spain,BO,4.64265
2020,SI_RMT_COST_BC,Spain,CO,4.40963
2021,SI_RMT_COST_BC,Spain,CO,7.72556
2021,SI_RMT_COST_BC,Spain,BO,6.05467
2021,SI_RMT_COST_BC,Spain,PH,3.5713
2021,SI_RMT_COST_BC,Spain,DO,4.45563
2021,SI_RMT_COST_BC,Spain,PE,4.83211
2021,SI_RMT_COST_BC,Spain,BR,6.57889
2021,SI_RMT_COST_BC,Spain,NG,4.80571
2021,SI_RMT_COST_BC,Spain,HN,5.90933
2021,SI_RMT_COST_BC,Spain,CN,5.02182
2021,SI_RMT_COST_BC,Spain,MA,4.55833
2021,SI_RMT_COST_BC,Spain,RO,4.53333
2021,SI_RMT_COST_BC,Spain,EC,5.12263
2021,SI_RMT_COST_BC,Spain,BG,3.63889
2016,SI_RMT_COST_BC,Sweden,LB,9.18834
2016,SI_RMT_COST_BC,Sweden,SO,9.451
2016,SI_RMT_COST_BC,Sweden,CN,6.57307
2016,SI_RMT_COST_BC,Sweden,IN,7.58073
2017,SI_RMT_COST_BC,Sweden,IN,8.08848
2017,SI_RMT_COST_BC,Sweden,LB,11.20851
2017,SI_RMT_COST_BC,Sweden,CN,9.51912
2017,SI_RMT_COST_BC,Sweden,SO,10.31137
2018,SI_RMT_COST_BC,Sweden,LB,9.61081
2018,SI_RMT_COST_BC,Sweden,SO,8.55167
2018,SI_RMT_COST_BC,Sweden,IN,6.29437
2018,SI_RMT_COST_BC,Sweden,CN,9.26603
2019,SI_RMT_COST_BC,Sweden,LB,9.52832
2019,SI_RMT_COST_BC,Sweden,SO,9.00261
2019,SI_RMT_COST_BC,Sweden,CN,10.03318
2019,SI_RMT_COST_BC,Sweden,IN,5.72875
2020,SI_RMT_COST_BC,Sweden,IN,6.12238
2020,SI_RMT_COST_BC,Sweden,SO,10.55175
2020,SI_RMT_COST_BC,Sweden,CN,8.11458
