Year,SeriesCode,Country,Sex,Value
2013,IC_GEN_MGTN_19ICLS,Chile,Female,44.65
2015,IC_GEN_MGTN_19ICLS,Chile,Female,46.41
2017,IC_GEN_MGTN_19ICLS,Chile,Female,43.07
2020,IC_GEN_MGTN_19ICLS,Chile,Female,37.47
2017,IC_GEN_MGTN_19ICLS,Costa Rica,Female,41.43
2018,IC_GEN_MGTN_19ICLS,Costa Rica,Female,37.52
2019,IC_GEN_MGTN_19ICLS,Costa Rica,Female,42.77
2021,IC_GEN_MGTN_19ICLS,Costa Rica,Female,41.63
2002,IC_GEN_MGTN_19ICLS,Croatia,Female,26.75
2003,IC_GEN_MGTN_19ICLS,Croatia,Female,28.26
2004,IC_GEN_MGTN_19ICLS,Croatia,Female,17.51
2005,IC_GEN_MGTN_19ICLS,Croatia,Female,28.21
2006,IC_GEN_MGTN_19ICLS,Croatia,Female,27.47
2007,IC_GEN_MGTN_19ICLS,Croatia,Female,22.72
2008,IC_GEN_MGTN_19ICLS,Croatia,Female,32.1
2009,IC_GEN_MGTN_19ICLS,Croatia,Female,37.2
2010,IC_GEN_MGTN_19ICLS,Croatia,Female,27.43
2011,IC_GEN_MGTN_19ICLS,Croatia,Female,23.57
2012,IC_GEN_MGTN_19ICLS,Croatia,Female,25.77
2013,IC_GEN_MGTN_19ICLS,Croatia,Female,23.87
2014,IC_GEN_MGTN_19ICLS,Croatia,Female,24.37
2015,IC_GEN_MGTN_19ICLS,Croatia,Female,26.12
2016,IC_GEN_MGTN_19ICLS,Croatia,Female,29.5
2017,IC_GEN_MGTN_19ICLS,Croatia,Female,27.88
2018,IC_GEN_MGTN_19ICLS,Croatia,Female,26.09
2019,IC_GEN_MGTN_19ICLS,Croatia,Female,24.27
2020,IC_GEN_MGTN_19ICLS,Croatia,Female,29.13
2021,IC_GEN_MGTN_19ICLS,Croatia,Female,29.61
2000,IC_GEN_MGTN_19ICLS,Cyprus,Female,18.49
2001,IC_GEN_MGTN_19ICLS,Cyprus,Female,18.55
2002,IC_GEN_MGTN_19ICLS,Cyprus,Female,17.3
2003,IC_GEN_MGTN_19ICLS,Cyprus,Female,17.94
2004,IC_GEN_MGTN_19ICLS,Cyprus,Female,15.57
2005,IC_GEN_MGTN_19ICLS,Cyprus,Female,17.07
2006,IC_GEN_MGTN_19ICLS,Cyprus,Female,17.23
2007,IC_GEN_MGTN_19ICLS,Cyprus,Female,17.69
2008,IC_GEN_MGTN_19ICLS,Cyprus,Female,20.44
2009,IC_GEN_MGTN_19ICLS,Cyprus,Female,13.76
2010,IC_GEN_MGTN_19ICLS,Cyprus,Female,14.32
2011,IC_GEN_MGTN_19ICLS,Cyprus,Female,14.67
2012,IC_GEN_MGTN_19ICLS,Cyprus,Female,16.44
2013,IC_GEN_MGTN_19ICLS,Cyprus,Female,18.7
2014,IC_GEN_MGTN_19ICLS,Cyprus,Female,18.14
2015,IC_GEN_MGTN_19ICLS,Cyprus,Female,25.22
2016,IC_GEN_MGTN_19ICLS,Cyprus,Female,26.99
2017,IC_GEN_MGTN_19ICLS,Cyprus,Female,22.35
2018,IC_GEN_MGTN_19ICLS,Cyprus,Female,19.7
2019,IC_GEN_MGTN_19ICLS,Cyprus,Female,23.74
2020,IC_GEN_MGTN_19ICLS,Cyprus,Female,25.22
2021,IC_GEN_MGTN_19ICLS,Cyprus,Female,22.43
2000,IC_GEN_MGTN_19ICLS,Czechia,Female,27.83
2001,IC_GEN_MGTN_19ICLS,Czechia,Female,28.9
2002,IC_GEN_MGTN_19ICLS,Czechia,Female,28.77
2003,IC_GEN_MGTN_19ICLS,Czechia,Female,30.37
2004,IC_GEN_MGTN_19ICLS,Czechia,Female,29.42
2005,IC_GEN_MGTN_19ICLS,Czechia,Female,31.6
2006,IC_GEN_MGTN_19ICLS,Czechia,Female,30.7
2007,IC_GEN_MGTN_19ICLS,Czechia,Female,29.5
2008,IC_GEN_MGTN_19ICLS,Czechia,Female,29.29
2009,IC_GEN_MGTN_19ICLS,Czechia,Female,28.91
2010,IC_GEN_MGTN_19ICLS,Czechia,Female,27.84
2011,IC_GEN_MGTN_19ICLS,Czechia,Female,23.76
2012,IC_GEN_MGTN_19ICLS,Czechia,Female,22.92
2013,IC_GEN_MGTN_19ICLS,Czechia,Female,24.34
2014,IC_GEN_MGTN_19ICLS,Czechia,Female,26.31
2015,IC_GEN_MGTN_19ICLS,Czechia,Female,27.52
2016,IC_GEN_MGTN_19ICLS,Czechia,Female,23.02
2017,IC_GEN_MGTN_19ICLS,Czechia,Female,23.96
2018,IC_GEN_MGTN_19ICLS,Czechia,Female,26.2
2019,IC_GEN_MGTN_19ICLS,Czechia,Female,26.61
2020,IC_GEN_MGTN_19ICLS,Czechia,Female,27.43
2021,IC_GEN_MGTN_19ICLS,Czechia,Female,27.63
2000,IC_GEN_MGTN_19ICLS,Denmark,Female,19.74
2001,IC_GEN_MGTN_19ICLS,Denmark,Female,17.57
2002,IC_GEN_MGTN_19ICLS,Denmark,Female,17.88
