Year,SeriesCode,Country,Activity,Sex,Value
2020,SL_ISV_IFEM_19ICLS,Greece,ISIC4_A,Male,12.93
2021,SL_ISV_IFEM_19ICLS,Greece,TOTAL,Female,8.27
2021,SL_ISV_IFEM_19ICLS,Greece,TOTAL,Male,4.95
2021,SL_ISV_IFEM_19ICLS,Greece,TOTAL,Both sexes,6.34
2021,SL_ISV_IFEM_19ICLS,Greece,ISIC4_A,Female,30.37
2021,SL_ISV_IFEM_19ICLS,Greece,NONAGR,Male,4.14
2021,SL_ISV_IFEM_19ICLS,Greece,NONAGR,Female,5.68
2021,SL_ISV_IFEM_19ICLS,Greece,ISIC4_A,Male,10.79
2021,SL_ISV_IFEM_19ICLS,Greece,ISIC4_A,Both sexes,18.29
2021,SL_ISV_IFEM_19ICLS,Greece,NONAGR,Both sexes,4.79
2007,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,11.79
2007,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,8.66
2007,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,32.4
2007,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,10.59
2007,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,36.9
2007,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,30.85
2010,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.03
2010,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,68.21
2010,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,27.51
2010,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,27.09
2010,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,62.23
2010,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,86.29
2010,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,28.36
2010,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,25.97
2010,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,24.64
2007,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,13.76
2007,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,12.35
2007,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,9.52
2008,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,27.72
2008,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,8.95
2008,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,26.23
2008,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,31.39
2008,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,13.76
2011,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,29.08
2011,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,78.48
2011,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,26.0
2011,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,27.41
2011,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,27.15
2011,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.31
2011,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,56.75
2011,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,61.56
2011,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,29.71
2008,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,9.66
2008,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,12.87
2008,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,11.89
2008,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,11.04
2009,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,10.22
2009,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,12.32
2009,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,50.7
2009,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,9.51
2012,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,67.34
2012,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,28.83
2012,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.02
2012,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,24.82
2012,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,61.76
2012,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,27.63
2012,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,84.03
2012,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,29.55
2012,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,26.67
2009,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,12.02
2009,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,7.84
2009,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,40.17
2009,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,35.7
2009,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,14.15
2010,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,14.95
2010,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,8.63
2010,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,32.76
2013,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,68.35
2013,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.16
2013,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,28.99
2013,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,70.13
2013,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,29.59
2013,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,25.36
2013,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,27.07
2013,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.92
2013,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,76.03
2010,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,12.65
2010,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,46.89
2010,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,13.26
2010,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,36.52
2010,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,10.01
2010,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,11.04
2011,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,52.02
2011,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,8.93
2014,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,27.75
2014,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,26.01
2014,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,28.6
2014,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.03
2014,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,63.17
2014,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,65.59
2014,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,26.83
2014,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,71.33
2014,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,27.52
2010,SL_ISV_IFEM_19ICLS,Portugal,TOTAL,Female,7.22
2010,SL_ISV_IFEM_19ICLS,Portugal,TOTAL,Male,4.89
2010,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Both sexes,32.38
2010,SL_ISV_IFEM_19ICLS,Portugal,NONAGR,Both sexes,4.57
2011,SL_ISV_IFEM_19ICLS,Portugal,TOTAL,Both sexes,5.92
2011,SL_ISV_IFEM_19ICLS,Portugal,TOTAL,Male,4.05
2011,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Female,60.47
2011,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Both sexes,34.15
2015,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,27.59
2015,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,30.15
2015,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.81
2015,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,30.99
2015,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,25.31
2015,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,69.98
2015,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,80.12
2015,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.9
2015,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,72.93
2011,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,10.46
2011,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,12.59
2011,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,14.45
2011,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,10.83
2011,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,12.58
2011,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,39.3
2011,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,34.66
2012,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,12.75
2016,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,69.64
2016,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,66.69
2016,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,25.9
2016,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,79.18
2016,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,28.48
2016,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,26.76
2016,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.02
2016,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,27.62
2016,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,27.72
2017,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,25.11
2017,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,28.97
2017,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,69.55
2017,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,70.15
2017,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,28.21
2017,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.83
2017,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,26.96
2017,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,29.74
2017,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,71.57
2011,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Male,14.36
2011,SL_ISV_IFEM_19ICLS,Portugal,NONAGR,Female,5.78
2011,SL_ISV_IFEM_19ICLS,Portugal,NONAGR,Both sexes,4.58
2011,SL_ISV_IFEM_19ICLS,Portugal,TOTAL,Female,8.06
2011,SL_ISV_IFEM_19ICLS,Portugal,NONAGR,Male,3.53
2012,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Male,24.17
2012,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Female,57.31
2012,SL_ISV_IFEM_19ICLS,Portugal,ISIC4_A,Both sexes,35.61
2018,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,73.62
2018,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,27.61
2018,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,24.6
2018,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,69.3
2018,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,26.15
2018,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,67.49
2018,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,28.48
2018,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,29.24
2018,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,26.46
2019,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Both sexes,26.36
2019,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Male,65.52
2019,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Female,81.56
2019,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Male,25.57
2019,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Male,24.19
2019,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Female,26.44
2019,SL_ISV_IFEM_19ICLS,Australia,NONAGR,Both sexes,25.28
2019,SL_ISV_IFEM_19ICLS,Australia,ISIC4_A,Both sexes,70.0
2019,SL_ISV_IFEM_19ICLS,Australia,TOTAL,Female,27.21
2012,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,8.83
2012,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,14.4
2012,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,31.52
2012,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,36.93
2012,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,10.28
2012,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,10.88
2012,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,12.5
2012,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,54.38
2013,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,14.8
2013,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,47.24
2013,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,13.08
2013,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,10.63
2013,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,9.23
2013,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,12.87
2013,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,11.26
2013,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,38.75
2017,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,10.29
2017,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,17.64
2017,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,13.35
2017,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,4.75
2017,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,3.77
2017,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,4.21
2018,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Female,5.2
2018,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Female,20.46
2013,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,35.29
2014,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,3.39
2014,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,24.12
2014,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,3.84
2014,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,1.7
2014,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,4.36
2014,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,2.31
2014,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,29.05
2018,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Both sexes,12.04
2018,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Both sexes,4.66
2018,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Male,4.12
2018,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Female,4.67
2018,SL_ISV_IFEM_19ICLS,Austria,NONAGR,Both sexes,4.37
2018,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,4.21
2018,SL_ISV_IFEM_19ICLS,Austria,ISIC4_A,Male,6.36
2019,SL_ISV_IFEM_19ICLS,Austria,TOTAL,Male,4.88
2014,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,2.97
2014,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,40.64
2015,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,3.96
2015,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,4.9
2015,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,3.53
2015,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,16.66
2015,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,4.37
2015,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,3.1
2015,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,5.34
2015,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,7.9
2015,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,10.23
2016,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,3.21
2016,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,4.71
2016,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,5.47
2016,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,4.76
2016,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,17.65
2016,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,3.91
2016,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,4.14
2016,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,14.84
2016,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,24.6
2017,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,12.65
2017,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,14.38
2017,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,15.45
2017,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,13.14
2017,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,38.84
2017,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,47.46
2017,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,13.5
2017,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,41.52
2017,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,11.7
2018,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Both sexes,6.31
2018,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Male,5.23
2018,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Both sexes,22.34
2018,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Male,6.49
2018,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Female,25.87
2018,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Both sexes,5.25
2018,SL_ISV_IFEM_19ICLS,Hungary,NONAGR,Female,5.28
2018,SL_ISV_IFEM_19ICLS,Hungary,ISIC4_A,Male,20.79
2018,SL_ISV_IFEM_19ICLS,Hungary,TOTAL,Female,6.1
