Year,SeriesCode,Country,Activity,Level of requirement,Value
2019,EN_SCP_FRMN,India,ISIC4_M,TOTAL,7
2019,EN_SCP_FRMN,India,ISIC4_K,TOTAL,25
2019,EN_SCP_FRMN,India,ISIC4_L,TOTAL,1
2019,EN_SCP_FRMN,India,ISIC4_I,TOTAL,2
2019,EN_SCP_FRMN,India,TOTAL,TOTAL,134
2019,EN_SCP_FRMN,India,ISIC4_H,TOTAL,5
2019,EN_SCP_FRMN,India,ISIC4_Q,TOTAL,1
2020,EN_SCP_FRMN,India,ISIC4_C,TOTAL,72
2020,EN_SCP_FRMN,India,ISIC4_B,TOTAL,3
2020,EN_SCP_FRMN,India,ISIC4_L,TOTAL,1
2020,EN_SCP_FRMN,India,ISIC4_G,TOTAL,150
2020,EN_SCP_FRMN,India,ISIC4_M,TOTAL,10
2020,EN_SCP_FRMN,India,ISIC4_K,TOTAL,28
2020,EN_SCP_FRMN,India,TOTAL,TOTAL,150
2020,EN_SCP_FRMN,India,ISIC4_H,TOTAL,5
2020,EN_SCP_FRMN,India,ISIC4_J,TOTAL,8
2020,EN_SCP_FRMN,India,ISIC4_F,TOTAL,7
2020,EN_SCP_FRMN,India,ISIC4_I,TOTAL,2
2020,EN_SCP_FRMN,India,ISIC4_Q,TOTAL,1
2021,EN_SCP_FRMN,India,TOTAL,TOTAL,213
2021,EN_SCP_FRMN,India,ISIC4_N,TOTAL,2
2021,EN_SCP_FRMN,India,ISIC4_Q,TOTAL,2
2021,EN_SCP_FRMN,India,ISIC4_M,TOTAL,12
2021,EN_SCP_FRMN,India,ISIC4_I,TOTAL,3
2021,EN_SCP_FRMN,India,ISIC4_F,TOTAL,8
2021,EN_SCP_FRMN,India,ISIC4_L,TOTAL,1
2021,EN_SCP_FRMN,India,ISIC4_J,TOTAL,10
2021,EN_SCP_FRMN,India,ISIC4_H,TOTAL,5
2021,EN_SCP_FRMN,India,ISIC4_G,TOTAL,213
2021,EN_SCP_FRMN,India,ISIC4_K,TOTAL,40
2016,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,12
2016,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,2
2016,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,4
2016,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,2
2016,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,4
2016,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,2
2016,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,20
2017,EN_SCP_FRMN,Australia,ISIC4_K,TOTAL,15
2017,EN_SCP_FRMN,Australia,ISIC4_N,TOTAL,2
2017,EN_SCP_FRMN,Australia,ISIC4_G,TOTAL,110
2017,EN_SCP_FRMN,Australia,ISIC4_B,TOTAL,27
2021,EN_SCP_FRMN,India,ISIC4_C,TOTAL,107
2021,EN_SCP_FRMN,India,ISIC4_B,TOTAL,4
2016,EN_SCP_FRMN,Ireland,ISIC4_M,TOTAL,1
2016,EN_SCP_FRMN,Ireland,ISIC4_K,TOTAL,1
2016,EN_SCP_FRMN,Ireland,TOTAL,TOTAL,18
2016,EN_SCP_FRMN,Ireland,ISIC4_B,TOTAL,1
2016,EN_SCP_FRMN,Ireland,ISIC4_H,TOTAL,1
2016,EN_SCP_FRMN,Ireland,ISIC4_N,TOTAL,1
2016,EN_SCP_FRMN,Ireland,ISIC4_G,TOTAL,18
2016,EN_SCP_FRMN,Ireland,ISIC4_S,TOTAL,1
2016,EN_SCP_FRMN,Ireland,ISIC4_C,TOTAL,10
2017,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,3
2017,EN_SCP_FRMN,Australia,ISIC4_M,TOTAL,5
2017,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,22
2017,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,2
2017,EN_SCP_FRMN,Australia,TOTAL,TOTAL,111
2017,EN_SCP_FRMN,Australia,ISIC4_I,TOTAL,1
2017,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,5
2017,EN_SCP_FRMN,Australia,ISIC4_Q,TOTAL,2
2017,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,13
2017,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,2
2017,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,4
2018,EN_SCP_FRMN,Australia,ISIC4_I,TOTAL,2
2018,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,2
2018,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,3
2018,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,22
2018,EN_SCP_FRMN,Australia,ISIC4_B,TOTAL,30
2018,EN_SCP_FRMN,Australia,ISIC4_Q,TOTAL,4
2018,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,4
2018,EN_SCP_FRMN,Australia,ISIC4_G,TOTAL,122
2018,EN_SCP_FRMN,Australia,TOTAL,TOTAL,124
2018,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,5
2018,EN_SCP_FRMN,Australia,ISIC4_N,TOTAL,2
2018,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,14
2018,EN_SCP_FRMN,Australia,ISIC4_M,TOTAL,5
2018,EN_SCP_FRMN,Australia,ISIC4_K,TOTAL,16
2018,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,4
2019,EN_SCP_FRMN,Australia,ISIC4_I,TOTAL,2
2019,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,4
2019,EN_SCP_FRMN,Australia,ISIC4_B,TOTAL,38
2019,EN_SCP_FRMN,Australia,ISIC4_M,TOTAL,6
2019,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,2
2019,EN_SCP_FRMN,Australia,TOTAL,TOTAL,170
2019,EN_SCP_FRMN,Australia,ISIC4_F,TOTAL,6
2019,EN_SCP_FRMN,Australia,ISIC4_Q,TOTAL,7
2019,EN_SCP_FRMN,Australia,ISIC4_S,TOTAL,1
2019,EN_SCP_FRMN,Australia,ISIC4_N,TOTAL,5
2019,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,5
2019,EN_SCP_FRMN,Australia,ISIC4_K,TOTAL,22
2019,EN_SCP_FRMN,Australia,ISIC4_L,TOTAL,16
2019,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,10
2019,EN_SCP_FRMN,Australia,ISIC4_G,TOTAL,168
2019,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,29
2020,EN_SCP_FRMN,Australia,ISIC4_S,TOTAL,2
2020,EN_SCP_FRMN,Australia,ISIC4_M,TOTAL,10
2020,EN_SCP_FRMN,Australia,ISIC4_G,TOTAL,203
2020,EN_SCP_FRMN,Australia,ISIC4_I,TOTAL,2
2020,EN_SCP_FRMN,Australia,ISIC4_R,TOTAL,4
2020,EN_SCP_FRMN,Australia,ISIC4_N,TOTAL,5
2020,EN_SCP_FRMN,Australia,TOTAL,TOTAL,205
2020,EN_SCP_FRMN,Australia,ISIC4_C,TOTAL,33
2020,EN_SCP_FRMN,Australia,ISIC4_H,TOTAL,6
2020,EN_SCP_FRMN,Australia,ISIC4_K,TOTAL,26
2020,EN_SCP_FRMN,Australia,ISIC4_B,TOTAL,49
2020,EN_SCP_FRMN,Australia,ISIC4_J,TOTAL,15
2020,EN_SCP_FRMN,Australia,ISIC4_Q,TOTAL,7
2020,EN_SCP_FRMN,Australia,ISIC4_A,TOTAL,4
